t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.07969007840280994,0.24838222228505713,10
3,0.3888957840617241,0.5420106124349345,10
4,0.6168356215210166,0.7860061786449882,10
5,0.9229471682747745,0.9331602002961867,10
6,1.3049133088329292,1.132601186973045,10
7,1.6907430324522263,1.3336326510628298,10
8,1.9993490684216852,1.4915566564491196,10
9,2.0793574062419333,1.5775560285940835,10
10,2.3846419603744238,1.9234532791303502,10
11,2.7667998361420523,2.2556240994508268,10
12,3.22419078512128,2.567409280593661,10
13,3.604383200557129,2.7429257817495176,10
14,3.987090196433255,3.090563374046272,10
15,4.149261826356843,3.264476944442247,10
16,4.690940939085719,3.4636551956766755,10
17,5.228077287332834,3.567132107177523,10
18,5.767844296800111,3.855943846585234,10
19,6.232033298421032,4.152144522798867,10
20,6.3880535140549055,4.15073084981279,10
21,6.696446288750069,4.424023552284325,10
22,6.925669109336747,4.606900459516294,10
23,7.230592255103284,4.581456546995961,10
24,7.3885757021723935,4.694385659413599,10
25,7.773411183820835,4.910799685073099,10
26,7.932265488131949,5.027926527392703,10
27,8.171093634282304,5.160062978137282,10
28,8.477030190359915,5.484127661727021,10
29,8.937637210627022,5.773442709000268,10
30,9.16792048097798,5.995589413639885,10
31,9.702275458522408,6.180479838450973,10
32,10.086366776274739,6.395669905236069,10
33,10.397455729678368,6.676162251926234,10
34,10.782678170224656,6.919621408249911,10
35,11.17290931326049,6.972313799586533,10
36,11.407767277433962,7.149455013040323,10
37,11.794119222699319,7.227317929565863,10
38,12.184857183607251,7.313343548958735,10
39,12.569523001882995,7.288263067317304,10
40,12.805962200546299,7.445870798309259,10
41,13.267255604313764,7.435019770047233,10
42,13.656946940643255,7.527758871722369,10
43,14.04333810337151,7.666114877925454,10
44,14.432762215893916,7.826496503753484,10
45,14.893764318897206,7.670338405455551,10
46,15.198990269101264,7.686244200877083,10
47,15.35657351703343,7.682278143696038,10
48,15.59122882712706,7.589087193127112,10
49,16.050267403771727,7.532433861288994,10
50,16.51042248020404,7.621942911212349,10
51,16.891309042379852,7.8248967880024445,10
52,17.199892134651474,7.905859450724788,10
53,17.509162399166378,8.06958674812507,10
54,18.048625335336602,8.066228641844965,10
55,18.208650063513613,8.211517987490478,10
56,18.59130130317315,8.303516353155524,10
57,19.050769292407228,8.344762925639653,10
58,19.359930240962978,8.337310772269582,10
59,19.670219521021984,8.203759106412503,10
60,20.05438992038431,8.249533235766831,10
61,20.51679310702178,8.216497234951381,10
62,21.056832251376363,8.303981230659824,10
63,21.518380240658388,8.352519215222628,10
64,21.827315961278266,8.271617622918214,10
65,22.059646925410163,8.314796483162414,10
66,22.445755626037364,8.274299687562591,10
67,22.677683690230015,8.345954123965377,10
68,23.066474510484856,8.313520693162019,10
69,23.452730667236203,8.31930458259902,10
70,23.760589140765568,8.373408361534011,10
71,23.99695521448932,8.307847024407701,10
72,24.156996762614682,8.517952912071433,10
73,24.619794649107615,8.593013057170594,10
74,24.778385993127923,8.483397750713252,10
75,25.086254737441354,8.59534784889903,10
76,25.47025800104554,8.723235588870654,10
77,25.85762312368316,8.842830610032731,10
78,26.394783061959856,9.079491830977416,10
79,26.70646426336267,9.103253407040354,10
80,27.018264784583703,9.328236012048766,10
81,27.251854175080332,9.485408888308081,10
82,27.40724621915826,9.51545277274972,10
83,27.4893984909006,9.557724464028942,10
84,27.719176070029086,9.532170238623676,10
85,27.883362734452646,9.466094890727998,10
86,28.19143166368816,9.530579194321202,10
87,28.348757415472654,9.59832051880587,10
88,28.57886085341197,9.618677418894604,10
89,28.583548450223283,9.62067536349608,10
90,28.893602533340903,9.575151429002702,10
91,29.198385684664395,9.546708265711747,10
92,29.43106196486362,9.604540832145425,10
93,29.512212783147078,9.637828297533709,10
94,29.899859998463434,9.688445216105698,10
95,30.051162013567858,9.792756367313782,10
96,30.35777844220187,9.796067408696047,10
97,30.738982608652066,10.03575502454372,10
98,31.11890057674326,10.16768894686618,10
99,31.431076479484073,10.209880922236726,10
100,31.5865016501259,10.239854174086062,10
101,31.594562938986428,10.234446449925409,10
102,31.827883987916984,10.278469224137176,10
103,31.988934965698906,10.287943591681081,10
104,32.218510201692524,10.283142880640867,10
105,32.523235506490366,10.34487651824488,10
106,32.8316529169214,10.42307617244767,10
107,32.9101118194146,10.493704152406638,10
108,33.14194167774831,10.510822117331323,10
109,33.374238272666965,10.618470004592545,10
110,33.60725157391803,10.780350111356109,10
111,33.8393984984316,10.779992971508074,10
112,33.99780409469018,10.572105131798645,10
113,34.23241050649447,10.561752184902145,10
114,34.31399290696355,10.399425378622556,10
115,34.39342169031523,10.531746559358915,10
116,34.473071366017024,10.669896202657437,10
117,34.56004247300997,10.809640453063325,10
118,34.563269239073854,10.807402586709944,10
119,34.647202010750455,10.945856848666674,10
120,34.87739169242357,10.992052918468953,10
121,35.0402042972389,11.112247763237258,10
122,35.11949046018905,11.264776971819087,10
123,35.19799608044903,11.208561431370384,10
124,35.20587084839622,11.204185040220617,10
125,35.288480717006784,11.171241274053942,10
126,35.44133361386203,11.091270856022595,10
127,35.520136302058255,11.068603902721792,10
128,35.601084301386074,11.053898067177812,10
129,35.681130271580784,11.015079562609568,10
130,35.758508898601896,11.170638220429964,10
131,35.91159174292593,11.106131061164334,10
132,35.988200317079524,11.059478721733372,10
133,35.99504472278714,11.066387362041276,10
134,36.071792930157144,11.084782375339984,10
135,36.079825851936405,11.080975478052753,10
136,36.08157124827731,11.081963648065107,10
137,36.084256197490895,11.081740603928402,10
138,36.1606485292041,11.131520814405047,10
139,36.24069959854378,11.15663536252141,10
