t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.6324555320336759,10
4,0.4,0.966091783079296,10
5,0.4,0.966091783079296,10
6,0.4,0.966091783079296,10
7,0.4,0.6992058987801011,10
8,0.5,0.97182531580755,10
9,0.6,0.9660917830792959,10
10,0.3,0.6749485577105528,10
11,0.5,0.7071067811865476,10
12,0.4,0.5163977794943223,10
13,0.4,0.5163977794943223,10
14,0.5,0.7071067811865476,10
15,0.8,1.0327955589886446,10
16,0.9,1.1005049346146119,10
17,0.9,1.286683937707919,10
18,1.1,1.6633299933166201,10
19,0.9,1.449137674618944,10
20,0.9,1.7288403306519917,10
21,0.9,1.7288403306519917,10
22,1.0,1.699673171197595,10
23,1.0,1.7638342073763937,10
24,1.2,1.9888578520235065,10
25,1.4,2.0655911179772892,10
26,1.3,1.888562063228706,10
27,1.3,2.0027758514399734,10
28,1.4,2.011080417199781,10
29,1.3,1.8287822299126937,10
30,1.5,1.8408935028645435,10
31,1.7,2.0027758514399734,10
32,1.5,1.9578900207451218,10
33,1.4,2.011080417199781,10
34,1.3,1.8287822299126937,10
35,1.5,1.9578900207451218,10
36,1.9,2.131770260709264,10
37,1.9,1.9692073983655907,10
38,2.0,2.260776661041756,10
39,2.0,2.0548046676563256,10
40,1.9,2.0789954839350235,10
41,1.9,1.5238839267549946,10
42,2.2,1.7511900715418263,10
43,2.2,1.9888578520235063,10
44,2.1,1.911950719959998,10
45,2.3,1.8287822299126937,10
46,2.3,2.0027758514399734,10
47,2.1,2.0789954839350235,10
48,2.3,2.110818693198342,10
49,2.0,2.0548046676563256,10
50,1.9,1.7919573407620817,10
51,2.0,1.8856180831641267,10
52,2.2,1.9321835661585918,10
53,1.9,1.9692073983655907,10
54,2.0,2.0,10
55,2.0,2.0548046676563256,10
56,2.0,1.9436506316151,10
57,2.1,2.0789954839350235,10
58,2.1,2.183269719175042,10
59,2.2,2.2010098692292237,10
60,2.2,2.14993539954628,10
61,2.2,2.3475755815545347,10
62,2.3,2.3118054512532935,10
63,2.0,2.0,10
64,2.2,1.5491933384829668,10
65,2.2,1.2292725943057183,10
66,2.1,1.449137674618944,10
67,2.4,1.7126976771553506,10
68,2.4,2.011080417199781,10
69,2.3,1.8287822299126935,10
70,2.3,1.8287822299126935,10
71,2.4,1.505545305418162,10
72,2.2,1.9888578520235065,10
73,1.9,2.1317702607092643,10
74,1.9,2.282785822435191,10
75,1.8,2.440400695696417,10
76,1.8,2.4855135843076335,10
77,1.9,2.282785822435191,10
78,2.0,2.6246692913372702,10
79,1.8,2.3944379994757297,10
80,1.6,2.3664319132398464,10
81,1.5,2.3213980461973533,10
82,1.3,2.5407785333546005,10
83,1.2,2.5298221281347035,10
84,1.5,2.6770630673681683,10
85,1.6,2.4585451886114367,10
86,1.3,2.057506581601462,10
87,1.4,2.065591117977289,10
88,1.4,2.2705848487901865,10
89,1.3,2.110818693198342,10
90,1.2,1.9888578520235063,10
91,1.0,1.7638342073763937,10
92,1.1,1.728840330651992,10
93,0.8,1.475729574745244,10
94,1.2,1.5491933384829668,10
95,1.2,1.5491933384829668,10
96,1.3,1.2516655570345725,10
97,1.3,1.2516655570345725,10
98,1.4,1.2649110640673518,10
99,1.2,1.1352924243950933,10
100,1.1,1.1972189997378648,10
101,1.3,1.1595018087284057,10
102,1.4,1.505545305418162,10
103,1.7,1.70293863659264,10
104,1.5,1.7159383568311668,10
105,1.7,1.8885620632287057,10
106,1.4,1.577621275493231,10
107,1.5,1.6499158227686108,10
108,1.5,1.509230856356236,10
109,1.6,1.577621275493231,10
110,1.7,1.70293863659264,10
111,1.7,1.4944341180973262,10
112,1.5,1.35400640077266,10
113,1.4,1.429840705968481,10
114,1.5,1.6499158227686108,10
115,1.2,1.4757295747452437,10
116,1.3,1.5670212364724212,10
117,1.3,1.5670212364724212,10
118,1.4,1.577621275493231,10
119,1.5,1.509230856356236,10
120,1.6,1.577621275493231,10
121,1.4,1.577621275493231,10
122,1.4,1.349897115421106,10
123,1.3,1.4181364924121764,10
124,1.1,1.286683937707919,10
125,1.1,1.1972189997378648,10
126,1.0,1.247219128924647,10
127,0.9,1.286683937707919,10
128,1.0,1.4907119849998598,10
129,1.1,1.728840330651992,10
130,1.2,1.9888578520235063,10
131,1.4,2.065591117977289,10
132,1.4,1.955050439815357,10
133,1.4,1.9550504398153572,10
134,1.2,1.9888578520235063,10
135,1.3,1.828782229912694,10
136,1.0,1.8856180831641267,10
137,1.1,1.9692073983655907,10
138,0.9,1.5951314818673865,10
139,1.0,1.8856180831641267,10
140,1.2,2.1499353995462798,10
141,1.2,2.1499353995462798,10
142,1.3,2.1628170930011112,10
143,1.1,1.852925614624973,10
144,1.1,1.852925614624973,10
145,0.9,1.5238839267549946,10
146,0.8,1.5491933384829668,10
147,1.3,1.888562063228706,10
148,1.4,1.9550504398153572,10
149,1.3,2.1628170930011112,10
150,1.5,2.068278940998476,10
151,1.4,2.1186998109427604,10
152,1.3,2.4517567397911058,10
153,1.2,2.485513584307633,10
154,1.2,2.2010098692292237,10
