t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.3,0.4830458915396479,10
4,0.5,0.8498365855987975,10
5,0.5,0.7071067811865476,10
6,0.5,0.7071067811865476,10
7,0.6,0.6992058987801011,10
8,0.7,0.8232726023485646,10
9,0.6,0.6992058987801011,10
10,0.5,0.7071067811865476,10
11,0.7,0.8232726023485646,10
12,0.9,0.9944289260117533,10
13,0.9,0.9944289260117533,10
14,1.0,1.1547005383792515,10
15,1.3,1.4944341180973264,10
16,1.6,1.4298407059684812,10
17,1.5,1.6499158227686108,10
18,1.9,1.9692073983655907,10
19,1.8,1.9888578520235067,10
20,1.5,1.7795130420052185,10
21,1.3,1.828782229912694,10
22,1.3,1.7029386365926402,10
23,1.4,1.6465452046971292,10
24,1.6,1.6465452046971292,10
25,1.6,1.3498971154211057,10
26,1.7,1.4944341180973262,10
27,2.1,1.66332999331662,10
28,1.9,1.7919573407620815,10
29,1.9,1.66332999331662,10
30,1.8,1.6193277068654826,10
31,1.9,1.8529256146249728,10
32,1.8,1.8737959096740264,10
33,1.9,1.8529256146249728,10
34,1.8,1.6865480854231356,10
35,2.1,1.5951314818673865,10
36,2.1,1.9692073983655907,10
37,2.1,1.9119507199599983,10
38,2.3,2.1628170930011112,10
39,2.4,2.0655911179772892,10
40,2.4,1.7763883459298973,10
41,2.3,1.70293863659264,10
42,2.6,1.6465452046971292,10
43,2.7,1.7029386365926402,10
44,3.0,1.7638342073763937,10
45,2.8,1.8135294011647258,10
46,2.7,2.057506581601462,10
47,2.5,2.0138409955990952,10
48,2.3,1.888562063228706,10
49,2.0,1.8856180831641267,10
50,2.1,1.7919573407620815,10
51,2.1,1.7919573407620815,10
52,1.8,1.3984117975602022,10
53,1.8,1.4757295747452437,10
54,1.9,1.286683937707919,10
55,1.7,1.3374935098492586,10
56,1.7,1.3374935098492586,10
57,1.9,1.449137674618944,10
58,1.9,1.5951314818673867,10
59,1.8,1.6865480854231356,10
60,1.7,1.7669811040931427,10
61,1.5,1.6499158227686108,10
62,1.8,1.6193277068654826,10
63,1.5,1.35400640077266,10
64,1.5,1.2692955176439846,10
65,1.8,1.1352924243950933,10
66,1.7,1.2516655570345725,10
67,1.8,1.3165611772087666,10
68,1.6,1.07496769977314,10
69,1.5,0.97182531580755,10
70,1.5,0.97182531580755,10
71,1.4,0.8432740427115679,10
72,1.7,1.0593499054713802,10
73,2.0,1.0540925533894598,10
74,1.5,1.35400640077266,10
75,1.3,1.2516655570345725,10
76,1.5,1.0801234497346435,10
77,1.4,1.1737877907772674,10
78,1.3,1.2516655570345725,10
79,1.2,1.1352924243950933,10
80,1.1,1.1005049346146119,10
81,0.9,1.523883926754995,10
82,0.7,1.2516655570345725,10
83,0.7,1.2516655570345725,10
84,0.8,1.2292725943057186,10
85,0.9,1.1005049346146119,10
86,0.9,1.1972189997378648,10
87,0.8,1.1352924243950935,10
88,0.8,1.0327955589886446,10
89,0.7,0.9486832980505138,10
90,0.8,1.0327955589886446,10
91,0.8,1.0327955589886446,10
92,0.8,1.3165611772087666,10
93,0.9,1.5951314818673865,10
94,1.0,1.5634719199411433,10
95,1.1,1.5951314818673865,10
96,1.0,1.3333333333333333,10
97,0.9,1.286683937707919,10
98,0.9,1.286683937707919,10
99,0.7,1.0593499054713802,10
100,0.9,0.9944289260117533,10
101,0.8,1.1352924243950935,10
102,0.7,1.0593499054713802,10
103,0.7,1.0593499054713802,10
104,0.6,0.8432740427115678,10
105,0.7,0.8232726023485646,10
106,0.7,0.6749485577105528,10
107,0.8,0.7888106377466155,10
108,0.7,0.6749485577105528,10
109,0.6,0.699205898780101,10
110,0.5,0.7071067811865476,10
111,0.5,0.7071067811865476,10
112,0.5,0.7071067811865476,10
113,0.5,0.8498365855987975,10
114,0.6,1.0749676997731399,10
115,0.6,1.0749676997731399,10
116,0.5,1.0801234497346435,10
117,0.4,0.8432740427115679,10
118,0.6,1.0749676997731399,10
119,0.7,1.0593499054713802,10
120,0.6,0.8432740427115678,10
121,0.5,0.7071067811865476,10
122,0.6,0.9660917830792959,10
123,0.5,0.8498365855987975,10
124,0.5,0.8498365855987975,10
125,0.5,0.8498365855987975,10
126,0.6,0.8432740427115679,10
127,0.5,0.8498365855987975,10
128,0.6,1.0749676997731399,10
129,1.0,1.4907119849998598,10
130,0.9,1.3703203194062978,10
131,0.8,1.1352924243950935,10
132,0.6,1.0749676997731399,10
133,0.7,1.0593499054713802,10
134,0.8,1.0327955589886446,10
135,0.7,1.0593499054713802,10
136,0.8,1.0327955589886446,10
137,0.7,0.8232726023485646,10
138,0.8,0.7888106377466155,10
139,0.8,0.7888106377466155,10
140,0.8,0.7888106377466155,10
141,0.9,0.9944289260117533,10
142,0.9,0.9944289260117533,10
143,0.9,0.9944289260117533,10
144,1.0,1.1547005383792515,10
145,1.0,1.0540925533894598,10
146,1.2,1.2292725943057181,10
147,1.3,1.1595018087284057,10
