Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
1,2,1
2,3,1
3,3,0
3,4,1
3,4,1
4,4,0
3,3,0
3,3,0
3,4,1
3,4,1
3,4,1
3,5,2
3,5,2
3,4,1
3,4,1
3,5,2
3,5,2
3,4,1
3,4,1
3,3,0
3,4,1
4,5,1
5,6,1
5,6,1
5,5,0
4,4,0
4,4,0
4,5,1
4,5,1
4,4,0
4,4,0
4,4,0
3,4,1
4,4,0
4,4,0
4,5,1
4,4,0
3,3,0
2,3,1
2,3,1
2,2,0
2,3,1
2,2,0
1,2,1
1,2,1
1,2,1
1,1,0
0,1,1
0,0,0
0,1,1
1,2,1
1,3,2
2,4,2
3,5,2
3,4,1
3,3,0
2,3,1
2,3,1
3,4,1
3,4,1
3,4,1
3,4,1
3,5,2
3,5,2
3,4,1
3,5,2
4,6,2
4,5,1
4,5,1
4,4,0
4,4,0
4,5,1
4,4,0
4,4,0
4,4,0
4,5,1
4,5,1
4,4,0
3,4,1
4,5,1
4,5,1
4,5,1
4,5,1
4,6,2
4,6,2
5,7,2
5,6,1
5,6,1
5,6,1
5,7,2
6,8,2
6,7,1
6,7,1
6,8,2
7,9,2
8,9,1
7,8,1
7,9,2
8,9,1
8,9,1
7,9,2
7,9,2
8,9,1
8,10,2
9,10,1
9,11,2
10,11,1
10,12,2
11,13,2
11,14,3
12,15,3
12,15,3
12,14,2
13,14,1
12,13,1
12,14,2
13,14,1
13,14,1
13,14,1
13,15,2
12,15,3
12,15,3
12,16,4
12,16,4
12,15,3
12,15,3
13,15,2
13,15,2
13,16,3
13,16,3
13,15,2
13,16,3
13,16,3
13,16,3
13,16,3
13,16,3
13,16,3
14,17,3
14,17,3
14,16,2
14,16,2
14,17,3
14,16,2
14,17,3
14,18,4
14,18,4
14,17,3
14,17,3
14,18,4
14,18,4
14,18,4
14,17,3
14,17,3
14,18,4
15,18,3
14,18,4
14,18,4
15,19,4
15,18,3
15,18,3
16,19,3
16,19,3
16,19,3
16,19,3
16,19,3
17,20,3
18,21,3
19,21,2
19,21,2
18,21,3
18,21,3
19,21,2
18,21,3
19,21,2
19,21,2
19,21,2
20,21,1
19,21,2
19,20,1
19,20,1
19,19,0
18,19,1
19,20,1
19,20,1
19,20,1
20,20,0
19,20,1
19,19,0
19,20,1
20,20,0
20,21,1
20,21,1
21,21,0
20,21,1
20,20,0
20,21,1
21,22,1
21,21,0
20,20,0
20,20,0
19,20,1
20,21,1
20,21,1
20,21,1
20,21,1
20,22,2
20,22,2
20,21,1
20,21,1
20,22,2
21,23,2
21,23,2
22,24,2
22,24,2
23,24,1
23,24,1
24,24,0
24,24,0
24,25,1
24,25,1
24,25,1
25,26,1
26,27,1
26,27,1
26,26,0
25,26,1
25,26,1
25,26,1
26,27,1
26,26,0
25,26,1
26,26,0
26,27,1
26,27,1
26,27,1
26,26,0
26,27,1
26,26,0
25,25,0
25,25,0
25,26,1
26,27,1
27,28,1
26,27,1
25,27,2
26,28,2
25,28,3
26,29,3
27,29,2
27,30,3
27,29,2
27,30,3
28,30,2
28,30,2
28,31,3
28,30,2
28,31,3
28,30,2
28,30,2
27,30,3
27,29,2
26,28,2
26,28,2
26,29,3
27,29,2
26,29,3
26,28,2
26,29,3
26,29,3
26,29,3
27,29,2
27,29,2
26,29,3
26,28,2
26,29,3
26,29,3
26,28,2
26,28,2
26,29,3
26,29,3
26,28,2
25,27,2
24,26,2
24,27,3
24,27,3
24,27,3
25,28,3
25,27,2
25,28,3
25,27,2
25,28,3
25,28,3
25,28,3
25,27,2
24,27,3
24,26,2
24,26,2
24,27,3
24,26,2
23,26,3
23,26,3
24,27,3
25,28,3
25,28,3
25,27,2
25,27,2
25,28,3
26,29,3
27,29,2
27,30,3
27,29,2
27,29,2
26,28,2
26,28,2
27,29,2
27,28,1
27,29,2
28,30,2
28,30,2
29,30,1
29,31,2
29,31,2
30,31,1
30,32,2
30,32,2
29,31,2
28,30,2
28,31,3
29,31,2
29,32,3
29,32,3
29,32,3
29,32,3
29,32,3
29,33,4
29,34,5
29,35,6
29,35,6
30,36,6
31,36,5
30,35,5
30,35,5
30,36,6
31,36,5
30,35,5
30,36,6
30,36,6
30,36,6
30,35,5
30,36,6
30,35,5
30,35,5
29,35,6
29,35,6
30,35,5
30,36,6
30,35,5
30,35,5
30,36,6
30,35,5
31,35,4
31,35,4
31,35,4
31,35,4
31,36,5
31,35,4
31,35,4
31,35,4
31,36,5
31,36,5
31,35,4
31,35,4
30,34,4
29,34,5
29,33,4
29,33,4
29,33,4
29,33,4
28,32,4
28,32,4
28,32,4
28,31,3
27,30,3
26,30,4
26,30,4
26,30,4
26,30,4
26,30,4
27,31,4
28,32,4
28,31,3
27,30,3
27,31,4
28,32,4
28,32,4
28,32,4
28,32,4
28,32,4
28,32,4
28,33,5
28,33,5
29,34,5
29,33,4
29,33,4
29,33,4
29,33,4
29,34,5
30,35,5
31,36,5
31,36,5
32,37,5
32,36,4
32,36,4
31,36,5
31,36,5
31,36,5
31,35,4
31,34,3
31,35,4
31,34,3
31,35,4
31,35,4
32,35,3
31,35,4
31,34,3
31,35,4
31,35,4
31,36,5
31,36,5
32,37,5
32,37,5
32,37,5
32,38,6
32,38,6
32,38,6
32,38,6
32,38,6
31,38,7
31,37,6
31,37,6
30,36,6
30,37,7
31,38,7
31,37,6
31,36,5
31,36,5
30,35,5
30,36,6
30,35,5
30,35,5
31,36,5
31,36,5
31,36,5
31,35,4
31,36,5
31,36,5
31,36,5
31,35,4
31,36,5
31,36,5
31,36,5
31,35,4
31,36,5
32,36,4
31,35,4
31,35,4
31,36,5
31,35,4
31,35,4
31,35,4
31,35,4
31,35,4
31,35,4
32,36,4
33,37,4
34,38,4
34,38,4
34,38,4
35,38,3
35,39,4
35,39,4
35,40,5
36,41,5
37,42,5
37,41,4
37,42,5
38,43,5
38,43,5
38,44,6
38,44,6
38,44,6
38,43,5
38,43,5
38,43,5
38,43,5
38,42,4
38,43,5
38,43,5
39,43,4
39,44,5
40,45,5
40,44,4
40,44,4
40,44,4
39,43,4
39,44,5
39,43,4
38,43,5
38,43,5
38,42,4
