Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
1,1,0
1,2,1
2,2,0
1,1,0
1,2,1
2,3,1
2,3,1
3,4,1
3,4,1
3,4,1
4,4,0
4,5,1
5,5,0
4,5,1
4,4,0
3,4,1
3,4,1
3,4,1
4,4,0
3,3,0
3,3,0
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,4,2
2,4,2
3,5,2
3,4,1
3,4,1
3,3,0
2,3,1
3,4,1
3,4,1
3,5,2
4,5,1
4,6,2
4,6,2
4,6,2
5,7,2
6,8,2
7,8,1
6,7,1
6,8,2
6,8,2
6,7,1
6,6,0
5,5,0
4,5,1
5,5,0
4,4,0
3,3,0
3,4,1
3,4,1
4,4,0
4,4,0
4,5,1
5,5,0
5,6,1
6,6,0
6,6,0
6,6,0
6,7,1
6,7,1
6,6,0
6,7,1
6,7,1
7,7,0
6,7,1
6,6,0
5,6,1
6,7,1
7,8,1
7,9,2
8,9,1
8,8,0
7,8,1
7,8,1
7,8,1
7,8,1
7,7,0
7,8,1
7,8,1
7,8,1
7,8,1
7,7,0
7,7,0
6,7,1
6,7,1
6,7,1
6,7,1
6,6,0
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,8,2
6,8,2
6,8,2
6,9,3
7,10,3
7,10,3
7,10,3
7,10,3
8,11,3
8,11,3
9,12,3
10,12,2
9,12,3
9,12,3
9,11,2
9,10,1
8,10,2
8,10,2
8,9,1
8,10,2
8,10,2
9,10,1
9,11,2
9,11,2
9,11,2
9,10,1
9,11,2
9,10,1
9,11,2
10,11,1
10,12,2
10,12,2
10,12,2
10,12,2
11,13,2
11,13,2
12,14,2
12,14,2
13,14,1
12,13,1
12,13,1
12,13,1
12,13,1
12,12,0
12,12,0
11,11,0
11,12,1
12,13,1
12,12,0
12,13,1
12,13,1
13,14,1
14,15,1
14,15,1
14,15,1
14,15,1
14,14,0
13,13,0
12,13,1
12,13,1
12,13,1
12,13,1
13,14,1
14,14,0
13,14,1
13,14,1
13,13,0
13,13,0
13,14,1
13,14,1
13,14,1
13,15,2
13,14,1
13,13,0
12,12,0
12,13,1
12,12,0
12,13,1
12,12,0
12,12,0
12,12,0
12,13,1
12,13,1
12,13,1
12,13,1
12,12,0
11,11,0
11,12,1
11,12,1
11,12,1
11,12,1
11,13,2
11,13,2
11,13,2
11,13,2
12,14,2
13,14,1
12,13,1
11,12,1
10,12,2
11,13,2
11,13,2
11,13,2
12,13,1
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,13,1
11,12,1
11,13,2
11,12,1
11,13,2
12,14,2
12,13,1
12,14,2
12,15,3
12,15,3
12,15,3
12,15,3
13,16,3
14,17,3
15,18,3
16,19,3
17,19,2
17,20,3
18,20,2
18,20,2
18,19,1
19,20,1
20,20,0
19,20,1
19,20,1
20,21,1
21,22,1
21,22,1
21,22,1
21,21,0
21,22,1
22,23,1
22,23,1
22,23,1
22,23,1
22,22,0
21,21,0
21,22,1
22,22,0
21,21,0
20,21,1
21,22,1
21,22,1
21,23,2
21,23,2
22,24,2
22,25,3
22,24,2
22,24,2
22,24,2
22,23,1
22,24,2
22,24,2
22,25,3
23,26,3
24,26,2
24,26,2
24,25,1
24,25,1
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,25,1
24,25,1
24,25,1
24,26,2
24,26,2
25,26,1
24,25,1
24,26,2
24,26,2
24,26,2
24,27,3
24,27,3
24,27,3
24,28,4
24,27,3
24,28,4
24,28,4
24,27,3
24,28,4
24,27,3
24,27,3
24,27,3
24,26,2
24,26,2
24,27,3
24,27,3
24,27,3
24,27,3
25,27,2
25,27,2
25,27,2
25,28,3
25,28,3
25,27,2
25,28,3
26,28,2
26,29,3
25,28,3
25,28,3
25,28,3
25,28,3
25,28,3
25,29,4
25,29,4
25,28,3
25,29,4
25,29,4
25,30,5
26,31,5
26,31,5
26,30,4
26,30,4
25,30,5
25,30,5
25,30,5
26,31,5
27,32,5
28,33,5
28,33,5
28,32,4
28,32,4
27,31,4
27,31,4
27,31,4
27,31,4
27,31,4
28,32,4
28,32,4
28,32,4
28,32,4
28,33,5
29,33,4
29,34,5
30,34,4
29,34,5
29,33,4
29,34,5
30,35,5
31,36,5
31,35,4
31,35,4
31,35,4
31,34,3
31,34,3
31,34,3
31,35,4
31,35,4
31,35,4
31,35,4
32,36,4
32,35,3
32,35,3
32,36,4
32,36,4
32,35,3
33,36,3
33,36,3
33,35,2
33,35,2
33,36,3
33,37,4
33,36,3
33,37,4
33,37,4
33,36,3
33,36,3
33,36,3
33,36,3
33,36,3
34,36,2
34,36,2
34,37,3
34,37,3
35,38,3
36,38,2
36,39,3
37,39,2
37,40,3
37,39,2
37,38,1
37,39,2
37,39,2
37,39,2
38,40,2
38,39,1
38,38,0
37,38,1
37,39,2
38,40,2
38,39,1
38,39,1
39,39,0
38,38,0
37,38,1
37,38,1
37,38,1
38,38,0
38,39,1
38,38,0
38,38,0
38,39,1
38,39,1
39,40,1
39,40,1
39,39,0
39,40,1
39,39,0
39,40,1
39,40,1
40,40,0
40,41,1
40,40,0
39,39,0
39,40,1
39,39,0
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,40,2
39,41,2
39,40,1
39,41,2
39,41,2
39,41,2
40,42,2
41,43,2
40,43,3
40,43,3
40,43,3
41,44,3
41,43,2
40,43,3
41,43,2
41,44,3
41,44,3
41,44,3
41,44,3
41,45,4
41,44,3
41,44,3
41,44,3
41,44,3
42,45,3
43,45,2
42,45,3
42,45,3
42,45,3
43,46,3
44,46,2
43,46,3
43,46,3
43,46,3
43,46,3
43,46,3
43,46,3
44,47,3
44,47,3
44,47,3
45,48,3
45,47,2
44,46,2
44,47,3
43,47,4
43,47,4
43,47,4
43,47,4
42,47,5
42,47,5
42,47,5
42,46,4
42,47,5
42,47,5
42,47,5
43,48,5
43,48,5
43,47,4
43,47,4
43,47,4
43,47,4
44,47,3
44,48,4
44,48,4
44,47,3
44,46,2
43,46,3
44,46,2
44,46,2
44,45,1
44,46,2
