t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.2,0.42163702135578396,10
5,0.2,0.42163702135578396,10
6,0.2,0.42163702135578396,10
7,0.4,0.6992058987801011,10
8,0.6,0.8432740427115678,10
9,0.8,1.3165611772087666,10
10,0.8,1.1352924243950935,10
11,0.9,1.286683937707919,10
12,0.9,1.1972189997378648,10
13,1.0,1.3333333333333333,10
14,0.8,1.3165611772087666,10
15,0.7,1.636391694484477,10
16,0.7,1.636391694484477,10
17,0.6,1.577621275493231,10
18,0.4,1.2649110640673518,10
19,0.5,0.97182531580755,10
20,0.5,0.97182531580755,10
21,0.6,1.2649110640673518,10
22,0.8,1.3165611772087666,10
23,0.8,1.3165611772087666,10
24,1.0,1.3333333333333333,10
25,0.8,1.0327955589886446,10
26,1.0,0.9428090415820634,10
27,1.0,0.9428090415820634,10
28,1.0,1.0540925533894598,10
29,0.6,0.9660917830792958,10
30,0.5,0.97182531580755,10
31,0.6,1.2649110640673518,10
32,0.6,0.9660917830792958,10
33,0.5,0.97182531580755,10
34,0.4,0.966091783079296,10
35,0.6,0.9660917830792958,10
36,0.9,0.9944289260117534,10
37,0.7,0.8232726023485646,10
38,0.7,0.8232726023485646,10
39,0.5,0.8498365855987975,10
40,0.5,0.7071067811865476,10
41,0.7,0.8232726023485646,10
42,0.8,0.9189365834726815,10
43,0.6,0.699205898780101,10
44,0.5,0.5270462766947299,10
45,0.3,0.4830458915396479,10
46,0.2,0.6324555320336759,10
47,0.1,0.5676462121975466,10
48,0.2,0.42163702135578396,10
49,0.1,0.31622776601683794,10
50,0.3,0.6749485577105528,10
51,0.3,0.6749485577105528,10
52,0.4,0.6992058987801011,10
53,0.2,0.42163702135578396,10
54,0.2,0.42163702135578396,10
55,0.4,0.6992058987801011,10
56,0.4,0.8432740427115679,10
57,0.5,1.0801234497346435,10
58,0.5,1.0801234497346435,10
59,0.5,0.8498365855987975,10
60,0.6,1.0749676997731399,10
61,0.6,0.8432740427115678,10
62,0.5,0.7071067811865476,10
63,0.5,0.8498365855987975,10
64,0.3,0.4830458915396479,10
65,0.4,0.6992058987801011,10
66,0.4,0.6992058987801011,10
67,0.5,0.8498365855987975,10
68,0.7,0.9486832980505138,10
69,0.8,1.0327955589886446,10
70,0.8,1.1352924243950935,10
71,0.8,0.9189365834726815,10
72,0.8,0.9189365834726815,10
73,1.2,0.7888106377466155,10
74,1.0,0.9428090415820634,10
75,1.2,0.9189365834726815,10
76,1.1,0.9944289260117533,10
77,1.0,1.0540925533894598,10
78,0.9,1.1005049346146119,10
79,0.9,1.449137674618944,10
80,0.9,1.286683937707919,10
81,0.9,1.1005049346146119,10
82,1.1,1.449137674618944,10
83,1.1,1.3703203194062976,10
84,1.1,1.66332999331662,10
85,1.1,1.66332999331662,10
86,1.3,1.5670212364724212,10
87,1.2,1.6193277068654826,10
88,1.1,1.66332999331662,10
89,1.2,1.7511900715418263,10
90,1.4,1.8973665961010273,10
91,1.4,2.0110804171997807,10
92,1.4,2.0110804171997807,10
93,1.5,2.173067468400883,10
94,1.4,2.2211108331943574,10
95,1.1,2.2335820757001272,10
96,1.4,2.170509412813294,10
97,1.2,2.14993539954628,10
98,1.2,2.2997584414213783,10
99,1.2,2.2997584414213783,10
100,1.4,2.503331114069145,10
101,1.6,2.836272984824353,10
102,1.6,3.272783388968954,10
103,1.6,2.913569784454954,10
104,1.3,2.9078437983419185,10
105,1.3,2.584139659108574,10
106,1.6,2.6749870196985173,10
107,1.6,2.716206504995115,10
108,1.8,3.0477678535099897,10
109,1.7,2.79085809185793,10
110,1.6,2.716206504995115,10
111,1.5,2.6770630673681683,10
112,1.6,2.547329756605707,10
113,1.4,2.590581230363393,10
114,1.4,2.6749870196985173,10
115,1.4,2.6331223544175333,10
116,1.4,2.503331114069145,10
117,1.4,2.6331223544175333,10
118,1.4,2.5473297566057065,10
119,1.5,2.5055493963954847,10
120,1.4,2.5473297566057065,10
121,1.5,2.3213980461973533,10
122,1.3,2.110818693198342,10
