t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.2,0.42163702135578396,10
5,0.1,0.31622776601683794,10
6,0.3,0.4830458915396479,10
7,0.4,0.5163977794943223,10
8,0.4,0.5163977794943223,10
9,0.4,0.5163977794943223,10
10,0.4,0.5163977794943223,10
11,0.6,0.6992058987801011,10
12,0.6,0.5163977794943223,10
13,0.7,0.8232726023485646,10
14,0.9,0.8755950357709131,10
15,1.1,0.875595035770913,10
16,1.1,1.1005049346146119,10
17,1.0,0.9428090415820634,10
18,1.1,1.1005049346146119,10
19,1.1,1.1005049346146119,10
20,1.2,1.2292725943057181,10
21,1.3,1.2516655570345725,10
22,1.6,1.1737877907772674,10
23,1.6,1.1737877907772674,10
24,1.7,1.2516655570345725,10
25,1.8,1.3984117975602022,10
26,1.8,1.5491933384829668,10
27,1.6,1.577621275493231,10
28,1.8,1.7511900715418263,10
29,1.9,1.728840330651992,10
30,2.0,1.9436506316151,10
31,1.8,1.932183566158592,10
32,1.9,1.911950719959998,10
33,1.9,1.9692073983655907,10
34,2.1,1.9692073983655907,10
35,2.0,1.8856180831641267,10
36,2.2,2.043961295567452,10
37,2.0,2.160246899469287,10
38,2.1,2.024845673131659,10
39,1.7,1.7669811040931427,10
40,1.7,1.8287822299126935,10
41,1.6,1.7126976771553508,10
42,1.9,1.9692073983655907,10
43,1.7,1.70293863659264,10
44,1.6,1.7763883459298973,10
45,1.5,1.7795130420052185,10
46,1.6,1.837873166945363,10
47,1.5,1.90029237516523,10
48,1.7,1.8885620632287057,10
49,1.8,2.14993539954628,10
50,1.8,2.3475755815545347,10
51,1.7,2.4060109910158114,10
52,1.5,2.273030282830976,10
53,1.4,2.1705094128132942,10
54,1.5,2.1213203435596424,10
55,1.5,2.0138409955990952,10
56,1.4,1.9550504398153572,10
57,1.3,1.9465068427541912,10
58,1.5,2.0138409955990952,10
59,1.4,2.065591117977289,10
60,1.5,2.0138409955990952,10
61,1.3,1.7669811040931427,10
62,1.2,1.6865480854231356,10
63,1.2,1.6865480854231356,10
64,1.1,1.449137674618944,10
65,1.1,1.449137674618944,10
66,0.9,1.1972189997378648,10
67,1.2,1.5491933384829668,10
68,1.3,1.4944341180973264,10
69,1.2,1.2292725943057181,10
70,1.5,1.509230856356236,10
71,1.3,1.0593499054713804,10
72,1.4,1.1737877907772674,10
73,1.3,1.2516655570345725,10
74,1.3,1.2516655570345725,10
75,1.3,1.2516655570345725,10
76,1.3,1.2516655570345725,10
77,1.2,1.2292725943057183,10
78,1.3,1.1595018087284057,10
79,1.3,1.0593499054713802,10
80,1.2,1.1352924243950935,10
81,1.2,1.1352924243950935,10
82,1.4,1.3498971154211057,10
83,1.5,1.4337208778404378,10
84,1.5,1.4337208778404378,10
85,1.4,1.429840705968481,10
86,1.6,1.349897115421106,10
87,1.6,1.349897115421106,10
88,1.7,1.3374935098492586,10
89,1.8,1.6865480854231356,10
90,1.8,1.4757295747452437,10
91,2.0,1.5634719199411433,10
92,1.9,1.4491376746189437,10
93,2.1,1.3703203194062978,10
94,2.1,1.3703203194062978,10
95,2.1,1.449137674618944,10
96,2.1,1.449137674618944,10
97,2.1,1.449137674618944,10
98,2.0,1.4142135623730951,10
99,1.8,1.3165611772087666,10
100,2.0,1.5634719199411433,10
101,2.0,1.4142135623730951,10
102,1.9,1.449137674618944,10
103,2.0,1.632993161855452,10
104,1.7,1.7669811040931427,10
105,1.7,2.0027758514399734,10
106,1.7,2.0027758514399734,10
107,1.8,2.2997584414213788,10
108,1.9,2.2335820757001272,10
109,1.7,2.0027758514399734,10
110,1.5,1.90029237516523,10
111,1.7,2.057506581601462,10
112,1.8,1.9888578520235065,10
113,2.1,2.024845673131659,10
114,2.0,2.1081851067789197,10
115,2.0,2.3570226039551585,10
116,1.9,2.2335820757001272,10
117,1.9,2.2827858224351907,10
118,2.0,2.211083193570267,10
119,2.0,2.1081851067789197,10
120,2.1,1.8529256146249728,10
121,2.2,1.7511900715418263,10
122,2.1,1.728840330651992,10
123,2.0,1.7638342073763937,10
124,2.2,1.6193277068654826,10
125,2.2,1.6193277068654826,10
126,2.1,1.8529256146249728,10
127,1.9,1.728840330651992,10
128,2.0,1.8856180831641267,10
129,2.0,1.632993161855452,10
130,2.0,1.9436506316151,10
131,1.9,2.0248456731316584,10
132,1.9,2.0248456731316584,10
133,2.0,2.260776661041756,10
134,1.8,2.3475755815545347,10
135,1.9,2.282785822435191,10
136,2.0,2.5385910352879693,10
137,2.0,2.5385910352879693,10
138,2.0,2.5385910352879693,10
139,2.0,2.260776661041756,10
140,2.0,2.0,10
141,2.1,2.0248456731316584,10
142,2.1,1.8529256146249728,10
143,2.0,1.8856180831641267,10
144,2.0,1.8856180831641267,10
145,1.9,1.66332999331662,10
146,2.0,1.699673171197595,10
147,2.2,1.9888578520235063,10
148,2.2,2.2010098692292237,10
149,2.3,2.1628170930011112,10
150,2.4,2.3190036174568114,10
151,2.6,2.503331114069145,10
152,2.5,2.6770630673681683,10
153,2.6,2.590581230363393,10
