t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.2,0.6324555320336759,10
6,0.4,0.6992058987801011,10
7,0.5,0.7071067811865476,10
8,0.6,0.9660917830792959,10
9,0.7,1.2516655570345725,10
10,0.7,1.2516655570345725,10
11,0.9,1.5238839267549946,10
12,0.8,1.2292725943057183,10
13,1.1,1.286683937707919,10
14,1.3,1.1595018087284057,10
15,1.5,0.97182531580755,10
16,1.6,0.8432740427115679,10
17,1.5,0.97182531580755,10
18,1.6,0.9660917830792959,10
19,1.6,0.9660917830792959,10
20,1.4,0.8432740427115678,10
21,1.5,1.1785113019775793,10
22,1.7,1.1595018087284057,10
23,1.7,1.2516655570345725,10
24,1.7,1.2516655570345725,10
25,1.7,1.2516655570345725,10
26,1.9,1.3703203194062976,10
27,1.6,1.3498971154211057,10
28,1.6,1.3498971154211057,10
29,1.4,1.5055453054181622,10
30,1.3,1.3374935098492586,10
31,1.3,1.4181364924121764,10
32,1.5,1.4337208778404378,10
33,1.4,1.4298407059684812,10
34,1.4,1.4298407059684812,10
35,1.4,1.577621275493231,10
36,1.6,1.505545305418162,10
37,1.5,1.5811388300841898,10
38,1.7,1.7669811040931427,10
39,1.3,1.6363916944844772,10
40,1.1,1.5951314818673865,10
41,1.1,1.5238839267549948,10
42,1.2,1.5491933384829668,10
43,1.2,1.5491933384829668,10
44,1.2,1.6193277068654828,10
45,1.0,1.5634719199411433,10
46,1.0,1.5634719199411433,10
47,0.9,1.5238839267549946,10
48,1.0,1.4907119849998598,10
49,1.0,1.247219128924647,10
50,1.0,1.247219128924647,10
51,1.0,1.0540925533894598,10
52,0.9,0.9944289260117533,10
53,0.8,0.9189365834726815,10
54,0.7,0.8232726023485646,10
55,0.8,1.0327955589886446,10
56,0.7,1.0593499054713802,10
57,0.7,0.9486832980505138,10
58,0.6,0.699205898780101,10
59,0.5,0.7071067811865476,10
60,0.8,0.7888106377466155,10
61,0.9,1.1005049346146119,10
62,0.9,1.1972189997378648,10
63,0.9,1.1972189997378648,10
64,0.7,1.0593499054713802,10
65,0.8,1.0327955589886446,10
66,0.7,0.9486832980505138,10
67,0.8,0.9189365834726815,10
68,1.0,0.9428090415820634,10
69,0.9,0.9944289260117534,10
70,1.1,0.9944289260117533,10
71,1.3,1.2516655570345725,10
72,1.2,1.5491933384829666,10
73,1.3,1.5670212364724212,10
74,1.2,1.6193277068654823,10
75,1.2,1.6865480854231356,10
76,1.3,1.6363916944844772,10
77,1.2,1.6865480854231356,10
78,1.3,1.9465068427541912,10
79,1.4,2.011080417199781,10
80,1.3,1.9465068427541912,10
81,1.4,1.8973665961010275,10
82,1.4,1.8973665961010275,10
83,1.4,1.8973665961010275,10
84,1.3,1.9465068427541912,10
85,1.2,1.9888578520235067,10
86,1.2,1.9888578520235067,10
87,1.2,1.9888578520235067,10
88,1.3,1.9465068427541912,10
89,1.2,1.6865480854231356,10
90,1.3,1.636391694484477,10
91,1.3,1.636391694484477,10
92,1.2,1.4757295747452437,10
93,1.3,1.4181364924121764,10
94,1.3,1.4181364924121764,10
95,1.2,1.3165611772087666,10
96,1.2,1.2292725943057183,10
97,1.3,1.1595018087284057,10
98,1.3,1.1595018087284057,10
99,1.3,1.1595018087284057,10
100,1.4,1.1737877907772671,10
101,1.4,1.2649110640673518,10
102,1.4,1.2649110640673518,10
103,1.5,1.4337208778404378,10
104,1.2,1.3165611772087666,10
105,1.3,1.4944341180973264,10
106,1.3,1.4944341180973264,10
107,1.5,1.5811388300841898,10
108,1.7,1.70293863659264,10
109,1.7,1.4944341180973262,10
110,1.7,1.4944341180973262,10
111,2.0,1.4907119849998598,10
112,1.9,1.5951314818673865,10
113,1.9,1.5951314818673865,10
114,1.8,1.5491933384829668,10
115,1.9,1.5238839267549946,10
116,1.7,1.3374935098492586,10
117,1.7,1.4944341180973262,10
118,1.8,1.3984117975602022,10
119,1.7,1.3374935098492586,10
120,1.7,1.4944341180973264,10
121,1.8,1.5491933384829668,10
122,1.8,1.5491933384829668,10
123,1.7,1.5670212364724212,10
124,1.8,1.6865480854231358,10
125,1.8,1.6865480854231358,10
126,1.5,1.7795130420052185,10
127,1.4,1.6465452046971292,10
128,1.4,1.837873166945363,10
129,1.4,1.8378731669453627,10
130,1.3,1.828782229912694,10
131,1.3,1.828782229912694,10
132,1.3,1.5670212364724212,10
133,1.4,1.7763883459298968,10
134,1.4,1.7763883459298968,10
135,1.4,1.7763883459298968,10
136,1.3,1.766981104093143,10
137,1.3,1.766981104093143,10
138,1.3,1.766981104093143,10
139,1.3,1.4944341180973264,10
140,1.4,1.5055453054181622,10
141,1.4,1.5055453054181622,10
142,1.6,1.577621275493231,10
143,1.5,1.5811388300841898,10
144,1.4,1.349897115421106,10
145,1.2,1.0327955589886444,10
146,1.3,1.1595018087284057,10
147,1.4,1.349897115421106,10
148,1.3,1.4181364924121764,10
149,1.4,1.429840705968481,10
150,1.3,1.4181364924121764,10
151,1.4,1.429840705968481,10
