Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
1,2,1
1,2,1
2,3,1
3,4,1
4,5,1
4,5,1
4,5,1
4,5,1
5,6,1
5,6,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,6,0
5,6,1
6,7,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
8,9,1
8,9,1
8,8,0
7,8,1
8,9,1
9,10,1
9,9,0
8,9,1
8,8,0
7,8,1
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
9,10,1
9,11,2
9,11,2
9,11,2
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,9,0
8,9,1
8,9,1
8,9,1
8,9,1
8,8,0
7,8,1
7,8,1
8,8,0
8,9,1
8,8,0
7,8,1
6,8,2
6,8,2
6,8,2
6,8,2
6,7,1
6,8,2
6,7,1
6,7,1
6,7,1
5,7,2
6,8,2
7,9,2
7,9,2
7,9,2
7,9,2
7,9,2
8,10,2
8,9,1
7,9,2
8,10,2
8,10,2
8,10,2
8,10,2
9,11,2
9,10,1
8,10,2
8,10,2
8,10,2
8,9,1
7,9,2
8,10,2
9,11,2
9,11,2
8,11,3
9,12,3
10,13,3
10,13,3
10,12,2
10,13,3
10,12,2
9,12,3
9,12,3
10,13,3
11,14,3
11,14,3
11,14,3
11,14,3
11,13,2
11,14,3
12,14,2
12,15,3
12,15,3
13,16,3
14,17,3
15,18,3
15,17,2
14,16,2
14,17,3
14,17,3
15,18,3
15,18,3
16,19,3
16,18,2
15,17,2
15,17,2
15,17,2
15,17,2
16,18,2
16,18,2
17,18,1
17,18,1
17,18,1
18,19,1
19,20,1
19,20,1
20,21,1
20,21,1
20,21,1
20,21,1
20,20,0
19,20,1
19,20,1
20,21,1
20,21,1
20,21,1
20,21,1
21,22,1
22,23,1
22,22,0
21,21,0
20,21,1
21,22,1
21,22,1
22,23,1
22,23,1
22,23,1
23,23,0
22,23,1
22,22,0
21,22,1
21,21,0
21,22,1
21,22,1
22,23,1
22,23,1
22,22,0
22,23,1
23,23,0
22,23,1
22,23,1
22,23,1
23,24,1
23,23,0
22,23,1
22,23,1
22,23,1
22,23,1
23,24,1
23,24,1
24,25,1
24,24,0
24,24,0
23,23,0
22,23,1
23,24,1
23,23,0
22,22,0
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
23,23,0
22,23,1
23,23,0
22,22,0
22,23,1
23,24,1
24,25,1
24,25,1
24,25,1
24,25,1
24,24,0
23,24,1
23,24,1
23,24,1
22,24,2
22,24,2
22,24,2
22,23,1
22,23,1
23,24,1
24,24,0
23,24,1
23,25,2
22,25,3
23,25,2
23,26,3
23,26,3
22,26,4
22,26,4
23,27,4
23,27,4
23,27,4
24,27,3
24,26,2
24,26,2
24,25,1
25,26,1
25,26,1
25,26,1
25,27,2
26,28,2
26,27,1
26,27,1
26,26,0
25,26,1
25,26,1
26,27,1
27,27,0
26,27,1
27,27,0
26,27,1
27,28,1
27,28,1
27,27,0
26,27,1
27,27,0
26,27,1
26,27,1
27,28,1
27,28,1
27,28,1
28,29,1
28,28,0
27,28,1
27,28,1
27,28,1
28,28,0
27,28,1
27,28,1
27,27,0
26,27,1
27,28,1
27,27,0
26,27,1
26,27,1
26,27,1
27,28,1
27,27,0
26,27,1
26,26,0
25,26,1
25,26,1
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
26,26,0
25,26,1
25,26,1
25,25,0
24,24,0
23,24,1
23,24,1
23,24,1
23,23,0
22,23,1
23,24,1
23,24,1
24,24,0
23,24,1
24,25,1
25,25,0
24,25,1
23,24,1
22,23,1
22,22,0
21,22,1
21,21,0
20,21,1
20,21,1
20,22,2
20,23,3
20,23,3
21,24,3
21,24,3
21,24,3
21,24,3
21,23,2
22,24,2
22,24,2
22,23,1
21,23,2
21,23,2
21,23,2
21,23,2
22,24,2
22,24,2
22,24,2
22,24,2
23,25,2
23,25,2
24,26,2
25,27,2
25,27,2
25,27,2
26,28,2
26,27,1
26,28,2
26,28,2
26,28,2
26,27,1
26,28,2
27,29,2
27,29,2
27,28,1
26,27,1
25,27,2
25,27,2
26,27,1
26,27,1
26,26,0
26,27,1
26,27,1
27,27,0
26,27,1
26,27,1
26,27,1
27,27,0
26,27,1
26,26,0
26,27,1
26,27,1
25,27,2
25,28,3
25,28,3
25,27,2
25,27,2
25,27,2
25,27,2
25,27,2
25,26,1
25,26,1
25,26,1
25,26,1
25,25,0
24,24,0
24,25,1
24,26,2
25,27,2
25,27,2
25,26,1
25,26,1
25,26,1
26,26,0
25,26,1
25,26,1
25,26,1
25,26,1
26,27,1
26,27,1
26,27,1
27,28,1
28,29,1
27,29,2
28,29,1
27,29,2
27,29,2
27,29,2
28,30,2
28,30,2
28,30,2
27,30,3
28,31,3
29,32,3
30,33,3
30,32,2
30,33,3
31,34,3
32,35,3
32,35,3
33,35,2
33,36,3
34,37,3
35,38,3
35,38,3
35,38,3
35,38,3
35,39,4
35,39,4
35,39,4
36,40,4
36,40,4
36,40,4
36,39,3
36,39,3
37,40,3
37,40,3
36,40,4
37,41,4
37,41,4
37,41,4
37,41,4
38,42,4
38,42,4
39,43,4
40,44,4
41,45,4
42,46,4
43,47,4
43,47,4
44,48,4
45,48,3
45,48,3
46,49,3
46,49,3
46,49,3
46,49,3
46,48,2
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
46,49,3
46,49,3
46,48,2
45,48,3
46,49,3
46,49,3
46,49,3
46,48,2
45,48,3
45,48,3
46,49,3
46,49,3
46,49,3
46,49,3
47,50,3
47,50,3
47,50,3
48,51,3
49,52,3
49,52,3
49,51,2
48,50,2
48,51,3
49,52,3
50,53,3
50,53,3
51,54,3
51,54,3
51,53,2
50,53,3
50,52,2
49,52,3
50,52,2
50,53,3
51,54,3
52,55,3
53,56,3
53,55,2
53,54,1
53,54,1
53,53,0
52,53,1
53,54,1
53,54,1
54,55,1
54,54,0
53,54,1
53,54,1
53,54,1
53,54,1
53,54,1
53,53,0
52,53,1
52,52,0
52,53,1
53,54,1
54,55,1
