t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.0641829733837378,0.1500127624821994,10
3,0.070829022128353,0.15132124295553245,10
4,0.07699454943364134,0.14986899840817786,10
5,0.09885957275850821,0.1452579382775115,10
6,0.16113224915592922,0.3062447830606537,10
7,0.21609706140238122,0.45225897820447236,10
8,0.29117383587901374,0.4461505680297782,10
9,0.3491984394632336,0.4504792008799814,10
10,0.4617883892263481,0.44603004641203997,10
11,0.5180619528364149,0.5011264161034346,10
12,0.6367203296604123,0.6255978165735694,10
13,0.928163345695274,0.7564738895433742,10
14,0.9831443790495806,0.7518318592692389,10
15,1.0082556220266081,0.7645780503252597,10
16,1.0865630132784012,0.8078266887753468,10
17,1.145842500308844,0.856610930374277,10
18,1.200276026335591,0.8743907607563627,10
19,1.2721408240009602,0.8667851097358706,10
20,1.383815067737322,0.9682314137788091,10
21,1.522212823887001,0.9096279471895737,10
22,1.5887867252771486,0.9146209053347159,10
23,1.6635975290563596,0.932092533547794,10
24,1.7222621647649254,0.8833001734021632,10
25,1.8272077922539107,0.8240065305274105,10
26,1.8837272046746159,0.8606756275461103,10
27,2.0301676657351138,1.0025470880969065,10
28,2.128756145631554,1.046492707453643,10
29,2.135168745546653,1.0478092816602897,10
30,2.183826139988917,1.132860721529779,10
31,2.2382370709782045,1.0718578265026346,10
32,2.4260429811839423,1.064952408597112,10
33,2.527947101781799,1.1211226960424288,10
34,2.585896035183601,1.1499078698201386,10
35,2.6443110570809805,1.1974882389361476,10
36,2.663523532133086,1.1855478224134846,10
37,2.770242497264905,1.1733848272027396,10
38,2.823832494189102,1.211527125426155,10
39,2.8827068923748156,1.2044374695653521,10
40,2.9835344204493,1.2396703175584884,10
41,3.1665281178284905,1.2918303405315392,10
42,3.1841527906884717,1.289761567564248,10
43,3.206657868733192,1.2947326079020312,10
44,3.2275279677253677,1.3043537014245572,10
45,3.288571324889123,1.3083623781968126,10
46,3.3502970498368874,1.3327507388470734,10
47,3.3990784171918556,1.3770134171663673,10
48,3.49079377268599,1.3325230685505522,10
49,3.5471440953122046,1.2938808346657946,10
50,3.646813869936006,1.32033964048795,10
51,3.70507242208325,1.3599105311514454,10
52,3.758213369234187,1.4206077504015984,10
53,3.8702619495317476,1.5493454867191183,10
54,3.929665800588886,1.6184756561946505,10
55,3.947320974361638,1.5993949514930137,10
56,4.096162013235388,1.5896308668035826,10
57,4.159668473735996,1.616575682491777,10
58,4.220158988303348,1.5635803246506625,10
59,4.324511802395895,1.6384199323525195,10
60,4.381162213823318,1.6800476927762489,10
