t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.2,0.42163702135578396,10
6,0.2,0.42163702135578396,10
7,0.4,0.6992058987801011,10
8,0.6,0.6992058987801011,10
9,0.8,0.7888106377466155,10
10,1.0,1.0540925533894598,10
11,1.1,1.1005049346146119,10
12,1.1,0.875595035770913,10
13,1.4,0.9660917830792959,10
14,1.9,1.3703203194062978,10
15,2.0,1.4907119849998598,10
16,2.3,1.8287822299126937,10
17,2.4,2.065591117977289,10
18,2.6,2.1705094128132942,10
19,2.7,2.263232692902394,10
20,2.7,2.2135943621178655,10
21,2.7,2.110818693198342,10
22,2.8,2.043961295567452,10
23,2.8,2.043961295567452,10
24,2.9,2.1832697191750423,10
25,2.8,2.2010098692292237,10
26,2.5,2.068278940998476,10
27,2.3,2.1108186931983415,10
28,2.4,2.170509412813294,10
29,2.5,2.3687784005919825,10
30,2.4,2.2705848487901865,10
31,2.4,2.2705848487901865,10
32,2.4,2.2705848487901865,10
33,2.4,2.2705848487901865,10
34,2.5,2.223610677354389,10
35,2.8,2.440400695696417,10
36,2.9,2.685351208149711,10
37,2.9,2.685351208149711,10
38,3.0,2.6246692913372702,10
39,2.9,2.6012817353502227,10
40,3.0,2.5385910352879693,10
41,2.9,2.5582111805799856,10
42,3.0,2.8284271247461903,10
43,3.1,2.558211180579986,10
44,3.0,2.5385910352879693,10
45,3.0,2.494438257849294,10
46,3.2,2.780887148615228,10
47,3.4,2.7968235951204035,10
48,3.5,3.064129385141706,10
49,3.4,3.098386676965933,10
50,3.3,3.1640339933558095,10
51,3.4,3.204163957519444,10
52,3.3,3.2676869155073254,10
53,3.3,3.2676869155073254,10
54,3.1,3.725288952252936,10
55,3.2,3.994440581052065,10
56,3.2,4.289522117905444,10
57,3.4,4.3256341860022225,10
58,3.4,4.3256341860022225,10
59,3.4,4.3256341860022225,10
60,3.6,4.351245032554859,10
61,3.8,4.3410188256265885,10
62,3.7,4.083843505544475,10
63,3.9,4.332051092342595,10
64,4.2,4.366539438350085,10
65,4.4,4.221637386396684,10
66,4.3,4.321779468896785,10
67,4.3,4.191260749066641,10
68,4.4,4.4522154285504,10
69,4.4,4.402019738458447,10
70,4.4,4.402019738458447,10
71,4.4,4.402019738458447,10
72,4.5,4.428443418528808,10
73,4.5,4.428443418528808,10
74,4.3,4.547282460742655,10
75,4.4,4.501851470969102,10
76,4.4,4.501851470969102,10
77,4.5,4.552166761249221,10
78,4.3,4.691600058733812,10
79,4.3,4.691600058733812,10
80,4.4,4.623610902506587,10
81,4.3,4.3728963196286985,10
82,4.2,4.417138339593985,10
83,4.2,4.4671641514002545,10
84,4.3,4.3728963196286985,10
85,4.4,4.623610902506587,10
86,4.5,4.600724580614087,10
87,4.3,4.571651780264984,10
88,4.3,4.571651780264984,10
89,4.5,4.576510072581994,10
90,4.6,4.835057163858332,10
91,4.6,4.993328882953068,10
92,4.5,5.082650227325635,10
93,4.6,4.993328882953068,10
94,4.7,5.121848624601603,10
95,4.8,5.028805910838962,10
96,4.9,5.087020520675908,10
97,4.8,5.094659513211413,10
98,4.9,5.1305187088853135,10
99,4.9,5.1305187088853135,10
100,4.8,5.223876806442595,10
101,4.9,5.152130088074683,10
102,5.0,5.2493385826745405,10
103,4.9,5.300943312279429,10
104,4.8,5.245103536738918,10
105,4.9,5.363456596884761,10
106,5.0,5.715476066494082,10
107,5.0,5.792715732327589,10
108,4.8,5.5136195008360875,10
109,4.7,5.578729445153459,10
110,4.8,5.553777493242274,10
111,4.8,5.593647190240808,10
112,4.9,5.506561742341788,10
113,4.8,5.553777493242275,10
114,4.8,5.553777493242275,10
115,5.0,5.5377492419453835,10
116,5.2,5.553777493242275,10
117,5.3,5.457919831665621,10
118,5.3,5.355163655555055,10
119,5.5,5.359311730271176,10
120,5.4,5.358275012642699,10
121,5.4,5.059644256269407,10
122,5.4,5.059644256269407,10
123,5.5,5.1478150704935,10
124,5.5,5.1908038341324785,10
125,5.4,5.274677451960662,10
126,5.4,5.274677451960662,10
127,5.3,5.313504806936127,10
128,5.5,5.1478150704935,10
129,5.6,5.059644256269407,10
130,5.6,5.059644256269407,10
131,5.5,5.0387388192769915,10
132,5.4,4.971027168615266,10
133,5.4,4.926120853842978,10
134,5.3,4.9452558635075246,10
135,5.4,5.211099265563415,10
136,5.4,5.521674464226309,10
137,5.6,5.758086101783782,10
138,5.5,5.797509043642029,10
139,5.5,5.797509043642029,10
140,5.5,5.54276304943863,10
141,5.5,5.562773089426212,10
142,5.5,5.562773089426212,10
143,5.5,5.562773089426212,10
144,5.5,5.562773089426212,10
145,5.5,5.562773089426212,10
146,5.9,5.606543795720616,10
147,6.2,5.513619500836089,10
148,6.1,5.546770832355224,10
149,6.2,5.573747990954262,10
150,6.2,5.573747990954262,10
151,6.4,5.481281277625191,10
152,6.5,5.441609239104836,10
153,6.5,5.441609239104836,10
154,6.5,5.54276304943863,10
155,6.5,5.441609239104836,10
156,6.4,5.211099265563414,10
