t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.1,0.31622776601683794,10
6,0.3,0.4830458915396479,10
7,0.6,0.6992058987801011,10
8,0.9,0.7378647873726218,10
9,1.1,0.9944289260117531,10
10,1.2,1.2292725943057181,10
11,1.4,1.3498971154211057,10
12,1.4,1.5055453054181622,10
13,1.7,1.70293863659264,10
14,2.0,1.699673171197595,10
15,2.2,1.7511900715418263,10
16,2.5,1.8408935028645435,10
17,2.4,1.8973665961010275,10
18,2.8,2.097617696340303,10
19,3.1,2.378141197564929,10
20,3.2,2.2997584414213788,10
21,3.5,2.3213980461973533,10
22,3.5,2.3213980461973533,10
23,3.6,2.270584848790187,10
24,3.7,2.3118054512532935,10
25,3.4,2.412928142780514,10
26,3.4,2.412928142780514,10
27,3.4,2.6749870196985173,10
28,3.6,2.716206504995115,10
29,3.6,2.716206504995115,10
30,3.7,2.9078437983419185,10
31,3.7,2.9078437983419185,10
32,3.9,2.960855732160327,10
33,4.1,3.0349812373573437,10
34,4.4,3.0983866769659336,10
35,4.6,3.062315754094894,10
36,4.7,3.020301677353145,10
37,4.8,3.190262963734773,10
38,4.9,3.142893217686178,10
39,5.0,3.366501646120693,10
40,5.2,3.190262963734773,10
41,5.2,3.155242550986462,10
42,5.4,3.062315754094894,10
43,5.4,3.062315754094894,10
44,5.6,3.0983866769659336,10
45,5.6,3.0983866769659336,10
46,5.7,3.3349995835415367,10
47,5.9,3.3813212407775355,10
48,5.9,3.5418137224371984,10
49,6.1,3.414023367751831,10
50,6.3,3.6224607965059086,10
51,6.6,3.717824931626316,10
52,6.8,3.9101008796307144,10
53,7.0,4.0,10
54,7.1,4.175324338699131,10
55,7.2,4.1311822359545785,10
56,7.3,4.321779468896785,10
57,7.3,4.321779468896785,10
58,7.3,4.321779468896785,10
59,7.2,4.3410188256265885,10
60,7.4,4.477102237434884,10
61,7.6,4.550946177566937,10
62,7.6,4.550946177566937,10
63,7.7,4.715223571935199,10
64,7.7,4.715223571935199,10
65,8.2,5.028805910838963,10
66,8.3,4.922736366426028,10
67,8.4,4.812021982031623,10
68,8.6,5.0155314330144085,10
69,8.6,5.0155314330144085,10
70,8.7,4.945255863507525,10
71,9.0,4.988876515698588,10
72,9.1,4.998888765404656,10
73,9.2,5.050852513300216,10
74,9.2,4.9396356140913875,10
75,9.3,4.83160888777687,10
76,9.1,4.976611966656298,10
77,9.2,4.9396356140913875,10
78,9.2,4.9396356140913875,10
79,9.2,4.9396356140913875,10
80,9.2,4.9396356140913875,10
81,9.3,5.121848624601603,10
82,9.3,5.121848624601603,10
83,9.4,5.316640543300503,10
84,9.8,5.159672685570493,10
85,9.9,5.363456596884761,10
86,9.9,5.363456596884761,10
87,9.9,5.342700108039422,10
88,9.9,5.363456596884761,10
89,9.8,5.411920998027308,10
90,9.8,5.411920998027308,10
91,10.0,5.41602560309064,10
92,10.1,5.40473043833928,10
93,10.1,5.40473043833928,10
94,10.0,5.41602560309064,10
95,10.2,5.287301349039561,10
96,10.2,5.287301349039561,10
97,10.2,5.287301349039561,10
98,10.2,5.287301349039561,10
99,10.4,5.440588203494177,10
100,10.3,5.49848463972878,10
101,10.3,5.49848463972878,10
102,10.5,5.1908038341324785,10
103,10.5,5.1908038341324785,10
104,10.7,5.165053511608353,10
105,10.7,5.186520991955976,10
106,10.8,4.984420171338332,10
107,11.1,5.300943312279428,10
108,11.0,5.312459150169742,10
109,10.8,5.138093031466052,10
110,11.0,4.944132324730441,10
111,11.1,4.931756504757937,10
112,11.1,4.931756504757937,10
113,11.1,4.840798832148816,10
114,10.9,4.931756504757938,10
115,11.1,4.909175083453431,10
116,11.1,4.886489310105751,10
117,11.3,4.808557187163549,10
118,11.4,4.9035134795822115,10
119,11.5,4.85912657903775,10
120,11.4,5.125101625008686,10
121,11.4,5.125101625008686,10
122,11.6,5.059644256269407,10
123,11.4,5.211099265563415,10
124,11.5,5.1908038341324785,10
125,11.4,5.274677451960662,10
126,11.5,5.461989869391313,10
127,11.7,5.478239782184703,10
128,11.7,5.478239782184703,10
129,11.8,5.4528280124476085,10
130,11.9,5.404730438339281,10
131,11.8,5.493430419854044,10
132,11.9,5.486346689738082,10
133,12.1,5.8395205282625735,10
134,12.1,5.8395205282625735,10
135,12.3,5.716448003592596,10
136,12.2,5.8080404038998665,10
137,12.4,5.853773711604051,10
138,12.4,5.853773711604051,10
139,12.4,6.131883886702356,10
140,12.5,6.258327785172862,10
141,12.6,6.0955357070199785,10
142,12.6,6.095535707019979,10
143,12.4,5.891613625409521,10
144,12.6,5.92921205182911,10
145,12.6,5.910442735813734,10
146,12.7,5.926400443964466,10
147,12.9,5.839520528262573,10
148,13.0,6.036923425424944,10
149,13.1,6.00832755431992,10
150,13.1,6.00832755431992,10
151,13.3,6.165315167216605,10
152,13.3,6.165315167216605,10
153,13.2,6.303438215238834,10
154,13.3,6.18331087147762,10
155,13.3,6.18331087147762,10
156,13.3,6.03784361801095,10
