t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.4,0.6992058987801011,10
4,0.6,0.9660917830792959,10
5,1.0,0.9428090415820634,10
6,0.9,0.9944289260117533,10
7,1.1,0.9944289260117531,10
8,1.1,1.286683937707919,10
9,1.2,1.2292725943057181,10
10,1.4,1.505545305418162,10
11,1.4,1.2649110640673518,10
12,1.2,1.6193277068654828,10
13,1.4,1.6465452046971292,10
14,1.6,1.505545305418162,10
15,1.8,1.7511900715418267,10
16,2.1,1.7288403306519922,10
17,2.2,1.9888578520235063,10
18,2.1,2.0248456731316584,10
19,2.3,1.9465068427541912,10
20,2.3,2.359378449224852,10
21,2.1,2.183269719175042,10
22,2.0,2.449489742783178,10
23,1.9,2.4244128727957572,10
24,2.0,2.494438257849294,10
25,2.3,2.4517567397911058,10
26,2.3,2.4517567397911058,10
27,2.1,2.378141197564929,10
28,2.2,2.14993539954628,10
29,2.4,2.3190036174568114,10
30,2.5,2.223610677354389,10
31,2.6,2.3190036174568114,10
32,2.3,2.3118054512532935,10
33,2.2,2.250925735484551,10
34,2.1,2.2827858224351907,10
35,2.2,2.2997584414213788,10
36,2.4,2.633122354417533,10
37,2.5,2.592724864350674,10
38,2.8,2.658320271650252,10
39,2.8,2.573367875415838,10
40,2.9,2.282785822435191,10
41,2.5,2.0138409955990952,10
42,2.9,1.8529256146249728,10
43,2.7,1.888562063228706,10
44,2.6,2.1186998109427604,10
45,2.9,1.9692073983655907,10
46,3.1,1.728840330651992,10
47,3.1,1.3703203194062978,10
48,3.5,1.4337208778404378,10
49,3.4,1.3498971154211057,10
50,3.1,1.1972189997378648,10
51,3.0,1.4142135623730951,10
52,3.0,1.699673171197595,10
53,3.0,2.0,10
54,2.8,1.8135294011647256,10
55,2.7,1.7029386365926402,10
56,2.4,1.7763883459298973,10
57,2.4,1.429840705968481,10
58,2.3,1.2516655570345725,10
59,2.3,1.3374935098492586,10
60,2.3,1.4181364924121764,10
61,2.5,1.7159383568311668,10
62,2.7,1.5670212364724212,10
63,2.6,1.429840705968481,10
64,2.7,1.4944341180973264,10
65,2.8,1.6193277068654826,10
66,2.9,1.8529256146249726,10
67,2.8,1.5491933384829668,10
68,2.7,1.7029386365926402,10
69,2.7,2.0575065816014617,10
70,2.6,2.0655911179772892,10
71,2.6,2.0655911179772892,10
72,2.7,2.263232692902394,10
73,2.5,2.3687784005919825,10
74,2.6,2.2705848487901865,10
75,2.9,2.3309511649396115,10
76,2.8,2.5298221281347035,10
77,2.9,2.3309511649396115,10
78,3.0,2.0,10
79,3.1,2.5144029554194813,10
80,2.7,2.7100635498903793,10
81,2.5,2.5495097567963922,10
82,2.3,2.6267851073127395,10
83,2.2,2.440400695696417,10
84,2.1,2.2335820757001272,10
85,2.1,2.131770260709264,10
86,1.7,2.110818693198342,10
87,2.0,2.309401076758503,10
88,1.9,2.378141197564929,10
89,1.7,2.1628170930011112,10
90,2.1,2.378141197564929,10
91,2.0,2.260776661041756,10
92,1.9,2.1317702607092643,10
93,2.0,2.1081851067789197,10
94,2.1,2.282785822435191,10
95,2.2,1.9888578520235063,10
96,2.2,2.043961295567452,10
97,2.6,2.118699810942761,10
98,2.7,2.3118054512532935,10
99,2.9,2.330951164939612,10
100,3.0,2.3570226039551585,10
101,2.7,2.110818693198342,10
102,2.7,2.2135943621178655,10
103,2.6,1.9550504398153572,10
104,2.9,1.8529256146249726,10
105,3.0,1.632993161855452,10
106,3.4,1.776388345929897,10
107,3.3,2.002775851439974,10
108,3.4,2.2705848487901865,10
109,3.5,2.3687784005919825,10
110,3.6,2.503331114069145,10
111,3.7,2.406010991015812,10
112,3.7,2.540778533354601,10
113,3.6,2.4585451886114367,10
114,3.8,2.3475755815545347,10
115,3.7,2.110818693198342,10
116,3.6,2.0110804171997807,10
117,3.5,2.223610677354389,10
118,3.0,2.160246899469287,10
119,3.4,2.065591117977289,10
120,3.1,2.0789954839350235,10
121,3.1,2.378141197564929,10
122,3.0,2.160246899469287,10
123,2.8,1.9888578520235067,10
124,2.6,2.011080417199781,10
125,2.5,2.1213203435596424,10
126,2.4,2.1186998109427604,10
127,2.4,2.065591117977289,10
128,2.2,2.1499353995462798,10
129,2.2,2.1499353995462798,10
130,2.0,2.260776661041756,10
131,1.9,2.0789954839350235,10
132,2.1,2.282785822435191,10
133,2.6,2.503331114069145,10
134,2.6,2.590581230363393,10
135,3.0,2.3570226039551585,10
136,2.7,2.750757471437035,10
137,2.8,2.7406406388125957,10
138,2.8,2.573367875415838,10
139,2.8,2.5298221281347035,10
140,2.8,2.440400695696417,10
141,2.7,2.406010991015812,10
142,2.8,2.3944379994757297,10
143,2.7,2.7507574714370344,10
144,2.5,2.758824226207808,10
145,2.5,2.9907264074877267,10
146,2.6,2.9514591494904874,10
147,2.4,3.0258148581093907,10
148,2.8,2.898275349237888,10
149,2.9,2.8067379246694513,10
150,3.0,3.018461712712472,10
