t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.4830458915396479,10
3,0.4,0.6992058987801011,10
4,0.6,0.9660917830792959,10
5,1.1,0.9944289260117531,10
6,1.1,0.875595035770913,10
7,1.1,0.875595035770913,10
8,1.3,1.1595018087284057,10
9,1.4,1.1737877907772674,10
10,1.3,1.4181364924121764,10
11,1.4,1.1737877907772671,10
12,1.4,1.505545305418162,10
13,1.2,1.5491933384829668,10
14,1.4,1.6465452046971292,10
15,1.6,1.837873166945363,10
16,1.6,2.011080417199781,10
17,1.6,2.270584848790187,10
18,1.5,2.3213980461973533,10
19,1.7,2.0027758514399734,10
20,1.6,2.118699810942761,10
21,1.4,2.0655911179772892,10
22,1.4,1.9550504398153572,10
23,1.5,1.9578900207451218,10
24,1.6,1.9550504398153576,10
25,1.9,1.7919573407620817,10
26,1.9,1.7919573407620817,10
27,1.7,1.4944341180973262,10
28,1.8,1.7511900715418263,10
29,2.0,1.8856180831641267,10
30,2.1,1.7919573407620815,10
31,2.2,1.7511900715418263,10
32,1.9,1.728840330651992,10
33,1.7,1.7669811040931427,10
34,1.8,1.8737959096740264,10
35,2.0,2.0,10
36,2.3,2.359378449224852,10
37,2.4,2.3190036174568114,10
38,2.5,2.5495097567963922,10
39,2.5,2.4608038433722332,10
40,2.7,2.406010991015812,10
41,2.6,2.1186998109427604,10
42,2.8,2.14993539954628,10
43,2.8,2.14993539954628,10
44,2.8,2.14993539954628,10
45,3.1,1.728840330651992,10
46,3.2,1.3165611772087666,10
47,3.1,1.3703203194062976,10
48,3.3,1.3374935098492586,10
49,3.2,1.5491933384829668,10
50,2.9,1.66332999331662,10
51,2.7,1.8885620632287061,10
52,2.9,2.078995483935023,10
53,3.0,2.4037008503093262,10
54,2.9,2.4244128727957572,10
55,2.6,2.270584848790187,10
56,2.4,2.3190036174568114,10
57,2.4,2.2705848487901865,10
58,2.2,2.2010098692292237,10
59,2.4,2.2705848487901865,10
60,2.4,2.2705848487901865,10
61,2.5,2.6352313834736494,10
62,2.6,2.4585451886114362,10
63,2.4,2.2705848487901865,10
64,2.4,2.2705848487901865,10
65,2.4,1.9550504398153574,10
66,2.5,2.068278940998476,10
67,2.5,2.068278940998476,10
68,2.6,2.3190036174568114,10
69,2.4,2.7162065049951147,10
70,2.4,2.7162065049951147,10
71,2.5,2.6770630673681683,10
72,2.8,2.7406406388125952,10
73,2.7,2.5841396591085743,10
74,2.7,2.5841396591085743,10
75,2.7,2.406010991015812,10
76,2.6,2.7568097504180447,10
77,2.8,2.7406406388125952,10
78,2.5,2.3687784005919825,10
79,2.8,2.6997942308422114,10
80,2.5,2.9154759474226504,10
81,2.6,2.8362729848243533,10
82,2.4,2.7162065049951147,10
83,2.5,2.6352313834736494,10
84,2.4,2.7162065049951147,10
85,2.4,2.503331114069145,10
86,2.0,2.449489742783178,10
87,2.2,2.485513584307633,10
88,2.1,2.766867462592951,10
89,2.1,2.960855732160327,10
90,2.4,3.272783388968954,10
91,2.4,3.339993346633426,10
92,2.3,2.94580681270476,10
93,2.5,2.8382310609877335,10
94,2.5,3.13581462037113,10
95,2.7,2.9078437983419185,10
96,2.5,2.8771127502720115,10
97,2.7,2.94580681270476,10
98,2.9,3.0713731999438507,10
99,3.1,2.960855732160327,10
100,2.9,2.8460498941515415,10
101,2.7,2.6687491868330793,10
102,2.6,2.8751811537130436,10
103,2.6,2.6749870196985173,10
104,2.7,2.5841396591085743,10
105,2.7,2.7100635498903793,10
106,3.0,2.6246692913372702,10
107,3.0,2.5385910352879693,10
