Q_diff,Q_router,Q_oracle
0,0,0
0,0,0
0,1,1
0,2,2
1,2,1
0,2,2
1,2,1
0,2,2
1,2,1
1,3,2
1,4,3
1,3,2
1,4,3
2,5,3
2,5,3
3,5,2
2,5,3
3,6,3
3,5,2
3,6,3
4,6,2
4,6,2
4,7,3
4,6,2
4,7,3
4,7,3
5,7,2
5,7,2
5,7,2
5,8,3
5,7,2
5,7,2
5,6,1
5,7,2
6,8,2
7,8,1
6,7,1
6,7,1
6,8,2
7,8,1
7,8,1
7,9,2
7,9,2
8,9,1
8,10,2
9,10,1
8,10,2
8,10,2
8,10,2
8,11,3
8,10,2
8,10,2
8,10,2
9,10,1
9,10,1
9,10,1
9,10,1
9,11,2
9,10,1
8,10,2
8,10,2
8,10,2
8,11,3
9,12,3
10,12,2
10,13,3
11,13,2
11,13,2
10,12,2
10,11,1
10,10,0
10,11,1
10,10,0
10,10,0
10,10,0
10,11,1
11,11,0
10,11,1
10,10,0
10,10,0
9,9,0
8,8,0
8,9,1
9,9,0
9,9,0
8,8,0
8,9,1
9,9,0
8,9,1
9,9,0
8,9,1
8,8,0
8,8,0
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
8,10,2
7,9,2
7,9,2
7,9,2
6,9,3
6,9,3
6,9,3
6,10,4
6,9,3
6,9,3
6,9,3
5,8,3
5,9,4
5,10,5
6,11,5
7,11,4
6,11,5
7,12,5
7,13,6
8,13,5
8,13,5
8,13,5
8,14,6
8,13,5
8,14,6
8,13,5
8,12,4
7,11,4
6,11,5
7,12,5
8,12,4
8,11,3
8,12,4
9,12,3
9,12,3
9,12,3
9,12,3
9,12,3
9,12,3
9,12,3
9,12,3
8,11,3
8,11,3
8,11,3
8,11,3
8,12,4
9,13,4
10,13,3
10,13,3
10,13,3
10,12,2
10,12,2
10,13,3
11,13,2
11,14,3
12,14,2
12,15,3
13,16,3
14,16,2
14,17,3
14,17,3
14,18,4
15,18,3
15,18,3
15,18,3
14,18,4
14,18,4
15,19,4
16,19,3
16,19,3
16,19,3
16,19,3
17,19,2
17,19,2
17,20,3
17,20,3
17,20,3
17,21,4
17,20,3
16,19,3
16,20,4
17,20,3
17,20,3
17,20,3
