t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.48304589153964794,10
3,0.7,0.8232726023485646,10
4,0.8,0.9189365834726815,10
5,1.1,1.1005049346146119,10
6,1.0,1.0540925533894598,10
7,1.1,1.1972189997378648,10
8,1.2,1.4757295747452437,10
9,1.2,1.7511900715418267,10
10,1.5,1.7159383568311668,10
11,1.6,1.9550504398153574,10
12,1.8,1.932183566158592,10
13,2.1,2.0789954839350235,10
14,2.3,2.1628170930011112,10
15,2.6,2.118699810942761,10
16,3.2,2.3944379994757297,10
17,3.4,2.6749870196985173,10
18,3.4,2.796823595120404,10
19,3.3,2.7100635498903793,10
20,3.2,3.011090610836324,10
21,3.2,2.820559440174157,10
22,3.1,2.8460498941515415,10
23,3.0,3.018461712712472,10
24,2.8,2.8982753492378874,10
25,2.8,2.8982753492378874,10
26,3.3,3.093002855909879,10
27,3.6,3.0983866769659336,10
28,3.8,3.1198290551460244,10
29,3.8,3.3928028399998595,10
30,3.6,3.3065591380365986,10
31,3.8,3.155242550986462,10
32,3.7,3.3349995835415367,10
33,3.8,3.0477678535099897,10
34,3.8,2.699794230842212,10
35,3.9,2.960855732160327,10
36,3.8,3.457680661303984,10
37,3.8,3.3928028399998595,10
38,4.2,3.0840089349921005,10
39,4.2,3.0840089349921005,10
40,4.5,3.1710495984067415,10
41,4.4,2.988868236194653,10
42,4.7,2.8693785622209793,10
43,4.8,3.0110906108363245,10
44,5.0,3.2317865716108862,10
45,5.0,3.2317865716108862,10
46,4.9,3.0349812373573437,10
47,5.1,3.1073389830457114,10
48,5.3,3.020301677353145,10
49,5.1,2.766867462592951,10
50,5.2,2.973961069759395,10
51,5.1,2.8460498941515415,10
52,5.1,2.726414006223804,10
53,5.2,2.7406406388125952,10
54,5.2,2.780887148615228,10
55,5.1,2.558211180579986,10
56,5.1,2.4244128727957572,10
57,5.1,2.685351208149711,10
58,5.2,2.7406406388125957,10
59,5.1,2.685351208149711,10
60,5.3,2.6267851073127395,10
61,5.4,2.3190036174568114,10
62,5.5,2.592724864350674,10
63,5.9,2.64365067451978,10
64,5.8,2.573367875415838,10
65,6.1,2.6436506745197805,10
66,6.0,2.4037008503093262,10
67,6.1,2.2335820757001272,10
68,6.2,2.250925735484551,10
69,6.3,2.1628170930011112,10
70,6.4,2.3664319132398464,10
71,6.4,2.3190036174568114,10
72,6.2,1.9321835661585915,10
73,6.1,1.852925614624973,10
74,6.2,1.9888578520235065,10
75,6.3,2.057506581601462,10
76,6.4,2.1705094128132942,10
77,6.6,2.1705094128132942,10
78,6.6,1.837873166945363,10
79,6.4,2.065591117977289,10
80,6.5,2.1213203435596424,10
81,6.4,2.0110804171997807,10
82,6.3,2.057506581601462,10
83,6.5,2.0138409955990952,10
84,6.5,1.90029237516523,10
85,6.5,1.9578900207451218,10
86,6.0,2.3570226039551585,10
87,6.1,2.378141197564929,10
88,6.2,2.3944379994757297,10
89,6.3,2.496664441476534,10
90,6.4,2.3190036174568114,10
91,6.4,2.1186998109427604,10
92,6.5,2.273030282830976,10
93,6.6,2.2211108331943574,10
94,6.9,2.5144029554194813,10
95,7.2,2.616188916046478,10
96,7.2,2.699794230842212,10
97,7.4,2.6331223544175333,10
98,7.5,2.9154759474226504,10
99,7.2,3.155242550986462,10
100,7.5,3.3082388735465345,10
101,7.6,2.8751811537130436,10
102,7.5,2.9907264074877267,10
103,7.8,3.0110906108363245,10
104,8.0,3.1269438398822866,10
105,8.3,3.3015148038438356,10
106,8.4,3.5339622081862863,10
107,8.6,3.835506630304674,10
108,8.6,3.9214509786273983,10
109,8.7,3.8887301554906353,10
110,8.7,3.7133393177689658,10
111,8.6,3.8064273129653867,10
112,8.8,3.9944405810520647,10
113,8.7,3.7727090178455764,10
114,9.0,4.109609335312651,10
115,9.2,4.315347288715269,10
116,9.1,4.254409477236529,10
117,9.2,4.3410188256265885,10
118,9.4,4.351245032554858,10
119,9.7,4.620004810002307,10
120,9.8,4.638007234913623,10
121,9.8,4.541169697580374,10
122,9.9,4.605552204797066,10
123,10.1,4.653553003411002,10
124,9.8,4.366539438350085,10
125,9.9,4.629614814791111,10
126,10.0,4.422166387140534,10
127,10.2,4.638007234913623,10
128,10.5,4.719934086168766,10
129,10.3,4.922736366426028,10
130,10.2,4.825856285561029,10
131,10.5,4.949747468305833,10
132,10.9,5.0431471655438855,10
133,10.9,5.2588549662027715,10
134,10.7,5.165053511608353,10
135,10.9,5.1305187088853135,10
136,11.0,5.291502622129181,10
137,11.1,5.1305187088853135,10
138,11.3,5.1650535116083525,10
139,11.6,5.295700562196134,10
140,11.7,5.121848624601603,10
141,11.8,5.308274463305169,10
142,11.6,5.399588461684424,10
143,11.7,5.457919831665622,10
144,11.7,5.375872022286244,10
145,11.8,5.287301349039561,10
146,11.9,5.258854966202772,10
147,11.8,5.159672685570492,10
148,11.6,5.081557066709202,10
149,11.5,4.994441354590566,10
150,11.7,5.056349144063003,10
151,11.7,5.1001089312985375,10
152,11.5,4.766783215358364,10
153,11.7,4.808557187163549,10
154,11.9,4.909175083453431,10
155,11.9,4.863697724525605,10
156,11.7,4.595891885393109,10
157,11.7,4.522781838156198,10
158,11.8,4.315347288715269,10
159,11.6,4.402019738458447,10
160,11.5,4.32691832858239,10
161,11.6,4.273952113286562,10
162,11.8,4.077035960378842,10
163,12.1,4.306326095924976,10
164,12.1,4.306326095924976,10
165,11.9,4.581363212940979,10
166,11.8,5.094659513211413,10
167,12.0,4.988876515698588,10
168,12.1,4.976611966656298,10
169,12.2,5.072803301265814,10
170,12.2,5.072803301265814,10
171,12.3,5.186520991955976,10
172,12.2,5.0508525133002165,10
173,12.2,5.072803301265813,10
174,12.2,5.287301349039561,10
175,12.4,5.399588461684423,10
176,12.5,4.994441354590566,10
177,12.3,4.922736366426028,10
178,12.1,4.931756504757937,10
179,12.4,5.059644256269407,10
180,13.0,5.228129047119374,10
181,13.2,5.329165037789691,10
