t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.5,0.5270462766947299,10
3,0.8,0.7888106377466155,10
4,1.1,1.1972189997378648,10
5,1.5,1.4337208778404378,10
6,1.6,1.505545305418162,10
7,2.0,1.4907119849998598,10
8,2.8,1.6193277068654826,10
9,3.1,1.911950719959998,10
10,3.3,2.1628170930011112,10
11,3.7,2.5407785333546005,10
12,3.9,2.6012817353502227,10
13,4.3,2.79085809185793,10
14,4.5,2.6352313834736494,10
15,4.4,2.9888682361946524,10
16,4.4,3.0623157540948935,10
17,4.6,3.2386554137309647,10
18,4.8,3.32665998663324,10
19,4.8,3.457680661303984,10
20,4.9,3.634709219609061,10
21,4.6,3.596294389136314,10
22,4.6,3.438345855527367,10
23,4.7,3.2335051500740732,10
24,4.7,3.3349995835415367,10
25,4.9,3.2472210341220142,10
26,5.2,3.794733192202055,10
27,5.5,3.5978388574871505,10
28,5.7,3.8887301554906353,10
29,5.3,4.029061098237818,10
30,5.6,3.806427312965386,10
31,5.7,3.945461527713414,10
32,5.9,3.9846929339382955,10
33,5.8,4.211096452627668,10
34,5.8,4.366539438350085,10
35,5.9,4.557045826702499,10
36,5.9,4.433458644845529,10
37,5.9,4.357624225296267,10
38,6.2,4.4671641514002545,10
39,6.3,4.347413023856832,10
40,6.5,4.169998667732268,10
41,6.8,4.049691346263318,10
42,6.9,4.067486256208427,10
43,7.0,4.242640687119285,10
44,7.1,4.483302354291979,10
45,7.2,4.417138339593985,10
46,7.5,4.377975178854566,10
47,7.2,4.1311822359545785,10
48,7.1,4.306326095924976,10
49,7.1,4.408325456829762,10
50,7.3,4.498147766951785,10
51,7.3,4.667856991049414,10
52,7.3,4.83160888777687,10
53,7.4,4.6475800154489,10
54,7.5,4.403281604540969,10
55,7.8,4.756282395129858,10
56,7.7,4.6678569910494145,10
57,7.9,4.976611966656298,10
58,7.8,5.116422361159972,10
59,7.8,5.181162460726786,10
60,8.1,5.1305187088853135,10
61,8.3,5.186520991955976,10
62,8.5,5.082650227325635,10
63,8.5,5.233439489369194,10
64,8.5,5.317685377847939,10
65,8.7,5.207899981971834,10
66,8.6,5.103375789067903,10
67,8.7,5.121848624601603,10
68,8.9,5.216427044549852,10
69,8.9,4.748099034818508,10
70,9.0,4.9216076867444665,10
71,9.3,5.250396810400778,10
72,9.3,5.121848624601602,10
73,9.6,5.4609726443393045,10
74,9.9,5.526702854726717,10
75,10.5,5.720334100576838,10
76,10.3,6.09280085200741,10
77,10.2,5.921711464320654,10
78,10.2,6.124631508189787,10
79,10.4,6.363087999461338,10
80,10.3,6.307843442008441,10
81,10.6,6.4670103001481465,10
82,10.9,6.539622822966678,10
83,11.0,6.548960901462833,10
84,11.1,6.332456079595025,10
85,11.2,6.528569691917383,10
86,11.1,6.789698078707183,10
87,11.2,6.663332499583073,10
88,11.5,6.819090848492928,10
89,11.6,6.801960501698511,10
90,12.1,6.9992063042097055,10
91,12.2,6.957010852370434,10
92,12.1,7.0624201077093804,10
93,12.4,6.899275324264137,10
94,12.5,7.137537701787952,10
95,12.7,7.118832613411961,10
96,13.0,7.241853660800143,10
97,13.0,7.007932013876213,10
98,13.0,7.272474743090476,10
99,13.2,7.405703507732702,10
100,13.4,7.486283753935891,10
101,13.8,7.52477389841198,10
102,13.7,7.645623294117724,10
103,13.6,7.848566748139433,10
104,13.5,8.11377429642539,10
105,13.7,8.014570065407957,10
106,13.7,8.11103500725332,10
107,13.9,8.006247560499238,10
108,14.0,7.788880963698615,10
109,14.0,7.972173828734266,10
110,14.3,8.014570065407957,10
111,14.7,7.528464503321894,10
112,15.2,7.842901957254795,10
113,15.3,7.8180702364600325,10
114,15.5,7.7781745930520225,10
115,15.5,7.427426651719064,10
116,15.8,7.6274358586472415,10
117,15.8,7.842901957254797,10
118,15.8,7.8993670632526,10
119,16.2,8.148619514985345,10
120,16.2,8.134972512416853,10
121,16.3,8.165646194746486,10
122,16.4,8.235424835563872,10
123,16.6,8.329332372872257,10
124,16.8,8.52186729667989,10
125,16.9,8.530338015967871,10
126,17.2,8.766096305907462,10
127,17.2,9.089676684141313,10
128,17.3,9.117138927438926,10
129,17.4,9.118966803073446,10
130,17.7,9.475699915514888,10
131,18.3,9.416887903005843,10
132,18.4,9.323804659758448,10
133,18.4,9.512564790259717,10
134,18.6,9.489175119284312,10
135,18.8,9.425733098515174,10
136,19.2,9.2951600308978,10
137,19.0,9.116529554118229,10
138,19.0,9.079892314584157,10
139,19.0,9.067647005823629,10
140,19.3,9.12931785208755,10
141,19.3,8.994442728707543,10
142,19.6,8.75848794662133,10
143,19.5,9.119576013536301,10
144,19.6,9.143303560529969,10
145,19.6,9.082339395160746,10
146,19.7,8.920014947670584,10
147,20.0,8.589399151150083,10
148,20.0,8.65383665716478,10
149,20.1,8.723531395025756,10
150,20.2,8.62554346113913,10
151,20.4,8.474799243771042,10
152,20.6,8.553102101317133,10
153,20.6,8.553102101317133,10
154,20.7,8.152027695951208,10
155,20.8,7.941452428030194,10
156,20.9,7.809538327512638,10
157,21.1,8.1574778237176,10
158,21.1,8.225299724359932,10
159,21.3,8.340663442836346,10
160,21.3,8.165646194746486,10
161,21.5,8.058811602491055,10
162,21.6,8.474799243771043,10
163,21.8,8.651268372004445,10
164,21.8,8.547904226573124,10
165,21.4,8.395766128763288,10
166,21.4,8.221921916437786,10
167,21.7,8.499019551297275,10
168,21.9,8.504247304860213,10
169,21.9,8.556349169541358,10
170,22.1,8.5693251387337,10
171,22.4,8.540101482613268,10
172,22.6,8.315981935740094,10
173,22.8,8.638415492567038,10
174,22.9,8.799621203968574,10
175,22.9,8.912537984958792,10
176,23.0,8.768630958643937,10
177,23.1,8.672433978480962,10
178,23.6,8.422192905255336,10
179,23.6,8.275801404630785,10
180,23.7,8.499019551297275,10
181,23.5,8.409650541028576,10
182,24.0,8.537498983243799,10
183,24.1,8.075339690137568,10
184,24.1,8.06156863698926,10
185,24.2,8.107609594284453,10
186,24.0,8.151346173758322,10
187,24.3,8.11103500725332,10
188,24.3,8.083591061183418,10
189,24.3,7.746683878351505,10
190,24.5,7.442371187255369,10
191,24.3,7.349225204816567,10
192,24.3,7.349225204816567,10
193,24.5,7.457285773732365,10
194,24.7,7.513691207093592,10
195,24.8,7.941452428030194,10
196,24.9,7.852105167122735,10
197,25.1,7.309810759064377,10
198,25.2,7.315128919650776,10
199,25.0,7.542472332656507,10
200,25.1,7.264066813202275,10
201,25.2,7.223418704310154,10
202,25.2,6.924994985958874,10
203,25.5,6.553201083779166,10
204,25.6,6.769211344183473,10
205,25.6,6.432556084308769,10
206,25.7,6.498717822257967,10
207,25.5,6.670832032063167,10
208,25.4,6.432556084308771,10
209,26.0,6.446359868604572,10
210,25.9,6.4368729468068056,10
211,26.2,6.4944420682440285,10
212,25.9,6.471304179049056,10
213,25.9,6.367451958550174,10
214,26.2,6.160808027812225,10
215,26.4,6.095535707019979,10
216,26.3,6.111010100175294,10
217,26.4,6.022181221672649,10
218,26.3,6.056218108504496,10
219,26.2,5.827139568909908,10
220,26.1,5.971227307309239,10
221,26.2,5.692099788303083,10
222,26.4,6.040603354706291,10
223,26.3,5.982381539896038,10
224,26.3,6.2012543533994435,10
225,26.2,6.268084945889685,10
226,26.4,6.432556084308769,10
227,26.7,6.3779132776934,10
228,26.9,6.136412270663988,10
229,26.9,6.471304179049056,10
230,27.2,6.62989860824097,10
231,27.5,6.7700320038633,10
232,27.4,6.586180818788518,10
233,27.8,6.303438215238835,10
234,27.7,6.464432603785802,10
235,27.9,6.279596590015423,10
236,27.9,6.081849134012525,10
237,28.2,5.9962951524716965,10
238,28.4,5.92921205182911,10
239,28.4,5.92921205182911,10
240,28.9,5.70477382938574,10
241,28.9,5.665686189686118,10
242,29.1,5.8013408411810765,10
243,29.4,5.872724145478731,10
244,29.7,5.812821078348179,10
245,29.9,5.743595467030115,10
246,30.0,5.696002496878354,10
247,30.3,5.963779562212764,10
248,30.5,5.986094998689324,10
249,30.4,5.910442735813734,10
250,30.5,6.132789830991366,10
251,30.6,6.29285308902091,10
252,30.7,6.464432603785802,10
253,31.0,6.2182527020592095,10
254,31.3,6.342975116877988,10
255,31.5,6.381396573025549,10
256,31.5,6.50213640104372,10
257,31.4,6.484168755086841,10
258,31.7,6.634087059355727,10
259,31.8,6.44291169511977,10
260,32.1,6.723920813863821,10
261,32.3,6.733828364641056,10
262,32.7,6.464432603785802,10
263,32.8,5.996295152471696,10
264,32.8,6.268084945889685,10
265,32.7,6.2012543533994435,10
266,33.2,6.232531142677464,10
267,33.5,6.023103666530884,10
268,33.6,5.94792213951879,10
269,33.9,5.915140648276158,10
270,34.2,5.750362307426086,10
271,34.2,6.088240030309799,10
272,34.4,6.29285308902091,10
273,34.5,6.654154925892376,10
274,34.2,6.762642481555071,10
275,34.1,7.0624201077093804,10
276,34.2,7.114929530376406,10
277,34.3,7.024560089033651,10
278,34.6,6.93140998963735,10
279,34.6,7.011102306738617,10
280,34.9,7.046669820245274,10
281,35.0,7.180219742846005,10
282,35.1,7.202622979011033,10
283,35.5,7.05927286151579,10
284,35.7,7.196449741983118,10
285,35.7,7.394442357458592,10
286,35.7,7.5432088662584444,10
287,35.8,7.37563556583431,10
288,36.1,7.519604008486381,10
289,36.3,7.424434134816082,10
290,36.6,7.260241808033058,10
291,36.7,7.318925239860472,10
292,37.0,7.393691004272944,10
293,37.2,7.083627444874398,10
294,37.1,7.233410137841088,10
295,37.4,7.214183560490019,10
296,37.6,7.260241808033057,10
297,37.8,7.114929530376406,10
298,37.9,7.430417963419764,10
299,38.2,7.345444544447638,10
