t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.48304589153964794,10
3,0.7,0.8232726023485646,10
4,0.9,0.9944289260117534,10
5,1.2,1.1352924243950933,10
6,1.3,1.1595018087284057,10
7,1.5,1.1785113019775793,10
8,2.0,1.4142135623730951,10
9,2.3,1.7029386365926402,10
10,2.4,1.6465452046971292,10
11,2.4,1.577621275493231,10
12,2.5,1.7159383568311668,10
13,2.7,1.636391694484477,10
14,2.7,1.5670212364724214,10
15,3.0,1.4142135623730951,10
16,3.3,1.9465068427541912,10
17,3.3,2.057506581601462,10
18,3.4,2.4129281427805145,10
19,3.8,2.485513584307633,10
20,4.0,2.8674417556808756,10
21,3.9,2.8067379246694513,10
22,4.2,2.8982753492378874,10
23,4.4,2.9888682361946524,10
24,4.3,3.0568684048294332,10
25,4.6,3.272783388968954,10
26,4.8,3.73571352696584,10
27,5.1,3.3482997343593826,10
28,5.3,3.743141876967945,10
29,5.3,3.7727090178455764,10
30,5.3,3.7133393177689658,10
31,5.4,3.4058772731852804,10
32,6.0,3.4318767136623336,10
33,5.9,3.446415206816755,10
34,5.7,3.802046232695699,10
35,5.8,4.077035960378841,10
36,6.0,4.189935029992179,10
37,6.1,4.067486256208427,10
38,6.6,4.115013163202924,10
39,6.7,4.001388647846033,10
40,7.2,4.1041983924323695,10
41,7.4,3.9214509786273974,10
42,7.6,4.29987079909256,10
43,7.5,4.196559437338057,10
44,7.9,4.012480529547776,10
45,8.1,4.1486276177925525,10
46,8.2,4.315347288715269,10
47,7.9,4.20185144377518,10
48,7.4,4.247875285886398,10
49,7.5,3.92286743197994,10
50,7.5,3.9791121287711073,10
51,7.3,3.917198545446024,10
52,7.4,4.060651288757616,10
53,7.6,3.921450978627398,10
54,7.3,4.056544780420347,10
55,7.6,4.351245032554859,10
56,7.8,4.2895221179054435,10
57,8.1,4.306326095924976,10
58,7.8,4.391911757866827,10
59,8.0,4.2946995755750415,10
60,8.4,4.376706016578627,10
61,8.8,4.3410188256265885,10
62,8.8,4.3410188256265885,10
63,9.0,3.8873012632302,10
64,9.0,3.972125095937662,10
65,9.3,3.683295625749672,10
66,9.4,3.272783388968954,10
67,9.5,3.0276503540974917,10
68,10.0,3.265986323710904,10
69,10.4,3.1340424729448424,10
70,10.6,3.1340424729448424,10
71,10.9,3.6347092196090616,10
72,11.3,3.4334951418181574,10
73,11.6,3.4058772731852804,10
74,12.0,3.3333333333333335,10
75,12.4,3.3730961708462712,10
76,12.7,3.7133393177689658,10
77,12.6,3.7178249316263163,10
78,12.7,4.056544780420347,10
79,13.0,4.109609335312651,10
80,13.2,4.211096452627668,10
81,13.4,4.351245032554859,10
82,13.5,4.503085362035432,10
83,13.5,4.600724580614087,10
84,13.9,4.72463990397387,10
85,14.1,4.931756504757937,10
86,14.2,4.871686908385363,10
87,14.3,4.90011337737313,10
88,14.4,5.081557066709201,10
89,14.7,5.229191567005788,10
90,15.2,5.411920998027308,10
91,15.2,5.287301349039561,10
92,15.1,5.258854966202772,10
93,15.3,4.967673276069772,10
94,15.5,4.994441354590566,10
95,15.7,4.620004810002307,10
96,15.7,4.667856991049414,10
97,16.0,4.521553322083512,10
98,16.1,4.931756504757937,10
99,16.5,5.126185499743233,10
100,16.8,5.094659513211414,10
101,17.4,5.18973345494095,10
102,17.3,5.271516754112509,10
103,17.6,5.541760650832108,10
104,17.4,5.4609726443393045,10
105,17.7,5.926400443964465,10
106,17.9,6.00832755431992,10
107,18.1,6.2084172253839744,10
108,18.3,6.532823109328598,10
109,18.3,6.342975116877989,10
110,18.4,6.552353266829662,10
111,18.6,6.003702561290362,10
112,19.0,5.811865258054231,10
113,19.4,5.440588203494178,10
114,19.5,5.602578771323871,10
115,19.8,5.202563470700445,10
116,19.9,5.321862664727663,10
117,20.3,5.478239782184704,10
118,20.5,5.6421036266035856,10
119,20.6,5.581716183715861,10
120,20.7,5.457919831665622,10
121,21.0,5.395471352079548,10
122,21.4,5.232377832092956,10
123,21.5,5.421151989096864,10
124,22.0,5.57773351022717,10
125,22.2,5.652924513520021,10
126,22.5,5.720334100576838,10
127,22.6,6.040603354706291,10
128,22.6,6.32806798671162,10
129,22.9,6.332456079595025,10
130,23.1,6.349978127696364,10
131,23.7,6.30784344200844,10
132,23.7,5.850925852660699,10
133,24.4,5.796550698475776,10
134,24.8,5.493430419854044,10
135,25.1,5.321862664727663,10
136,25.5,5.50252467307306,10
137,25.4,5.18973345494095,10
138,25.8,5.533734925185902,10
139,26.0,5.374838498865699,10
140,26.4,5.295700562196134,10
141,26.5,5.212165257037297,10
142,26.8,5.159672685570492,10
143,26.9,5.2588549662027715,10
144,27.0,5.41602560309064,10
145,26.9,5.546770832355224,10
146,27.3,5.657836257007719,10
147,27.7,5.598610938835137,10
148,27.7,5.250396810400778,10
149,28.0,5.120763831912406,10
150,28.0,5.163977794943222,10
151,28.3,4.967673276069772,10
152,28.6,4.880801391392834,10
153,28.3,5.250396810400778,10
154,28.9,5.173651192984184,10
155,28.9,5.466056876558985,10
156,29.4,5.316640543300503,10
157,29.5,5.400617248673217,10
158,29.6,5.521674464226309,10
159,29.6,5.521674464226309,10
160,29.6,5.168279318217149,10
161,29.9,5.216427044549853,10
162,30.1,5.10881590977792,10
163,30.3,5.078276172963507,10
164,29.9,4.863697724525605,10
165,29.6,4.742245131674331,10
166,30.0,4.546060565661952,10
167,30.1,4.458450154232722,10
168,30.6,4.477102237434884,10
169,30.4,4.718756898449704,10
170,30.2,4.315347288715269,10
171,30.4,4.168666186896929,10
172,30.9,4.332051092342595,10
173,31.2,4.613988392799541,10
174,31.4,4.115013163202924,10
175,31.4,4.550946177566937,10
176,31.7,4.4484703987875305,10
177,31.7,4.547282460742655,10
178,32.3,4.2176876234364356,10
179,32.7,4.347413023856832,10
180,32.7,4.547282460742656,10
181,32.7,4.47337804249888,10
182,33.0,4.189935029992179,10
183,33.3,4.321779468896786,10
184,33.2,3.9944405810520647,10
