t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.17497916537089403,0.3688841253246772,10
3,0.5667919881177199,0.7155755558768757,10
4,0.8728672624774708,0.7645047758083836,10
5,1.069912018516709,0.8720784164018652,10
6,1.3311122381152831,0.7808666277618758,10
7,1.7675113586252469,1.124731863460191,10
8,1.877153858710146,1.1791737378909857,10
9,2.13935654082333,1.4444508607348223,10
10,2.249249094049312,1.4989907294696352,10
11,2.555184306418714,1.5678295008414822,10
12,2.7516224324303566,1.5376192415013836,10
13,2.83879733609744,1.6517892172015864,10
14,3.0355812793905876,1.7198049208024222,10
15,3.2098344088283035,1.925854609852325,10
16,3.363194716227272,1.9958019983041784,10
17,3.7984539186279087,2.205636076704538,10
18,4.037740873231719,2.314466266115642,10
19,4.385980489048354,2.3658880762685057,10
20,4.84425787803901,2.6012526884021114,10
21,5.084911007459139,2.6463118079899695,10
22,5.25997062231311,2.7310954391011926,10
23,5.434340332412986,2.906037840959972,10
24,5.718914351016088,2.955229675303033,10
25,6.134995992211243,2.8791147354138116,10
26,6.222996837359224,2.8637125191926533,10
27,6.639501621436561,3.08065743078861,10
28,6.9009683250041505,3.037934194058579,10
29,7.18550772915881,3.034384595878292,10
30,7.4907565069873385,3.1513507883576044,10
31,7.774296962893132,3.0895145921169176,10
32,8.450012211414613,3.226851181362419,10
33,9.126495082793262,3.42120382004571,10
34,9.737099548342227,3.5996184748479854,10
35,10.2597362631879,3.8337652034982557,10
36,10.740721617415396,4.136580610738556,10
37,11.08943426914634,4.300913022643874,10
38,11.548561602084966,4.1224915377643665,10
39,11.8538997616938,4.32092332549944,10
40,12.203148542691128,4.404470530544565,10
41,12.575886651132077,4.58614523337439,10
42,13.034365427944001,4.813114346056659,10
43,13.449374974040017,4.787478588413129,10
44,14.017885372040208,4.820490043968186,10
45,14.27990029325944,4.985375744956858,10
46,14.520804827761598,5.0331130738401,10
47,14.782519277314075,5.008123772565705,10
48,15.218968690054231,5.118199823385233,10
49,15.764477269858052,5.37228716632232,10
50,16.028185843240593,5.408416014641923,10
51,16.39943689410034,5.457242490839369,10
52,16.900821792340274,5.512500561841793,10
53,17.29488986585739,5.625728898284676,10
54,17.534944424469508,5.611719994784449,10
55,17.99372218299116,5.771364714857284,10
56,18.082464791483766,5.7626369867046305,10
57,18.365928698755273,5.992732006911141,10
58,18.86774652222409,6.028497586476657,10
59,19.194920714300892,6.186561046113064,10
60,19.500015427841344,6.39999620013823,10
61,19.78518932799235,6.49801570915991,10
62,19.981485920503697,6.695863886619071,10
63,20.221859273110976,6.806089888696378,10
64,20.462193330828924,7.006887764959521,10
65,20.65941928010347,7.085340763544225,10
66,20.944714037896215,7.203051860454736,10
67,21.382415501281766,7.3356557879477,10
68,21.667234139743094,7.508470661162616,10
69,21.95197530084437,7.502415000885052,10
70,22.280717934966457,7.656068914864173,10
71,22.651582241679765,7.531334040769891,10
72,23.001248294043954,7.499088827130145,10
73,23.28434316105117,7.77709094840042,10
74,23.394466485395977,7.85511134395127,10
75,23.852947319074612,7.707594069182745,10
76,24.24738220143538,7.827662991868838,10
77,24.706278135746174,7.864316710569267,10
78,25.0351377854766,7.755714688518579,10
79,25.29838871063796,7.5572742478249335,10
80,25.64778286023742,7.53800823363437,10
81,26.17261254539393,7.486554164939131,10
82,26.63170062520938,7.742427832892313,10
83,26.960884730215675,7.546299593290773,10
84,27.374470056225483,7.776227159743747,10
85,27.963064726532366,7.742519309665449,10
86,28.357048932442552,7.672291173594594,10
87,28.59822657942321,7.764904017675962,10
88,28.96894801277939,7.872965191069722,10
89,29.274317215567567,8.069050231615297,10
90,29.733165756158535,7.816153571613969,10
91,30.17061000064835,7.9449375983553425,10
92,30.652287974131177,8.000113784228558,10
93,31.00245817573467,8.218618451820719,10
94,31.331589801198525,8.139828775121929,10
95,31.507912681195158,8.098328853255016,10
96,32.03176609953835,8.225605202535776,10
97,32.4035719697901,8.147497877153233,10
98,32.752871533986436,8.519607845129507,10
99,33.12439708803758,8.34043076401131,10
100,33.36504425409298,8.585350401035269,10
101,33.54055149480249,8.655497011534953,10
102,33.847294102432556,8.969340246348919,10
103,34.22064732828663,9.13658547209923,10
104,34.50598609430685,9.236206721345921,10
105,35.05043298735823,9.40177271698627,10
106,35.552402541703586,9.65046907755399,10
107,35.771508254264745,9.818225887841532,10
108,36.14362268120688,10.045429764368725,10
109,36.58221585007597,10.068530817854361,10
110,36.77951834258592,10.234791149397418,10
111,37.0436582116737,10.366633688050584,10
112,37.24139389578027,10.315346730101963,10
113,37.43926366033702,10.377848868680898,10
114,37.94193383979893,10.443147739415737,10
115,38.20704893690211,10.290630319934053,10
116,38.7307133286969,10.349108269614218,10
117,38.90652578340538,10.482022859652757,10
118,39.256873541288414,10.63503826206496,10
