t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.022250013235663484,0.07036070149625312,10
3,0.2447500305693678,0.3700909230901764,10
4,0.44500003244304487,0.4571940147920788,10
5,0.7565000500598711,0.6893910238940881,10
6,0.956750058501681,1.0008378627650538,10
7,1.3350000676241733,1.3391140240007882,10
8,1.624250064382729,1.608066046266939,10
9,1.8467500816782867,1.9483401027518084,10
10,2.1137500878114586,2.2354822286309286,10
11,2.403000096536391,2.2782570467036813,10
12,2.736750112174717,2.5927588797352583,10
13,2.9370001086882964,2.5168630656042916,10
14,3.1817501112872866,2.475545127046059,10
15,3.4487501119840687,2.556868259159983,10
16,3.6712501238432376,2.645682060609814,10
17,4.116250130542653,2.767619369185097,10
18,4.628000138678092,2.866328164492167,10
19,4.961750148918175,2.920038784588772,10
20,5.384500157443506,2.9514233509896624,10
21,5.740500158461557,3.283163254205545,10
22,6.163250167101326,3.5969686622509403,10
23,6.385750171643055,3.743837561852086,10
24,6.853000181048669,4.030738300405601,10
25,7.031000195544749,4.154922322608174,10
26,7.186750190744869,4.230816691252804,10
27,7.943250209853595,4.396588480732051,10
28,8.477250226764106,4.5916894093632346,10
29,8.788750229512406,4.461419362426137,10
30,9.033500237433348,4.729484510665204,10
31,9.434000249935051,4.8021985756138355,10
32,10.079250265264623,4.724655330742059,10
33,10.546500268025811,4.746898427738012,10
34,10.92475026454595,4.6310535992933675,10
35,11.369750265808976,4.671263718982613,10
36,11.881500269333623,5.023881601568285,10
37,12.126250264538882,4.977738261455384,10
38,12.816000268629775,5.093473798906624,10
39,13.394500272303734,4.898145445940747,10
40,13.683750268985994,4.916584342681046,10
41,14.46250027339816,4.9386312916409345,10
42,15.107750281293466,5.062330018010888,10
43,15.508250280965047,4.994066343805266,10
44,16.10900028730706,4.895224721079872,10
45,16.709750291076684,5.163459656577753,10
46,17.04350029392065,5.1971732456084725,10
47,17.53300030670548,5.300504353485573,10
48,17.9112503091454,5.5135820603541426,10
49,18.46750030634622,5.66003920534755,10
50,18.890250302117728,5.574304626790543,10
51,19.246250302614232,5.772863814595692,10
52,19.60225030359414,5.825223893534631,10
53,20.047250304411918,5.96149614123448,10
54,20.18075032543493,5.9110879541650885,10
