t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.4830458915396479,10
3,0.4,0.6992058987801011,10
4,0.5,0.7071067811865476,10
5,0.7,0.8232726023485646,10
6,0.7,0.6749485577105528,10
7,0.8,1.0327955589886446,10
8,1.2,1.3165611772087666,10
9,1.2,1.2292725943057183,10
10,1.1,1.449137674618944,10
11,0.9,1.449137674618944,10
12,1.2,1.8737959096740262,10
13,1.3,2.110818693198342,10
14,1.4,2.1186998109427604,10
15,1.5,2.3213980461973533,10
16,1.5,2.223610677354389,10
17,1.7,2.110818693198342,10
18,1.7,1.9465068427541912,10
19,1.5,1.90029237516523,10
20,1.7,2.0575065816014617,10
21,1.9,2.378141197564929,10
22,2.1,2.378141197564929,10
23,2.1,2.378141197564929,10
24,2.1,2.5144029554194813,10
25,2.2,2.440400695696417,10
26,2.3,2.359378449224852,10
27,2.4,2.170509412813294,10
28,2.1,2.378141197564929,10
29,2.1,2.282785822435191,10
30,2.2,2.2997584414213788,10
31,2.4,2.590581230363393,10
32,2.6,2.6331223544175333,10
33,2.4,2.1705094128132942,10
34,2.2,2.2997584414213788,10
35,2.5,2.6352313834736494,10
36,2.6,2.503331114069145,10
37,2.5,2.4608038433722332,10
38,2.7,2.496664441476534,10
39,2.8,2.440400695696417,10
40,3.0,2.449489742783178,10
41,2.8,2.2010098692292237,10
42,2.8,2.2010098692292237,10
43,2.6,2.1186998109427604,10
44,3.0,2.1081851067789197,10
45,2.7,2.2135943621178655,10
46,2.4,2.3664319132398464,10
47,2.4,2.2705848487901865,10
48,2.2,2.2997584414213788,10
49,2.1,2.2335820757001272,10
50,2.0,2.309401076758503,10
51,2.1,1.728840330651992,10
52,2.1,1.911950719959998,10
53,2.3,1.636391694484477,10
54,2.3,1.7669811040931427,10
55,2.4,2.0110804171997807,10
56,2.4,2.0110804171997807,10
57,2.3,2.0027758514399734,10
58,2.1,1.8529256146249728,10
59,2.2,1.8135294011647258,10
60,2.3,1.7029386365926402,10
61,2.4,1.7126976771553504,10
62,2.2,1.9321835661585918,10
63,2.1,1.9692073983655907,10
64,1.9,1.9692073983655907,10
65,2.0,1.8856180831641267,10
66,2.1,2.0248456731316584,10
67,2.3,2.263232692902394,10
68,2.2,2.485513584307633,10
69,2.2,2.485513584307633,10
70,2.2,2.440400695696417,10
71,2.3,2.496664441476534,10
72,2.3,2.5841396591085743,10
73,2.2,2.485513584307633,10
74,2.1,2.5144029554194813,10
75,2.2,2.485513584307633,10
76,2.1,2.4698178070456938,10
77,2.0,2.3570226039551585,10
78,2.0,2.3570226039551585,10
79,2.0,2.5385910352879693,10
80,1.9,2.5582111805799856,10
81,1.6,2.3664319132398464,10
82,1.9,2.378141197564929,10
83,1.8,2.4404006956964173,10
84,2.0,2.3570226039551585,10
85,2.2,2.3475755815545347,10
86,2.2,2.3475755815545347,10
87,2.4,2.5473297566057065,10
88,2.4,2.5473297566057065,10
89,2.2,2.4855135843076335,10
90,2.3,2.6687491868330793,10
91,2.2,2.6583202716502514,10
92,2.4,2.590581230363393,10
93,2.5,2.592724864350674,10
94,2.5,2.9154759474226504,10
95,2.4,2.6331223544175333,10
96,2.5,2.718251071716682,10
97,2.8,2.820559440174157,10
98,2.9,3.1073389830457114,10
99,3.0,3.018461712712472,10
100,2.8,3.0477678535099892,10
101,3.0,3.018461712712472,10
102,3.0,3.1269438398822866,10
103,3.1,3.212821536005731,10
104,3.1,3.4140233677518315,10
105,3.1,3.3813212407775355,10
106,3.0,3.681787005729087,10
107,3.1,3.6953424138441564,10
