t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.5,0.5270462766947299,10
4,0.8,0.6324555320336759,10
5,1.0,0.9428090415820634,10
6,1.4,1.2649110640673518,10
7,1.8,1.3165611772087666,10
8,1.7,1.494434118097326,10
9,2.1,1.523883926754995,10
10,2.1,1.5238839267549948,10
11,2.3,1.636391694484477,10
12,2.5,1.8408935028645435,10
13,2.5,1.7159383568311668,10
14,2.7,1.766981104093143,10
15,2.9,1.9119507199599983,10
16,3.2,2.0976176963403033,10
17,3.2,1.9888578520235067,10
18,3.4,2.0110804171997807,10
19,3.6,2.2211108331943574,10
20,3.8,2.2997584414213783,10
21,4.1,2.601281735350223,10
22,4.4,2.4129281427805145,10
23,4.6,2.4129281427805145,10
24,4.8,2.699794230842212,10
25,5.1,2.8460498941515415,10
26,5.2,2.973961069759395,10
27,5.0,2.9059326290271157,10
28,5.0,3.1269438398822866,10
29,5.4,3.0983866769659336,10
30,5.7,3.1989581637360205,10
31,5.9,3.212821536005731,10
32,6.2,3.155242550986462,10
33,6.3,2.9832867780352594,10
34,6.1,2.806737924669451,10
35,6.2,2.898275349237888,10
36,6.3,2.9832867780352594,10
37,6.5,3.0276503540974917,10
38,6.8,2.9739610697593943,10
39,6.8,3.0477678535099892,10
40,7.1,3.0713731999438516,10
41,7.0,3.2998316455372216,10
42,7.5,3.5355339059327378,10
43,7.4,3.5023801430836525,10
44,7.7,3.529242915351047,10
45,7.7,3.368151487751767,10
46,7.7,3.3015148038438356,10
47,7.7,3.1989581637360205,10
48,8.0,3.4641016151377544,10
49,8.1,3.6953424138441564,10
50,8.2,3.457680661303984,10
51,8.2,3.7653389990514503,10
52,7.9,3.665151201974256,10
53,7.7,3.497618237219913,10
54,7.7,3.497618237219913,10
55,7.8,3.521363372331802,10
56,7.8,3.6453928305312844,10
57,7.8,3.8528488738133038,10
58,7.7,3.831158803518562,10
59,7.9,3.984692933938295,10
60,7.8,3.8815804341359033,10
61,8.2,3.852848873813304,10
62,8.2,3.675746333890726,10
63,8.2,3.6453928305312844,10
64,8.1,3.6040101122068027,10
65,8.1,3.634709219609061,10
66,8.3,3.591656999213594,10
67,8.3,3.5605867181937554,10
68,8.7,3.683295625749672,10
69,8.7,3.831158803518562,10
70,8.7,3.7133393177689658,10
71,8.5,3.4721111093332766,10
72,8.3,3.368151487751767,10
73,8.5,3.4399612400917157,10
74,8.5,3.3082388735465345,10
75,8.5,3.24037034920393,10
76,8.6,3.565264521898917,10
77,8.6,3.272783388968954,10
78,8.4,3.0623157540948935,10
79,8.5,3.4721111093332766,10
80,8.8,3.2591750830880843,10
81,8.9,3.142893217686178,10
82,8.9,2.998147576235848,10
83,9.0,3.0912061651652345,10
84,9.2,3.3928028399998595,10
85,9.2,3.645392830531285,10
86,9.2,3.5213633723318023,10
87,9.3,3.802046232695699,10
88,9.4,3.8930136855083823,10
89,9.6,4.060651288757617,10
90,9.8,4.2895221179054435,10
91,9.8,4.157990967870047,10
92,9.8,4.157990967870047,10
93,9.9,4.383048152953731,10
94,9.6,4.115013163202924,10
95,9.6,3.9496835316263,10
96,9.6,3.864367132317183,10
97,9.5,3.9791121287711073,10
98,9.2,3.7947331922020555,10
99,9.2,3.7947331922020555,10
100,9.6,3.6270588023294517,10
101,9.6,3.3399933466334266,10
102,9.5,3.3082388735465345,10
103,9.6,3.272783388968954,10
104,9.8,3.155242550986462,10
105,9.8,2.859681411936962,10
106,9.6,3.134042472944843,10
107,9.4,2.8751811537130436,10
108,9.5,3.0276503540974917,10
109,9.7,3.16403399335581,10
110,9.8,3.119829055146024,10
111,9.8,3.011090610836324,10
112,9.8,2.973961069759395,10
113,9.9,3.2812599206199238,10
114,9.8,3.2930904093942583,10
115,9.7,3.2335051500740737,10
116,9.7,3.2335051500740737,10
117,9.7,3.560586718193756,10
118,9.7,3.591656999213594,10
119,9.4,3.565264521898917,10
120,9.8,3.5213633723318014,10
121,9.8,3.552776691859794,10
122,9.9,3.2472210341220142,10
123,9.9,3.510302297840205,10
124,10.0,3.4641016151377544,10
125,10.0,3.4641016151377544,10
126,10.2,3.552776691859794,10
127,10.3,3.433495141818158,10
128,10.3,3.6530048514126623,10
129,10.7,3.9171985454460234,10
130,10.6,3.921450978627398,10
131,10.6,3.921450978627398,10
132,10.5,3.7785946829182113,10
133,10.4,3.806427312965386,10
134,10.6,3.806427312965386,10
135,10.6,3.6270588023294517,10
136,10.5,3.4721111093332766,10
137,10.7,3.6832956257496723,10
138,10.8,3.675746333890726,10
139,10.7,3.9454615277134146,10
140,10.8,4.1041983924323695,10
141,11.0,4.371625682868,10
142,11.0,4.2946995755750415,10
143,11.1,4.433458644845529,10
144,11.2,4.5166359162544865,10
145,11.1,4.605552204797066,10
146,11.1,4.483302354291979,10
147,11.1,4.201851443775179,10
148,11.1,3.984692933938295,10
149,11.1,3.6347092196090616,10
150,11.1,3.5418137224371984,10
151,11.1,3.5418137224371984,10
152,11.0,3.6514837167011076,10
153,11.1,3.5418137224371984,10
154,11.1,3.4785054261852175,10
