t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.1963390666060481,0.3631195934214153,10
3,0.34853653028121584,0.5663638982478029,10
4,0.5894371106201639,0.8684064624235324,10
5,0.7223324670588999,0.8630716383904069,10
6,1.071535540078432,0.9459991354792501,10
7,1.2692836366679041,1.0548973432585607,10
8,1.5541795169008785,1.2466948984141633,10
9,2.165375809479337,1.4911004913797148,10
10,2.7550568458401563,1.7557629570655306,10
11,3.191912849831007,1.6059601705678983,10
12,3.933629525379638,1.6691949959210428,10
13,4.19474436433895,1.619419169289369,10
14,4.565678823457977,1.7150571173468963,10
15,5.133458404448661,1.4505718194577666,10
16,5.483426777871347,1.3438858104086595,10
17,6.052086084854279,1.4111718487075506,10
18,6.401856690776361,1.4991776747867251,10
19,6.838778172556054,1.6420333072675344,10
20,7.407444100654561,1.8070806393712178,10
21,7.996263869259151,1.850932621206565,10
22,8.672822556621005,1.9915757919130486,10
23,9.130660832676757,1.983544995186612,10
24,9.588182682172983,1.8917406652441011,10
25,10.003148333541468,1.8733382667274043,10
26,10.374099972290452,1.9823862817435007,10
27,10.92008601161985,1.8785389184403576,10
28,11.379355299335103,1.8929406596898646,10
29,11.795762021454802,1.9613328112640325,10
30,12.277657131699971,2.0974612013524663,10
31,12.889779643197064,2.3093014669915686,10
32,13.544259813240455,2.2739723599372037,10
33,14.068215893668633,2.516159630587212,10
34,14.526140512778403,2.6609926118662535,10
35,14.810426725415036,2.998205605208998,10
36,15.093761373727862,2.963278673186873,10
37,15.638555217220375,2.8761283081545455,10
38,16.032279692363478,2.8697874302353994,10
39,16.621431035701512,2.8008386467405284,10
40,16.863259502831763,2.8407446735743416,10
41,17.25642642931819,2.876906753684179,10
42,17.933328923222284,2.9427645117896453,10
43,18.36949508576171,2.932199443805754,10
44,19.111088788004047,2.975498082612651,10
45,19.6990937978705,2.935507456317874,10
46,20.069978236820837,2.9873069263773484,10
47,20.549642645935023,3.09825039806661,10
48,20.855057157822188,2.8754274797858,10
49,21.07439406354372,2.966215193398285,10
50,21.750627403566114,2.90816534422362,10
51,22.035202822928603,2.934703699602826,10
52,22.451033332053647,3.1277714867982853,10
53,23.040912423315675,3.1647620374391243,10
54,23.564097052053043,3.2258012484185175,10
55,24.262267703275086,3.143604762661049,10
56,24.938823462676346,3.3479041772854097,10
57,25.52730843252764,3.4747424071718953,10
58,26.05070219771567,3.4357475429888717,10
59,26.617914188985857,3.5847674636988858,10
60,27.164634173129087,3.6045418076294906,10
61,27.492843563880037,3.6787956396463652,10
62,28.10543426996613,3.908873468104564,10
63,28.54325939983324,3.8211432162787755,10
64,29.175881912902675,3.8396893087265096,10
65,29.873768101724,3.752314719102258,10
66,30.37576533489323,3.7219632302212977,10
67,31.008268724559894,3.5590335358239376,10
68,31.37964322192874,3.600878879743421,10
69,31.882167072619275,3.662676851334097,10
70,32.42710660000998,3.55434613637003,10
71,32.79973155478304,3.771449421029814,10
72,33.10585202637203,3.8460208830329012,10
73,33.71805544691692,3.8809965126663766,10
74,34.37396763599939,3.925842503607856,10
75,35.00713218623423,3.874266053558243,10
76,35.70628519626447,3.7767961420850837,10
77,36.338913799731095,3.7241469121424595,10
78,36.88436500167438,3.776130940433177,10
79,37.29807100453895,3.741879041228959,10
80,37.58236056990339,3.917556650461309,10
81,38.28048205708912,3.888169809718318,10
82,38.63094617827676,4.154583912379427,10
83,39.156317601625304,4.178254514355819,10
84,39.52796493448874,4.085569478207026,10
85,40.07319420407835,4.122559799055369,10
86,40.750008594763344,4.146889093916572,10
87,41.447921545738446,4.1185703503393345,10
88,42.05808403527045,4.121283748655053,10
89,42.494213334427876,4.08035885775252,10
90,42.887326770570446,4.180493810113232,10
91,43.41066987769277,4.346891847105398,10
92,43.890476894741546,4.256466587906101,10
93,44.06764653965867,4.348197185057804,10
94,44.67824013640116,4.296371322688677,10
95,44.9639280668049,4.40387795650707,10
96,45.46646774526063,4.293661756234372,10
97,46.07763369714345,4.335778137282849,10
98,46.600669499718805,4.24714293059216,10
99,47.18976666082689,4.260970750278342,10
100,47.62534236841515,4.17666928578723,10
101,47.995725108887065,4.450456605126509,10
102,48.60680365858767,4.7037755913352175,10
103,49.000335694314145,4.784109697237902,10
104,49.568089140466284,4.580866256446922,10
105,49.917630172388215,4.637597115225182,10
106,50.13657900107783,4.769683613164649,10
107,50.6605154452069,4.702102287869381,10
108,51.35901778885553,4.531747163701594,10
109,51.94803580876017,4.42545656035828,10
110,52.71143014620882,4.614718030112282,10
111,53.409329437198814,4.743166880957125,10
112,53.71478599250942,4.873802783546113,10
113,54.0860840235545,4.754360534063772,10
114,54.72004842379198,4.726701679953758,10
115,55.30984545552106,4.709693651282253,10
116,55.79099826973054,4.781273261627665,10
117,56.272315431851005,4.777928178809443,10
118,56.491820040524395,4.848690484640783,10
119,57.19047082727584,4.9536346925905645,10
120,57.75795244483818,4.918616839687844,10
121,58.23824610943859,5.1558404895662395,10
122,58.89163975281606,5.011040011826589,10
123,59.371281807751515,5.154007305564074,10
124,59.825839962959705,5.283516232346164,10
125,60.327367428210586,5.3451371414447415,10
126,60.8088440718484,5.367308493110055,10
127,61.33279740289936,5.3375974977041425,10
128,61.44276288730649,5.3746886693487195,10
129,61.923663204251156,5.440360979050214,10
130,62.448630108740836,5.574078288800156,10
131,63.29945871587935,5.57885577514605,10
132,64.0410929454309,5.773632958471271,10
133,64.65144291935844,5.630865045045595,10
134,65.06586334379456,5.705645359787233,10
135,65.65523396631468,5.767678951862665,10
136,66.33134858490499,5.7183779366762995,10
137,66.72557071597024,5.583282019656641,10
138,67.16202409544003,5.52199323687941,10
139,67.55696053101858,5.513369990609544,10
140,67.97180617900385,5.333207030352902,10
141,68.64931084581809,5.357729891523649,10
142,69.21693906840207,5.302952780865843,10
143,69.74050279337742,5.463138388100887,10
144,70.48233112464918,5.504947098257704,10
145,71.11454067150068,5.5598813539400025,10
146,71.37634896015011,5.4346782733189745,10
147,71.7912039796315,5.412409909754462,10
148,72.23298736091935,5.396649789254028,10
149,72.42988339616123,5.532476764313611,10
150,72.86724320431767,5.466982999076437,10
151,73.26130453234924,5.669831334589549,10
152,73.8506533555027,5.691107629451266,10
153,74.30831864875039,5.637025431292456,10
154,75.02839776625264,5.668754478209633,10
155,75.52974814777514,5.703642820547009,10
156,76.03145076104772,5.8770242050051875,10
157,76.49792515899917,6.010855707569867,10
158,77.02190368068786,5.77279204254588,10
159,77.37136145001014,5.972099604826555,10
160,78.13629718865613,5.935935541161193,10
161,78.661746408299,6.152402799868752,10
162,78.99077398377364,5.89205579079741,10
163,79.297583730931,6.003521121732845,10
164,79.99521886521111,5.885051475537563,10
165,80.75867045465706,5.863834830281316,10
166,81.1727962578847,5.763799727018473,10
167,81.7839101470577,5.899359786691613,10
168,82.08926884799831,5.92964270135694,10
169,82.7006692632345,5.993157306792368,10
170,83.39991406440036,6.064949435107085,10
171,83.88097238648943,6.066530890198731,10
172,84.10055465388551,5.993704210299681,10
173,84.62469568406938,5.9211814911858225,10
174,85.32306474353359,6.037219002943627,10
175,85.9553549801122,5.849318757252233,10
176,86.78410463435196,5.831906051757536,10
177,87.30706778411435,5.996477732980032,10
178,87.85145741835774,6.030239979373656,10
179,88.50586380321514,6.095624374146466,10
180,89.2041810722391,6.221907198457265,10
181,89.5764790112156,6.432160929505937,10
182,90.05741998318248,6.579825849178369,10
183,90.16798954889265,6.7118611017529135,10
184,90.65049022113136,6.789954603602884,10
185,91.21836174679439,6.897951644295739,10
186,91.7643613932905,6.8423093050726775,10
187,92.396194667259,6.696186356152826,10
188,93.05026038280087,6.718512773786509,10
189,93.39955493316728,6.6770925005333694,10
190,93.98877830841019,6.859107886005622,10
191,94.35970219041114,6.708371348055269,10
192,94.75354895913426,6.655177429955823,10
193,95.189356690035,6.442530253149758,10
194,95.62751597346804,6.629005246954344,10
195,96.34817933613509,6.59376119620838,10
196,96.93757534875033,6.620058774906915,10
197,97.63537435189288,6.68868985445065,10
198,98.39806150841642,6.753955458103228,10
199,98.98636789929432,6.7975064414510395,10
200,99.55365700120664,6.651051990366653,10
201,100.1650050120983,6.748668536123218,10
202,100.81898620383853,6.897829281516135,10
203,101.32218666410857,6.8507591751320005,10
204,101.65046967524503,6.8998271280381775,10
205,101.84713080387934,6.67726239833056,10
206,102.41535407070913,6.601752607471093,10
207,102.98297616121445,6.735421022689437,10
208,103.52875311735845,6.683078626651366,10
209,103.85571188250267,6.536435169889273,10
210,104.35767427417568,6.618653610855855,10
211,104.77127007078143,6.656288054377429,10
212,105.33891580413362,6.735872232865233,10
213,105.79738277705863,6.6370178077429,10
214,106.25566226402461,6.736425049901109,10
215,106.51886632075362,6.8388470490406705,10
216,106.97889933561638,7.006026545008796,10
217,107.32749921304301,7.050989310165892,10
218,107.82949988003448,7.1108806033281144,10
219,108.54985286696167,7.11088416869118,10
220,109.24752067003188,7.1095107172166925,10
221,109.85825456306497,7.084746944468727,10
222,110.46955507895662,7.2585119393954125,10
223,110.92727562993142,7.421945900073789,10
224,111.64778531755061,7.410974282331642,10
225,112.12872640768887,7.48926302865373,10
