t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.4,0.5163977794943223,10
4,0.6,0.8432740427115679,10
5,1.0,1.0540925533894598,10
6,1.3,1.3374935098492586,10
7,1.7,1.494434118097326,10
8,1.5,1.9578900207451218,10
9,1.6,1.6465452046971292,10
10,1.6,1.9550504398153574,10
11,2.0,2.0548046676563256,10
12,2.2,2.043961295567452,10
13,2.4,2.065591117977289,10
14,2.7,2.0575065816014617,10
15,3.1,1.9119507199599983,10
16,3.2,1.9888578520235065,10
17,3.2,2.0976176963403033,10
18,3.5,2.3213980461973533,10
19,3.8,2.3475755815545343,10
20,3.8,2.485513584307633,10
21,4.4,2.4585451886114362,10
22,4.9,2.5144029554194813,10
23,4.8,2.573367875415838,10
24,5.0,2.5385910352879693,10
25,5.4,2.547329756605707,10
26,5.6,2.590581230363393,10
27,5.7,2.5407785333546005,10
28,5.7,2.496664441476534,10
29,6.0,2.211083193570267,10
30,6.3,2.1628170930011112,10
31,6.6,1.7126976771553504,10
32,7.1,1.7288403306519922,10
33,7.0,1.632993161855452,10
34,7.1,1.791957340762082,10
35,7.3,1.9465068427541912,10
36,7.7,2.002775851439974,10
37,7.9,1.911950719959998,10
38,8.2,1.8737959096740262,10
39,8.2,2.043961295567452,10
40,8.4,2.2211108331943574,10
41,8.4,2.118699810942761,10
42,8.7,2.3593784492248524,10
43,8.8,2.440400695696417,10
44,8.8,2.573367875415838,10
45,8.9,2.5582111805799856,10
46,8.8,2.6583202716502514,10
47,8.9,2.558211180579986,10
48,9.2,2.6161889160464775,10
49,9.4,2.9514591494904874,10
50,9.6,2.756809750418044,10
51,9.7,2.9832867780352594,10
52,9.3,2.8303906287138374,10
53,9.2,2.485513584307633,10
54,9.9,2.2335820757001272,10
55,10.1,2.0789954839350235,10
56,10.2,2.097617696340303,10
57,10.3,2.213594362117866,10
58,10.4,2.716206504995115,10
59,10.7,2.584139659108575,10
60,10.8,2.6161889160464775,10
61,10.9,2.998147576235848,10
62,10.9,2.884826203122507,10
63,11.1,3.1780497164141406,10
64,10.9,2.8848262031225076,10
65,11.0,2.9814239699997196,10
66,11.2,3.04776785350999,10
67,11.3,3.3349995835415367,10
68,11.9,3.4785054261852175,10
69,12.0,3.559026084010437,10
70,12.0,4.0,10
71,12.0,3.9440531887330774,10
72,12.1,3.784471194529326,10
73,12.1,4.04007700696685,10
74,12.4,4.115013163202923,10
75,12.8,3.9384147967311813,10
76,13.3,4.110960958218893,10
77,13.6,3.8643671323171835,10
78,13.5,3.8078865529319543,10
79,13.7,3.9454615277134146,10
80,13.8,4.157990967870047,10
81,14.1,4.458450154232722,10
82,14.2,4.366539438350084,10
83,14.4,4.477102237434884,10
84,14.7,4.620004810002307,10
85,15.1,4.629614814791111,10
86,15.3,4.738729318662922,10
87,16.0,4.8074017006186525,10
88,16.1,4.840798832148815,10
89,16.1,5.10881590977792,10
90,16.4,5.358275012642698,10
91,16.4,5.501514942874069,10
92,16.7,5.598610938835137,10
93,17.0,5.715476066494082,10
94,17.2,6.069962474714687,10
95,17.5,6.168918507773916,10
96,17.7,6.236986451805071,10
97,17.9,5.743595467030115,10
98,17.9,5.915140648276159,10
99,17.8,6.408327915038888,10
100,18.3,6.219146064997813,10
101,18.6,6.1860057118197584,10
102,19.1,6.402256546631733,10
103,19.5,6.467869303977419,10
104,19.6,6.915361322607968,10
105,19.9,6.93541635375988,10
106,19.9,6.82234889495139,10
107,20.2,6.44291169511977,10
108,20.3,6.342975116877989,10
109,20.7,6.18331087147762,10
110,21.0,6.3595946761129705,10
111,20.9,6.2084172253839744,10
112,21.4,6.397916327472041,10
113,21.7,6.766748767974831,10
114,21.7,6.498717822257967,10
115,22.3,6.61731734835869,10
116,22.2,6.408327915038888,10
117,22.2,6.285786435372356,10
118,22.5,6.096447052723961,10
119,22.8,5.750362307426087,10
120,23.1,5.486346689738081,10
121,23.1,5.0431471655438855,10
122,23.4,5.399588461684424,10
123,23.2,5.072803301265813,10
124,23.5,5.359311730271176,10
