t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.4,0.5163977794943223,10
5,0.4,0.5163977794943223,10
6,0.7,0.8232726023485646,10
7,0.9,0.9944289260117533,10
8,1.3,1.0593499054713802,10
9,1.4,1.07496769977314,10
10,1.8,1.1352924243950933,10
11,1.8,1.1352924243950935,10
12,1.8,1.1352924243950935,10
13,2.0,1.3333333333333333,10
14,2.3,1.5670212364724212,10
15,2.4,1.5055453054181622,10
16,2.3,1.494434118097326,10
17,2.3,1.3374935098492586,10
18,2.3,1.3374935098492586,10
19,2.7,1.3374935098492586,10
20,2.9,1.449137674618944,10
21,3.0,1.632993161855452,10
22,3.1,1.9119507199599983,10
23,3.3,2.2135943621178655,10
24,3.4,2.1186998109427604,10
25,3.3,2.4060109910158114,10
26,3.3,2.5407785333546005,10
27,3.3,2.496664441476534,10
28,3.3,2.79085809185793,10
29,3.1,2.685351208149711,10
30,3.4,2.913569784454954,10
31,3.3,2.9458068127047605,10
32,3.6,3.3730961708462717,10
33,3.8,3.32665998663324,10
34,4.0,3.4318767136623336,10
35,4.0,3.4318767136623336,10
36,4.0,3.7712361663282534,10
37,4.0,3.80058475033046,10
38,3.9,3.7252889522529355,10
39,3.9,3.725288952252936,10
40,4.0,3.6514837167011076,10
41,3.8,3.614784456460256,10
42,4.0,3.6209268304000717,10
43,3.8,3.4896672875473067,10
44,3.9,3.3482997343593826,10
45,3.9,3.178049716414141,10
46,4.3,3.3349995835415367,10
47,4.2,3.3928028399998595,10
48,4.5,3.5668224265054493,10
49,4.7,3.267686915507326,10
50,4.6,3.169297153067923,10
51,4.7,3.0203016773531455,10
52,4.8,2.973961069759395,10
53,4.7,3.16403399335581,10
54,5.2,2.820559440174157,10
55,5.3,2.5841396591085743,10
56,5.2,2.3475755815545343,10
57,5.1,2.5144029554194813,10
58,5.3,2.5841396591085743,10
59,5.5,2.41522945769824,10
60,5.6,2.3190036174568114,10
61,5.6,2.4585451886114367,10
62,5.5,2.41522945769824,10
63,5.4,2.9514591494904874,10
64,5.6,2.988868236194653,10
65,5.8,2.898275349237888,10
66,6.0,2.9814239699997196,10
67,6.3,2.8693785622209793,10
68,6.2,2.898275349237888,10
69,6.3,2.7908580918579307,10
70,6.2,2.780887148615228,10
71,6.5,2.8382310609877335,10
72,6.5,2.9533408577782247,10
73,6.6,2.913569784454954,10
74,6.6,2.875181153713043,10
75,6.9,3.2472210341220142,10
76,6.9,3.3482997343593826,10
77,7.0,3.1622776601683795,10
78,7.3,3.4334951418181574,10
79,7.4,3.533962208186286,10
80,7.5,3.689323936863109,10
81,7.7,3.4657049948186747,10
82,7.9,3.4464152068167553,10
83,7.9,3.6651512019742563,10
84,7.7,3.4657049948186747,10
85,7.9,3.4464152068167553,10
86,8.2,3.645392830531285,10
87,8.2,3.5839146815241634,10
88,8.4,3.7178249316263163,10
89,8.4,3.4058772731852804,10
90,8.2,3.645392830531285,10
91,8.3,3.7133393177689658,10
92,8.4,3.9496835316263,10
93,8.7,4.1379007023153935,10
94,8.9,4.201851443775179,10
95,8.8,4.263540521418529,10
96,8.8,4.315347288715269,10
97,8.9,4.408325456829762,10
98,8.9,4.629614814791111,10
99,8.9,4.954235000930461,10
100,9.1,5.2588549662027715,10
101,9.4,4.971027168615266,10
102,9.5,4.927248499698161,10
103,9.6,4.948624949305502,10
104,9.4,5.274677451960662,10
105,9.6,5.378971401051816,10
106,9.8,5.43241300999023,10
107,10.3,5.121848624601602,10
108,10.4,5.037636129950017,10
109,10.6,5.146735750831676,10
110,10.8,5.391351098441528,10
111,10.6,5.440588203494177,10
112,10.7,5.657836257007719,10
113,10.6,5.621387729022079,10
114,10.7,5.982381539896037,10
115,10.8,6.069962474714687,10
116,11.0,6.377042156569663,10
117,11.1,6.640783086353596,10
118,11.5,6.637435917246626,10
119,11.6,6.501281924871945,10
120,11.7,6.129165250396392,10
121,11.9,6.297265720577111,10
122,11.9,6.297265720577111,10
123,12.0,6.377042156569663,10
124,12.1,6.00832755431992,10
125,12.3,6.18331087147762,10
126,12.5,6.416125518306719,10
127,12.6,6.397916327472042,10
128,12.8,6.390965845976995,10
129,12.4,6.221825384170718,10
130,12.5,6.398784606817489,10
131,12.6,6.44980619863884,10
132,12.6,6.345602151621757,10
133,12.9,6.65749368923638,10
134,12.7,6.412661087428699,10
135,12.8,6.321040701937898,10
136,12.9,6.332456079595025,10
137,13.0,6.2182527020592095,10
138,12.8,6.160808027812225,10
139,12.6,6.131883886702357,10
140,12.6,6.239658110292049,10
141,12.8,6.390965845976995,10
142,12.9,6.402256546631734,10
143,12.9,6.539622822966678,10
144,12.8,6.545566777937908,10
145,12.6,6.397916327472042,10
146,12.8,6.696599468718764,10
147,13.0,6.497862896539309,10
148,13.0,6.765927710061479,10
149,13.0,6.765927710061479,10
150,13.0,6.765927710061479,10
151,13.0,6.815016100086957,10
152,13.0,6.649979114420001,10
153,13.1,6.6741624526560965,10
154,13.4,6.818276093624318,10
155,13.7,6.8321137122985425,10
