t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.2,0.42163702135578396,10
5,0.3,0.48304589153964794,10
6,0.5,0.5270462766947299,10
7,1.0,0.6666666666666666,10
8,1.3,0.674948557710553,10
9,1.7,0.8232726023485646,10
10,1.9,1.1005049346146119,10
11,2.0,1.247219128924647,10
12,2.0,1.0540925533894598,10
13,2.2,0.7888106377466155,10
14,2.3,1.1595018087284057,10
15,2.4,1.1737877907772674,10
16,2.7,1.2516655570345725,10
17,2.6,1.2649110640673518,10
18,2.8,1.5491933384829668,10
19,3.3,1.7029386365926402,10
20,3.4,1.776388345929897,10
21,3.6,1.776388345929897,10
22,3.8,1.8135294011647258,10
23,3.9,1.8529256146249728,10
24,4.0,2.160246899469287,10
25,3.9,2.0789954839350235,10
26,3.9,2.1317702607092643,10
27,3.9,2.282785822435191,10
28,4.0,2.4037008503093262,10
29,4.3,2.6267851073127395,10
30,4.3,2.6687491868330797,10
31,4.3,2.540778533354601,10
32,4.5,2.6352313834736494,10
33,4.5,2.6352313834736494,10
34,4.6,2.503331114069145,10
35,4.7,2.8303906287138374,10
36,4.9,3.3813212407775355,10
37,5.2,3.293090409394259,10
38,5.3,3.3015148038438356,10
39,5.2,3.190262963734773,10
40,5.2,3.155242550986462,10
41,5.4,3.2041639575194445,10
42,5.6,3.1692971530679235,10
43,5.5,3.100179206289712,10
44,5.5,3.0276503540974917,10
45,5.3,3.020301677353145,10
46,5.4,3.1692971530679235,10
47,5.8,3.5839146815241634,10
48,5.8,3.5839146815241634,10
49,5.9,3.5103022978402048,10
50,5.9,3.6040101122068022,10
51,6.1,3.8137179293236207,10
52,6.4,3.977715704047013,10
53,6.7,4.083843505544474,10
54,6.6,4.351245032554859,10
55,6.6,4.351245032554859,10
56,6.5,4.32691832858239,10
57,6.7,4.47337804249888,10
58,6.8,4.417138339593985,10
59,6.9,4.408325456829762,10
60,7.0,4.546060565661952,10
61,7.1,4.72463990397387,10
62,7.0,4.69041575982343,10
63,7.2,4.565571644870382,10
64,7.4,4.427188724235731,10
65,7.9,4.629614814791111,10
66,7.9,4.909175083453431,10
67,8.0,4.784233364802441,10
68,8.1,4.931756504757937,10
69,8.1,5.152130088074683,10
70,8.1,5.152130088074683,10
71,8.1,5.152130088074683,10
72,8.3,5.313504806936128,10
73,8.4,5.481281277625191,10
74,8.3,5.793674711844519,10
75,8.5,5.986094998689324,10
76,8.4,6.328067986711619,10
77,8.5,6.346477588219924,10
78,8.3,6.549809157525126,10
79,8.3,6.549809157525126,10
80,8.5,6.620674688680402,10
81,8.5,6.802777210652851,10
82,8.5,6.802777210652851,10
83,8.5,6.916164640415476,10
84,8.8,6.729701991090607,10
85,9.0,6.666666666666667,10
86,9.2,6.47731082746193,10
87,9.2,6.442911695119771,10
88,9.2,6.442911695119771,10
89,9.4,6.328067986711619,10
90,9.8,6.196773353931867,10
91,9.8,6.408327915038887,10
92,9.8,6.37355648144913,10
93,10.1,6.279596590015424,10
94,10.1,6.261877602693231,10
95,10.2,6.214677966091423,10
96,10.5,6.078194176270157,10
97,10.4,6.310485101972924,10
98,10.4,6.586180818788517,10
99,10.5,6.467869303977419,10
100,10.7,6.412661087428699,10
101,10.7,6.412661087428699,10
102,10.8,6.460134157533675,10
103,10.8,6.390965845976995,10
104,11.0,6.716480559869962,10
105,11.1,6.789698078707182,10
106,11.1,6.556591255285698,10
107,11.3,6.667499947923176,10
108,11.1,6.5903970543005475,10
109,11.5,6.433419688539594,10
110,11.6,6.363087999461338,10
111,11.7,6.18331087147762,10
112,11.9,5.989806155275626,10
113,11.8,6.214677966091423,10
114,11.9,6.349978127696365,10
115,11.9,6.2084172253839744,10
116,12.0,6.164414002968976,10
117,12.1,6.314885412877876,10
118,12.2,6.250333324444918,10
119,12.4,6.4152595859836845,10
120,12.2,6.47731082746193,10
121,12.3,6.481597882552658,10
122,12.4,6.380525927469546,10
123,12.7,6.412661087428699,10
124,12.9,6.5903970543005475,10
125,12.8,6.356099432828281,10
