t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.2,0.42163702135578396,10
5,0.3,0.48304589153964794,10
6,0.4,0.5163977794943223,10
7,0.9,0.7378647873726218,10
8,1.2,0.7888106377466155,10
9,1.6,0.9660917830792959,10
10,1.7,1.0593499054713804,10
11,1.9,1.286683937707919,10
12,1.9,1.1005049346146119,10
13,2.1,0.8755950357709131,10
14,2.2,1.3165611772087666,10
15,2.3,1.3374935098492586,10
16,2.6,1.505545305418162,10
17,2.5,1.509230856356236,10
18,2.6,1.6465452046971292,10
19,3.0,1.7638342073763937,10
20,3.1,1.7919573407620815,10
21,3.2,1.7511900715418263,10
22,3.4,1.776388345929897,10
23,3.5,1.8408935028645435,10
24,3.6,2.2211108331943574,10
25,3.5,2.173067468400883,10
26,3.5,2.273030282830976,10
27,3.8,2.3475755815545347,10
28,4.0,2.5385910352879693,10
29,4.3,2.4517567397911058,10
30,4.3,2.4517567397911058,10
31,4.3,2.406010991015812,10
32,4.6,2.3664319132398464,10
33,4.6,2.3664319132398464,10
34,4.5,2.41522945769824,10
35,4.7,2.4517567397911053,10
36,4.7,2.7507574714370344,10
37,4.8,2.898275349237888,10
38,5.0,2.943920288775949,10
39,4.9,2.726414006223804,10
40,4.9,2.8460498941515415,10
41,5.0,3.0912061651652345,10
42,5.1,2.960855732160327,10
43,5.1,2.806737924669451,10
44,5.3,2.6687491868330793,10
45,5.2,2.7406406388125957,10
46,5.3,2.8303906287138374,10
47,5.6,3.1340424729448424,10
48,5.8,3.259175083088085,10
49,5.7,3.0568684048294332,10
50,5.6,3.0258148581093915,10
51,5.9,3.3482997343593826,10
52,6.0,3.265986323710904,10
53,6.2,3.359894178227774,10
54,6.4,3.627058802329452,10
55,6.5,3.865804501581067,10
56,6.4,3.9496835316262997,10
57,6.7,4.24394994210713,10
58,6.8,4.263540521418529,10
59,6.9,4.332051092342595,10
60,7.0,4.189935029992179,10
61,7.3,4.398231968012197,10
62,7.3,4.347413023856831,10
63,7.5,4.27525177946022,10
64,7.7,4.24394994210713,10
65,7.8,4.315347288715269,10
66,7.7,4.4234225060089685,10
67,7.7,4.347413023856832,10
68,7.9,4.408325456829762,10
69,7.9,4.701063709417263,10
70,8.0,4.642796092394707,10
71,8.1,4.62961481479111,10
72,8.3,4.571651780264983,10
73,8.5,4.881939505292269,10
74,8.4,5.015531433014407,10
75,8.5,5.082650227325635,10
76,8.4,5.211099265563414,10
77,8.5,5.1908038341324785,10
78,8.3,5.2925524193068805,10
79,8.4,5.358275012642699,10
80,8.7,5.657836257007719,10
81,8.7,5.8509258526606995,10
82,8.6,5.929212051829109,10
83,8.6,6.1137368096588665,10
84,8.8,6.160808027812226,10
85,8.9,6.172519744804386,10
86,9.2,6.0332412515993425,10
87,9.3,6.019413038937712,10
88,9.3,6.019413038937712,10
89,9.6,6.0955357070199785,10
90,9.9,5.97122730730924,10
91,9.9,6.063552314169201,10
92,9.9,6.04520011616195,10
93,10.1,5.896326540030382,10
94,10.1,6.0635523141692005,10
95,10.2,6.0332412515993425,10
96,10.5,6.293735862833069,10
97,10.4,6.4670103001481465,10
98,10.5,6.93221144769514,10
99,10.5,6.93221144769514,10
100,10.5,7.153087911291645,10
101,10.5,7.199537022151725,10
102,10.5,7.199537022151725,10
103,10.5,7.321960878829599,10
104,10.6,7.260241808033057,10
105,10.7,7.334090869963973,10
106,11.0,7.423685817106696,10
107,11.4,7.32120208708925,10
108,11.3,7.439384681843281,10
109,11.4,7.351492667781452,10
110,11.3,7.557924465236619,10
111,11.3,7.454305243727726,10
112,11.5,7.352248333370926,10
113,11.7,7.394442357458592,10
114,11.7,7.394442357458592,10
115,11.6,7.136759301905405,10
116,11.6,7.136759301905405,10
117,11.5,7.276293317647691,10
118,11.6,7.183313998427188,10
119,12.1,7.294594650226365,10
120,11.9,7.294594650226366,10
121,12.2,7.192588778272628,10
122,12.5,7.168604389202189,10
123,12.4,7.321202087089251,10
124,12.7,7.513691207093592,10
125,12.7,7.334090869963972,10
