t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.2,0.42163702135578396,10
5,0.2,0.42163702135578396,10
6,0.5,0.5270462766947299,10
7,0.8,0.6324555320336759,10
8,1.2,1.0327955589886444,10
9,1.8,1.2292725943057183,10
10,2.0,1.5634719199411433,10
11,2.3,1.8287822299126937,10
12,2.4,1.5055453054181622,10
13,2.6,1.3498971154211057,10
14,2.7,1.636391694484477,10
15,2.7,1.7029386365926402,10
16,3.1,1.9119507199599983,10
17,3.2,2.0976176963403033,10
18,3.3,2.263232692902394,10
19,3.4,2.3664319132398464,10
20,3.4,2.5473297566057065,10
21,3.5,2.3213980461973533,10
22,3.6,2.4585451886114362,10
23,4.0,2.581988897471611,10
24,4.1,2.923088169119167,10
25,4.1,2.998147576235848,10
26,4.1,3.0713731999438516,10
27,4.2,3.4896672875473067,10
28,4.0,3.6514837167011076,10
29,4.3,3.7727090178455764,10
30,4.3,3.7727090178455764,10
31,4.4,3.687817782917155,10
32,4.7,3.7133393177689658,10
33,4.8,3.7058512292499457,10
34,5.1,3.9567101935263786,10
35,5.5,4.196559437338057,10
36,5.7,4.2176876234364356,10
37,5.7,4.137900702315393,10
38,5.8,4.3410188256265885,10
39,5.8,4.3410188256265885,10
40,6.1,4.38304815295373,10
41,6.2,4.417138339593985,10
42,6.6,4.29987079909256,10
43,6.5,4.169998667732268,10
44,6.9,4.094712037087183,10
45,6.8,4.022160834399562,10
46,6.9,3.956710193526379,10
47,7.3,4.110960958218893,10
48,7.4,4.29987079909256,10
49,7.5,4.169998667732268,10
50,7.4,4.033195589934446,10
51,7.5,4.196559437338057,10
52,7.6,4.501851470969102,10
53,7.7,4.547282460742656,10
54,7.8,4.61398839279954,10
55,8.0,4.570436400267363,10
56,8.0,4.47213595499958,10
57,8.1,4.383048152953731,10
58,8.2,4.516635916254486,10
59,8.2,4.516635916254486,10
60,8.5,4.766783215358364,10
61,8.7,4.691600058733812,10
62,8.7,4.571651780264984,10
63,8.8,4.589843860815602,10
64,9.0,4.737556801183965,10
65,9.3,4.945255863507525,10
66,9.6,4.835057163858332,10
67,9.7,4.691600058733813,10
68,9.9,4.581363212940979,10
69,9.9,4.508017549014447,10
70,9.9,4.508017549014447,10
71,10.2,4.263540521418528,10
72,10.5,4.196559437338057,10
73,10.8,4.184627953726724,10
74,10.6,4.195235392680606,10
75,10.7,4.137900702315393,10
76,10.6,4.29987079909256,10
77,10.8,4.366539438350084,10
78,10.7,4.3982319680121975,10
79,10.9,4.43345864484553,10
80,10.9,4.43345864484553,10
81,11.1,4.175324338699131,10
82,11.2,4.022160834399562,10
83,11.4,3.8643671323171835,10
84,11.8,3.8815804341359033,10
85,11.8,3.8815804341359033,10
86,11.8,3.8815804341359033,10
87,11.9,3.725288952252936,10
88,12.0,3.8297084310253524,10
89,12.2,3.966526608171604,10
90,12.2,3.9384147967311813,10
91,12.1,3.6953424138441564,10
92,12.3,3.8311588035185618,10
93,12.4,3.7475918193480524,10
94,12.5,3.5039660069381067,10
95,12.6,3.4058772731852804,10
96,12.8,3.4896672875473067,10
97,12.6,3.687817782917155,10
98,12.5,3.6590830666833583,10
99,12.9,3.573047252229764,10
100,13.3,3.7431418769679454,10
101,13.4,3.806427312965386,10
102,13.5,3.8944404818493075,10
103,13.6,4.005551702879947,10
104,13.6,4.033195589934446,10
105,14.0,3.7416573867739413,10
106,14.1,3.9285281382896233,10
107,14.3,4.4234225060089685,10
108,14.1,4.3576242252962665,10
109,14.2,4.3410188256265885,10
110,14.3,4.347413023856832,10
111,14.4,4.3256341860022225,10
112,14.8,4.2895221179054435,10
113,15.0,4.242640687119285,10
114,15.3,4.2176876234364356,10
115,15.6,3.9214509786273974,10
116,15.7,3.945461527713414,10
117,15.9,4.1486276177925525,10
118,16.2,4.315347288715269,10
119,16.5,4.552166761249221,10
120,16.4,4.742245131674331,10
121,16.6,5.081557066709201,10
122,16.7,5.1001089312985375,10
123,16.8,5.329165037789691,10
124,16.8,5.553777493242275,10
125,16.8,5.391351098441528,10
126,16.8,5.411920998027308,10
127,16.8,5.513619500836089,10
128,16.8,5.692099788303083,10
129,16.7,5.6184220797895446,10
130,16.9,5.896326540030383,10
131,17.1,6.118278625016463,10
132,17.0,5.962847939999439,10
133,17.2,5.6134758493389025,10
134,17.3,5.3343748982946035,10
135,17.7,5.1650535116083525,10
136,17.7,4.90011337737313,10
137,17.8,4.516635916254486,10
138,17.9,4.383048152953731,10
139,18.1,4.794672969962487,10
140,18.2,5.116422361159972,10
141,18.3,5.143496432929215,10
142,18.4,5.295700562196133,10
143,18.6,5.420127099780759,10
144,18.7,5.518655230720213,10
145,18.7,5.518655230720213,10
146,19.0,5.637178175095921,10
147,19.1,5.384133067531754,10
148,19.3,5.478239782184704,10
149,19.5,5.254627590144816,10
150,19.6,5.3374983736661585,10
151,19.9,5.466056876558986,10
152,20.0,5.517648452415616,10
153,20.3,5.6381636096240495,10
154,20.3,5.888784066153027,10
155,20.6,5.834761729877617,10
