t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.0,0.0,10
6,0.1,0.31622776601683794,10
7,0.4,0.6992058987801011,10
8,0.6,0.6992058987801011,10
9,0.8,1.0327955589886446,10
10,0.9,1.1005049346146119,10
11,1.1,1.3703203194062978,10
12,1.0,1.0540925533894598,10
13,1.2,1.2292725943057183,10
14,1.2,1.4757295747452437,10
15,1.2,1.4757295747452437,10
16,1.4,1.7126976771553508,10
17,1.3,1.5670212364724212,10
18,1.3,1.4944341180973262,10
19,1.4,1.6465452046971294,10
20,1.3,1.4181364924121764,10
21,1.4,1.3498971154211057,10
22,1.3,1.2516655570345725,10
23,1.3,1.2516655570345725,10
24,1.4,1.3498971154211057,10
25,1.1,1.449137674618944,10
26,1.0,1.4907119849998598,10
27,1.1,1.449137674618944,10
28,1.0,1.4142135623730951,10
29,0.9,1.286683937707919,10
30,1.0,1.247219128924647,10
31,1.0,1.247219128924647,10
32,1.0,1.247219128924647,10
33,0.9,1.1972189997378648,10
34,1.1,1.449137674618944,10
35,1.0,1.4142135623730951,10
36,1.0,1.4142135623730951,10
37,1.0,1.699673171197595,10
38,1.0,1.7638342073763937,10
39,1.1,2.024845673131659,10
40,1.1,1.9119507199599983,10
41,1.1,1.9119507199599983,10
42,1.4,1.9550504398153572,10
43,1.4,1.8973665961010275,10
44,1.4,1.8973665961010275,10
45,1.2,1.8737959096740262,10
46,1.3,1.9465068427541912,10
47,1.3,1.9465068427541912,10
48,1.4,2.2705848487901865,10
49,1.6,2.270584848790187,10
50,1.5,2.223610677354389,10
51,1.5,2.223610677354389,10
52,1.7,2.2135943621178655,10
53,1.7,2.263232692902394,10
54,1.6,2.270584848790187,10
55,1.5,2.273030282830976,10
56,1.4,2.3190036174568114,10
57,1.4,2.2705848487901865,10
58,1.4,2.2705848487901865,10
59,1.6,2.1705094128132942,10
60,1.6,2.1705094128132942,10
61,1.7,2.5407785333546005,10
62,1.7,2.5407785333546005,10
63,1.8,2.250925735484551,10
64,1.7,2.359378449224852,10
65,2.0,2.260776661041756,10
66,2.1,2.1832697191750423,10
67,2.2,2.0976176963403033,10
68,2.3,2.263232692902394,10
69,2.3,2.263232692902394,10
70,2.3,2.263232692902394,10
71,2.4,2.065591117977289,10
72,2.2,2.2010098692292237,10
73,2.3,2.2135943621178655,10
74,2.3,2.2135943621178655,10
75,2.5,2.223610677354389,10
76,2.3,2.3118054512532935,10
77,2.3,2.3118054512532935,10
78,2.4,2.412928142780514,10
79,2.3,2.496664441476534,10
80,2.6,2.503331114069145,10
81,2.7,2.5407785333546005,10
82,2.5,2.3687784005919825,10
83,2.5,2.3687784005919825,10
84,2.6,2.590581230363393,10
85,2.6,2.590581230363393,10
86,2.7,2.540778533354601,10
87,2.9,2.601281735350223,10
88,2.9,2.4244128727957577,10
89,2.8,2.4855135843076335,10
90,3.0,2.6246692913372702,10
91,3.1,2.685351208149711,10
92,3.0,2.788866755113585,10
93,2.9,2.884826203122507,10
94,2.9,2.884826203122507,10
95,2.8,2.973961069759395,10
96,2.8,2.973961069759395,10
97,2.7,2.9078437983419185,10
98,2.7,3.16403399335581,10
99,2.6,3.2386554137309655,10
100,2.5,3.13581462037113,10
101,2.5,3.3416562759605704,10
102,2.5,3.3416562759605704,10
103,2.5,3.3416562759605704,10
104,2.5,3.3416562759605704,10
105,2.9,3.414023367751831,10
106,3.0,3.366501646120693,10
107,3.0,3.366501646120693,10
108,3.1,3.4785054261852175,10
109,3.2,3.3928028399998595,10
110,3.2,3.1902629637347735,10
111,3.4,3.204163957519444,10
112,3.4,3.204163957519444,10
113,3.5,3.100179206289712,10
114,3.4,2.9514591494904874,10
115,3.6,2.988868236194653,10
116,3.7,3.1287200080686173,10
117,3.8,3.0477678535099897,10
118,4.0,2.9059326290271157,10
119,4.2,2.820559440174157,10
120,4.2,2.859681411936962,10
121,4.1,2.960855732160327,10
122,4.1,2.726414006223804,10
123,4.1,2.6436506745197805,10
124,4.0,2.494438257849294,10
125,4.0,2.6246692913372702,10
126,4.0,2.6246692913372702,10
127,3.7,2.584139659108574,10
128,3.6,2.503331114069145,10
129,3.4,2.6331223544175333,10
130,3.3,2.7100635498903793,10
131,3.5,2.8771127502720115,10
132,3.6,2.9135697844549546,10
133,3.5,2.718251071716682,10
134,3.3,2.5407785333546005,10
135,3.4,2.6749870196985173,10
136,3.3,2.7100635498903793,10
137,3.3,2.9832867780352594,10
138,3.1,3.0349812373573437,10
139,3.0,3.0550504633038935,10
140,3.2,3.155242550986462,10
141,3.2,3.0477678535099892,10
142,3.0,2.788866755113585,10
143,2.8,2.7406406388125957,10
144,2.9,2.766867462592951,10
145,2.9,2.766867462592951,10
146,3.0,2.8284271247461903,10
147,3.1,2.558211180579986,10
148,3.4,2.756809750418044,10
149,3.5,2.8771127502720115,10
150,3.5,2.8771127502720115,10
151,3.6,3.0983866769659336,10
152,3.6,3.1340424729448424,10
153,3.6,3.1340424729448424,10
154,3.8,3.457680661303984,10
