t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.1,0.31622776601683794,10
6,0.2,0.42163702135578396,10
7,0.5,0.7071067811865476,10
8,0.8,0.7888106377466155,10
9,1.0,1.0540925533894598,10
10,1.1,1.286683937707919,10
11,1.2,1.3984117975602022,10
12,1.0,1.0540925533894598,10
13,1.1,0.875595035770913,10
14,1.3,1.1595018087284057,10
15,1.5,1.35400640077266,10
16,1.8,1.6193277068654826,10
17,1.7,1.7029386365926402,10
18,2.0,1.632993161855452,10
19,2.3,1.888562063228706,10
20,2.4,1.7126976771553504,10
21,2.6,1.8973665961010275,10
22,2.7,1.8885620632287057,10
23,2.9,1.9692073983655907,10
24,2.9,2.1832697191750423,10
25,2.5,2.273030282830976,10
26,2.4,2.2705848487901865,10
27,2.4,2.011080417199781,10
28,2.1,2.0789954839350235,10
29,2.1,1.9692073983655907,10
30,2.1,1.9692073983655907,10
31,2.1,1.9692073983655907,10
32,2.2,2.043961295567452,10
33,2.1,1.9692073983655907,10
34,2.4,1.8973665961010278,10
35,2.3,2.1108186931983415,10
36,2.4,2.3664319132398464,10
37,2.4,2.2211108331943574,10
38,2.2,2.616188916046478,10
39,2.1,2.558211180579986,10
40,2.1,2.282785822435191,10
41,2.2,2.2010098692292237,10
42,2.4,2.1705094128132942,10
43,2.4,1.9550504398153572,10
44,2.4,1.9550504398153572,10
45,2.0,1.9436506316151,10
46,2.2,2.14993539954628,10
47,2.1,2.1317702607092643,10
48,2.2,2.2010098692292237,10
49,2.2,2.2010098692292237,10
50,2.2,2.097617696340303,10
51,2.2,2.1499353995462798,10
52,2.2,2.2997584414213783,10
53,2.3,2.5407785333546005,10
54,2.4,2.756809750418044,10
55,2.5,2.9907264074877267,10
56,2.3,2.9458068127047605,10
57,2.2,2.699794230842212,10
58,2.3,2.6687491868330793,10
59,2.5,2.6770630673681683,10
60,2.8,2.820559440174157,10
61,2.7,2.7100635498903793,10
62,2.7,2.9832867780352594,10
63,2.9,2.9981475762358474,10
64,2.9,2.9981475762358474,10
65,3.2,2.820559440174157,10
66,3.5,2.8382310609877335,10
67,3.8,2.898275349237888,10
68,3.7,2.8693785622209798,10
69,3.9,2.960855732160327,10
70,3.8,3.0110906108363245,10
71,4.0,2.70801280154532,10
72,4.0,2.9814239699997196,10
73,4.0,2.9814239699997196,10
74,4.1,3.071373199943851,10
75,4.2,3.0840089349921005,10
76,3.9,3.1073389830457114,10
77,3.9,3.142893217686178,10
78,3.9,3.142893217686178,10
79,3.8,3.155242550986462,10
80,4.0,3.0550504633038935,10
81,4.3,3.1287200080686173,10
82,4.2,3.190262963734773,10
83,4.1,3.2812599206199238,10
84,4.1,3.3813212407775355,10
85,4.2,3.259175083088085,10
86,4.4,3.1692971530679235,10
87,4.7,3.3681514877517675,10
88,4.8,3.489667287547307,10
89,4.8,3.823901439919996,10
90,4.8,3.823901439919996,10
91,5.1,3.8137179293236207,10
92,5.2,3.966526608171604,10
93,5.3,3.831158803518562,10
94,5.6,3.9496835316263,10
95,5.7,3.9454615277134146,10
96,5.8,4.077035960378842,10
97,5.9,3.725288952252936,10
98,5.9,3.9001424475410014,10
99,6.1,3.842742076521226,10
100,6.0,3.711842908553348,10
101,6.1,3.842742076521226,10
102,6.4,3.7178249316263163,10
103,6.8,3.7653389990514503,10
104,6.6,3.565264521898917,10
105,6.8,3.084008934992101,10
106,6.9,3.0349812373573437,10
107,7.4,3.2041639575194445,10
108,7.1,3.2812599206199238,10
109,7.4,3.565264521898917,10
110,7.3,3.529242915351047,10
111,7.5,3.689323936863109,10
112,7.5,3.865804501581067,10
113,7.7,3.743141876967945,10
114,7.6,3.687817782917155,10
115,7.7,3.8887301554906357,10
116,7.8,4.049691346263318,10
117,7.8,3.9384147967311813,10
118,7.9,4.012480529547776,10
119,7.8,4.417138339593985,10
120,7.9,4.677368680976279,10
121,7.9,4.557045826702499,10
122,7.8,4.613988392799541,10
123,7.9,4.794672969962487,10
124,7.9,4.771442828607157,10
125,7.9,5.087020520675908,10
126,8.0,4.96655480858378,10
127,7.6,4.695151163109069,10
128,7.5,4.8362060428489695,10
129,7.6,5.18973345494095,10
130,7.7,4.9899899799498595,10
131,7.9,4.976611966656298,10
132,8.0,5.011098792790969,10
133,8.0,4.714045207910317,10
134,7.9,4.383048152953731,10
135,7.7,4.295992965026311,10
136,7.6,4.115013163202924,10
137,7.6,4.087922591134904,10
138,7.5,3.5978388574871505,10
139,7.4,3.6270588023294517,10
140,7.7,3.683295625749672,10
141,7.9,3.634709219609061,10
142,7.9,3.0713731999438516,10
143,7.9,2.8848262031225076,10
144,8.0,3.0912061651652345,10
145,7.9,3.142893217686178,10
146,8.2,3.4896672875473067,10
147,8.3,3.1287200080686173,10
148,8.4,3.1692971530679235,10
149,8.3,3.1989581637360205,10
150,8.4,3.1692971530679235,10
151,8.6,2.988868236194653,10
152,8.7,3.2676869155073254,10
153,8.8,3.259175083088085,10
154,9.0,3.1622776601683795,10
