t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.1,0.31622776601683794,10
6,0.2,0.6324555320336759,10
7,0.3,0.9486832980505139,10
8,0.5,0.97182531580755,10
9,0.7,0.9486832980505138,10
10,1.0,1.3333333333333333,10
11,1.0,1.3333333333333333,10
12,0.9,1.1005049346146119,10
13,1.2,0.9189365834726815,10
14,1.1,0.9944289260117533,10
15,1.1,1.286683937707919,10
16,1.2,1.5491933384829668,10
17,1.1,1.5238839267549948,10
18,1.1,1.5238839267549948,10
19,1.2,1.6193277068654826,10
20,1.1,1.3703203194062978,10
21,1.2,1.3165611772087666,10
22,1.3,1.3374935098492586,10
23,1.3,1.3374935098492586,10
24,1.5,1.5811388300841898,10
25,1.7,1.567021236472421,10
26,1.5,1.5811388300841898,10
27,1.5,1.5811388300841898,10
28,1.7,1.70293863659264,10
29,1.7,1.70293863659264,10
30,1.6,1.6465452046971292,10
31,1.4,1.7763883459298973,10
32,1.8,2.14993539954628,10
33,1.8,2.14993539954628,10
34,1.9,2.4244128727957572,10
35,2.0,2.581988897471611,10
36,2.1,2.806737924669451,10
37,2.0,2.748737083745107,10
38,2.1,2.64365067451978,10
39,2.1,2.5144029554194813,10
40,2.1,2.685351208149711,10
41,2.3,2.79085809185793,10
42,2.4,2.7162065049951147,10
43,2.3,2.496664441476534,10
44,2.2,2.440400695696417,10
45,2.6,2.590581230363393,10
46,2.6,2.590581230363393,10
47,2.7,2.79085809185793,10
48,2.8,2.859681411936962,10
49,2.9,2.960855732160327,10
50,2.8,2.936362072739365,10
51,3.0,3.1269438398822866,10
52,3.0,3.1269438398822866,10
53,3.1,3.1780497164141406,10
54,3.0,3.2998316455372216,10
55,3.1,3.478505426185217,10
56,3.0,3.39934634239519,10
57,3.3,3.3349995835415367,10
58,3.3,3.3349995835415367,10
59,3.2,3.359894178227774,10
60,3.3,3.2676869155073254,10
61,3.4,3.1692971530679235,10
62,3.4,3.0623157540948935,10
63,3.6,3.1692971530679235,10
64,3.7,3.0930028559098792,10
65,3.8,3.0477678535099892,10
66,3.8,3.0477678535099892,10
67,3.8,2.859681411936962,10
68,3.9,3.071373199943851,10
69,3.9,2.884826203122507,10
70,3.9,2.884826203122507,10
71,3.9,2.884826203122507,10
72,3.9,3.0349812373573433,10
73,4.0,3.265986323710904,10
74,3.8,3.392802839999859,10
75,3.8,3.392802839999859,10
76,3.7,3.497618237219913,10
77,3.9,3.5418137224371984,10
78,3.7,3.683295625749672,10
79,3.7,3.683295625749672,10
80,3.7,3.683295625749672,10
81,3.6,3.4705106892854323,10
82,3.5,3.5355339059327378,10
83,3.5,3.5668224265054493,10
84,3.6,3.4705106892854327,10
85,3.8,3.3598941782277745,10
86,3.8,3.3598941782277745,10
87,3.6,3.3399933466334266,10
88,3.6,3.3399933466334266,10
89,3.8,3.3598941782277745,10
90,4.0,3.197221015541813,10
91,4.1,3.2472210341220142,10
92,4.0,3.3333333333333335,10
93,4.2,3.259175083088085,10
94,4.2,3.3928028399998595,10
95,4.2,3.3928028399998595,10
96,4.4,3.3730961708462717,10
97,4.3,3.465704994818675,10
98,4.4,3.3730961708462712,10
99,4.6,3.238655413730965,10
100,4.5,3.3082388735465345,10
101,4.4,3.272783388968954,10
102,4.4,3.272783388968954,10
103,4.3,3.198958163736021,10
104,4.2,3.1198290551460244,10
105,4.3,3.3349995835415367,10
106,4.3,3.198958163736021,10
107,4.2,3.2930904093942583,10
108,3.9,3.107338983045711,10
109,3.9,3.381321240777535,10
110,3.8,3.489667287547307,10
111,3.7,3.465704994818675,10
112,3.8,3.359894178227774,10
113,3.9,3.5418137224371984,10
114,4.0,3.7712361663282534,10
115,3.8,3.823901439919996,10
116,4.0,3.7416573867739413,10
117,3.9,3.7252889522529355,10
118,3.8,3.6453928305312844,10
119,3.8,3.6453928305312844,10
120,3.7,3.400980250849256,10
121,3.7,3.093002855909879,10
122,3.7,3.093002855909879,10
123,3.8,3.32665998663324,10
124,3.9,3.2472210341220142,10
125,3.7,3.1287200080686173,10
126,3.8,3.011090610836324,10
127,3.8,3.011090610836324,10
128,3.7,3.1287200080686173,10
129,3.5,3.100179206289712,10
130,3.5,3.100179206289712,10
131,3.4,3.0258148581093915,10
132,3.5,2.9907264074877267,10
133,3.5,2.8771127502720115,10
134,3.3,2.8303906287138374,10
135,3.4,2.875181153713043,10
136,3.4,2.875181153713043,10
137,3.5,2.8771127502720115,10
138,3.6,2.913569784454954,10
139,3.6,2.913569784454954,10
140,3.6,2.590581230363393,10
141,3.7,2.7908580918579307,10
142,3.7,2.7908580918579307,10
143,3.7,2.7908580918579307,10
144,3.7,2.7908580918579307,10
145,3.7,2.7908580918579307,10
146,3.9,2.923088169119167,10
147,4.0,2.8674417556808756,10
148,4.0,2.9814239699997196,10
149,4.0,2.9814239699997196,10
150,4.0,2.9814239699997196,10
151,4.1,2.884826203122507,10
152,4.1,2.884826203122507,10
153,4.1,2.884826203122507,10
154,4.2,2.8596814119369625,10
