t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.0,0.0,10
5,0.0,0.0,10
6,0.2,0.42163702135578396,10
7,0.2,0.42163702135578396,10
8,0.4,0.5163977794943223,10
9,0.6,0.6992058987801011,10
10,0.8,0.9189365834726815,10
11,1.0,1.0540925533894598,10
12,1.1,0.9944289260117533,10
13,1.5,1.0801234497346435,10
14,1.6,1.07496769977314,10
15,1.7,1.2516655570345725,10
16,1.9,1.3703203194062978,10
17,2.0,1.4907119849998598,10
18,2.0,1.4907119849998598,10
19,2.1,1.66332999331662,10
20,2.1,1.66332999331662,10
21,2.2,1.7511900715418263,10
22,2.3,1.7669811040931427,10
23,2.3,1.8885620632287057,10
24,2.2,1.8135294011647258,10
25,1.8,1.4757295747452437,10
26,1.8,1.4757295747452437,10
27,1.8,1.6193277068654826,10
28,2.0,1.632993161855452,10
29,2.0,1.632993161855452,10
30,1.8,1.5491933384829668,10
31,1.9,1.4491376746189437,10
32,2.0,1.632993161855452,10
33,2.1,1.5951314818673865,10
34,2.2,1.7511900715418263,10
35,2.3,1.9465068427541912,10
36,2.3,1.9465068427541912,10
37,2.2,2.043961295567452,10
38,2.2,2.043961295567452,10
39,2.2,2.043961295567452,10
40,2.3,1.9465068427541912,10
41,2.3,1.9465068427541912,10
42,2.5,2.0138409955990952,10
43,2.5,2.0138409955990952,10
44,2.5,2.0138409955990952,10
45,2.5,2.0138409955990952,10
46,2.5,2.0138409955990952,10
47,2.6,2.0110804171997807,10
48,2.5,2.0138409955990952,10
49,2.4,2.065591117977289,10
50,2.4,2.3190036174568114,10
51,2.3,2.406010991015812,10
52,2.4,2.4585451886114362,10
53,2.7,2.359378449224852,10
54,2.8,2.3475755815545347,10
55,2.8,2.3475755815545347,10
56,2.8,2.3475755815545347,10
57,3.0,2.260776661041756,10
58,2.9,2.2335820757001272,10
59,2.8,2.2997584414213788,10
60,2.9,2.378141197564929,10
61,2.9,2.378141197564929,10
62,2.9,2.378141197564929,10
63,2.9,2.378141197564929,10
64,2.9,2.378141197564929,10
65,2.9,2.378141197564929,10
66,3.0,2.5385910352879693,10
67,3.0,2.5385910352879693,10
68,3.0,2.5385910352879693,10
69,3.0,2.5385910352879693,10
70,3.0,2.5385910352879693,10
71,3.1,2.4698178070456938,10
72,3.1,2.4698178070456938,10
73,3.1,2.4698178070456938,10
74,3.2,2.573367875415838,10
75,3.2,2.573367875415838,10
76,3.2,2.573367875415838,10
77,3.5,2.6770630673681683,10
78,3.5,2.6770630673681683,10
79,3.5,2.6770630673681683,10
80,3.5,2.6770630673681683,10
81,3.4,2.6749870196985173,10
82,3.4,2.756809750418044,10
83,3.5,2.758824226207808,10
84,3.5,2.758824226207808,10
85,3.5,2.758824226207808,10
86,3.6,2.7568097504180447,10
87,3.6,2.7568097504180447,10
88,3.6,2.7568097504180447,10
89,3.6,2.4585451886114367,10
90,3.7,2.359378449224852,10
91,3.7,2.359378449224852,10
92,3.7,2.359378449224852,10
93,3.7,2.359378449224852,10
94,3.7,2.359378449224852,10
95,3.7,2.359378449224852,10
96,3.8,2.5298221281347035,10
97,3.7,2.6267851073127395,10
98,3.7,2.6267851073127395,10
99,3.7,2.6267851073127395,10
100,3.6,2.4585451886114367,10
101,3.7,2.6267851073127395,10
102,3.6,2.7568097504180447,10
103,3.7,2.79085809185793,10
104,3.7,2.79085809185793,10
105,3.7,2.79085809185793,10
106,3.7,2.79085809185793,10
107,4.0,3.1269438398822866,10
108,4.1,3.2472210341220142,10
109,4.1,3.2472210341220142,10
110,4.1,3.2472210341220142,10
111,4.1,3.2472210341220142,10
112,4.2,3.259175083088085,10
113,4.2,3.489667287547307,10
114,4.1,3.348299734359383,10
115,4.2,3.2930904093942583,10
116,4.2,3.2930904093942583,10
117,4.2,3.2930904093942583,10
118,4.1,3.4140233677518315,10
119,4.2,3.552776691859794,10
120,4.2,3.552776691859794,10
121,4.3,3.4334951418181574,10
122,4.3,3.4334951418181574,10
123,4.2,3.4253953543107007,10
