t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.2,0.42163702135578396,10
5,0.2,0.42163702135578396,10
6,0.5,0.7071067811865476,10
7,0.8,0.9189365834726815,10
8,0.8,0.7888106377466155,10
9,1.2,1.0327955589886444,10
10,1.4,0.8432740427115679,10
11,1.6,0.6992058987801011,10
12,1.9,0.9944289260117533,10
13,2.2,1.398411797560202,10
14,2.4,1.4298407059684812,10
15,2.5,1.509230856356236,10
16,2.9,1.5238839267549948,10
17,2.9,1.3703203194062978,10
18,3.1,1.66332999331662,10
19,3.3,1.7029386365926402,10
20,3.2,1.9321835661585918,10
21,3.5,1.90029237516523,10
22,3.5,1.7795130420052185,10
23,3.5,1.5811388300841898,10
24,3.6,1.7763883459298973,10
25,3.8,2.1499353995462798,10
26,4.0,2.309401076758503,10
27,4.0,2.6246692913372702,10
28,3.7,2.4517567397911058,10
29,3.7,2.406010991015812,10
30,4.0,2.6666666666666665,10
31,4.0,3.1269438398822866,10
32,4.2,3.2591750830880843,10
33,4.3,3.1287200080686173,10
34,4.4,3.0983866769659336,10
35,4.3,3.1640339933558095,10
36,4.5,3.5039660069381067,10
37,4.4,3.3730961708462712,10
38,4.8,3.3928028399998595,10
39,4.8,3.794733192202055,10
40,5.2,3.73571352696584,10
41,5.1,3.7549966711037177,10
42,5.7,3.713339317768966,10
43,5.7,3.713339317768966,10
44,5.9,3.8137179293236203,10
45,6.3,3.802046232695699,10
46,6.4,3.687817782917155,10
47,6.3,3.7133393177689658,10
48,6.5,3.3082388735465345,10
49,6.5,3.5039660069381067,10
50,6.4,3.5339622081862854,10
51,6.7,3.8311588035185618,10
52,6.7,3.802046232695699,10
53,6.3,3.831158803518562,10
54,6.4,3.7475918193480524,10
55,6.4,3.8930136855083823,10
56,6.3,4.001388647846033,10
57,6.4,3.8643671323171835,10
58,6.5,3.8078865529319543,10
59,6.9,3.9567101935263786,10
60,7.3,4.2176876234364356,10
61,7.4,4.376706016578627,10
62,7.4,4.575295983139597,10
63,7.6,4.695151163109069,10
64,7.3,5.1001089312985375,10
65,7.4,5.295700562196133,10
66,7.6,5.295700562196133,10
67,7.8,5.370702416299421,10
68,8.2,5.4528280124476085,10
69,8.3,5.793674711844519,10
70,8.6,5.758086101783783,10
71,8.6,5.601587076693335,10
72,8.7,5.850925852660699,10
73,8.7,5.538752366533259,10
74,8.9,5.546770832355224,10
75,9.0,5.656854249492381,10
76,9.2,5.573747990954262,10
77,9.6,5.358275012642699,10
78,9.6,5.211099265563414,10
79,10.0,5.228129047119374,10
80,10.2,5.0508525133002165,10
81,10.3,4.78539444560216,10
82,10.1,4.629614814791111,10
83,10.1,4.724639903973871,10
84,10.2,4.613988392799541,10
85,10.4,4.742245131674331,10
86,10.5,5.060742150229659,10
87,10.8,5.181162460726786,10
88,10.8,5.266244708835067,10
89,11.0,5.456901847914967,10
90,11.1,5.486346689738081,10
91,11.2,5.493430419854044,10
92,11.5,5.54276304943863,10
93,11.7,5.578729445153459,10
94,11.6,5.92921205182911,10
95,11.7,6.18331087147762,10
96,11.7,6.447221623821123,10
97,11.7,6.03784361801095,10
98,11.4,5.738757124441959,10
99,11.1,5.566766466171263,10
100,11.4,5.985166849990251,10
101,11.6,6.077280093375105,10
102,11.9,6.136412270663987,10
103,11.9,6.261877602693231,10
104,11.8,6.663332499583073,10
105,11.8,6.596295256514153,10
106,11.9,6.854844191437825,10
107,11.9,6.871034209717712,10
108,11.8,6.811754546370561,10
109,12.2,6.729701991090608,10
110,12.2,7.03641322771134,10
111,12.1,6.8386158443552505,10
112,12.5,6.7371276438025784,10
113,12.5,6.93221144769514,10
114,12.6,6.88315173287483,10
115,12.8,6.988880056521535,10
116,12.7,7.196449741983119,10
117,12.7,6.992853494818835,10
118,12.9,7.125073099040224,10
119,12.9,7.978443178688155,10
120,13.0,7.84573486395988,10
121,13.0,7.859884081701064,10
122,13.4,8.0718991294215,10
123,13.5,7.9337534902746025,10
124,13.8,8.093893445747302,10
125,13.6,8.487899884214258,10
126,13.7,8.641630504585217,10
127,13.4,8.46167832052247,10
128,13.6,8.527081042837056,10
129,13.7,8.446564061465729,10
130,13.5,8.657045942147034,10
131,13.8,8.841819822738856,10
132,13.8,9.150591966279194,10
133,13.7,9.006787563955431,10
134,13.9,9.550450832872295,10
135,13.8,9.772978620211502,10
136,13.7,10.274564062122863,10
137,13.8,10.368756488176926,10
138,14.0,10.066445913694333,10
139,14.1,9.97162641364654,10
140,14.5,9.755340417774597,10
141,14.7,9.93366889813516,10
142,14.5,10.265909062956329,10
143,14.3,10.583530181896355,10
144,14.3,10.541452566995796,10
145,13.9,10.52457441736561,10
146,14.2,10.475367933076782,10
147,14.4,10.362324921453572,10
148,14.8,10.538817137927134,10
149,14.8,10.293471501663351,10
150,14.9,10.126423082433622,10
151,15.0,10.327955589886445,10
152,14.9,10.6921570425346,10
153,14.7,11.076000080253602,10
154,15.1,10.928555866780082,10
155,15.2,11.093541664710449,10
156,15.2,11.163432367431723,10
