t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.4,0.5163977794943223,10
5,0.4,0.5163977794943223,10
6,0.5,0.7071067811865476,10
7,0.7,0.8232726023485646,10
8,1.1,0.7378647873726218,10
9,1.3,0.9486832980505138,10
10,1.6,1.1737877907772674,10
11,1.6,1.1737877907772674,10
12,1.7,1.2516655570345725,10
13,1.9,1.286683937707919,10
14,2.1,1.5238839267549948,10
15,2.3,1.4181364924121764,10
16,2.4,1.7126976771553504,10
17,2.4,1.7126976771553504,10
18,2.6,2.0655911179772892,10
19,2.8,2.485513584307633,10
20,2.9,2.3309511649396115,10
21,2.8,2.4855135843076335,10
22,3.0,2.494438257849294,10
23,3.1,2.8067379246694517,10
24,3.5,3.1710495984067415,10
25,3.3,3.1989581637360205,10
26,3.3,3.1640339933558095,10
27,3.3,3.1640339933558095,10
28,3.3,3.4009802508492557,10
29,3.3,3.591656999213594,10
30,3.4,3.7475918193480524,10
31,3.3,3.7431418769679454,10
32,3.3,3.7431418769679454,10
33,3.4,3.9214509786273974,10
34,3.6,4.141926551202418,10
35,3.7,4.372896319628699,10
36,3.8,4.61398839279954,10
37,3.9,4.605552204797066,10
38,3.8,4.541169697580373,10
39,3.8,4.661902329879223,10
40,3.9,4.677368680976279,10
41,4.0,4.9216076867444665,10
42,4.1,4.863697724525605,10
43,4.0,4.8074017006186525,10
44,4.2,4.417138339593985,10
45,4.1,4.408325456829762,10
46,4.2,4.417138339593985,10
47,4.3,4.3728963196286985,10
48,4.5,4.428443418528808,10
49,4.7,4.083843505544474,10
50,4.5,4.143267631552018,10
51,4.6,4.033195589934446,10
52,4.8,3.9944405810520647,10
53,4.6,3.921450978627398,10
54,4.8,4.184627953726724,10
55,4.7,4.24394994210713,10
56,4.9,4.408325456829762,10
57,4.9,4.0947120370871835,10
58,5.2,4.211096452627668,10
59,5.4,4.29987079909256,10
60,5.2,4.077035960378841,10
61,5.0,4.0,10
62,4.9,4.04007700696685,10
63,4.9,4.175324338699131,10
64,4.9,4.2282121254470875,10
65,5.0,4.642796092394707,10
66,5.0,4.618802153517006,10
67,5.0,4.618802153517006,10
68,4.9,4.581363212940978,10
69,4.9,4.433458644845529,10
70,5.1,4.3576242252962665,10
71,5.2,4.1311822359545785,10
72,5.3,4.029061098237818,10
73,5.4,3.977715704047013,10
74,5.2,4.049691346263318,10
75,5.2,4.077035960378842,10
76,5.4,4.060651288757617,10
77,5.8,3.8528488738133038,10
78,5.9,3.928528138289623,10
79,5.7,4.191260749066641,10
80,5.8,4.211096452627668,10
81,6.0,4.189935029992179,10
82,6.1,4.254409477236529,10
83,5.8,4.211096452627668,10
84,5.5,4.222953153106642,10
85,5.5,4.222953153106642,10
86,5.6,4.115013163202924,10
87,5.5,3.865804501581067,10
88,5.7,3.9735234853828274,10
89,5.7,3.9454615277134146,10
90,5.3,3.8887301554906353,10
91,5.5,3.8369548110737792,10
92,5.4,3.6270588023294517,10
93,5.4,3.6270588023294517,10
94,5.4,3.6270588023294517,10
95,5.3,3.653004851412662,10
96,5.3,3.653004851412662,10
97,5.2,3.852848873813304,10
98,5.3,4.056544780420347,10
99,5.3,3.8887301554906357,10
100,5.4,3.977715704047013,10
101,5.5,3.6285901761795403,10
102,5.9,3.695342413844157,10
103,5.9,3.7549966711037177,10
104,6.0,3.972125095937662,10
105,5.8,3.8815804341359033,10
106,6.1,3.8715486421958962,10
107,6.5,3.6590830666833583,10
108,6.6,3.687817782917155,10
109,6.8,4.077035960378842,10
110,6.7,4.164666186436128,10
111,6.6,4.141926551202419,10
112,6.6,4.033195589934446,10
113,6.6,3.9496835316263,10
114,6.6,3.9496835316263,10
115,6.7,3.8600518131237562,10
116,6.9,4.067486256208427,10
117,6.9,4.067486256208427,10
118,7.2,4.077035960378841,10
119,7.4,4.168666186896929,10
120,7.6,3.8930136855083823,10
121,7.7,3.653004851412662,10
122,7.7,3.653004851412662,10
123,7.7,3.831158803518562,10
124,7.9,3.6651512019742563,10
125,8.0,3.2998316455372216,10
126,8.1,3.4140233677518315,10
127,8.2,3.583914681524163,10
128,8.1,3.4464152068167553,10
129,8.0,3.9440531887330774,10
130,8.1,4.383048152953731,10
131,8.0,4.496912521077347,10
132,8.0,4.320493798938574,10
133,8.3,4.321779468896786,10
134,8.2,4.4671641514002545,10
135,8.4,4.926120853842978,10
136,8.3,4.9452558635075246,10
137,8.3,4.762119042797837,10
138,8.2,4.732863826479694,10
139,8.2,4.894441291460708,10
140,8.2,5.159672685570492,10
141,8.2,5.308274463305169,10
142,8.2,5.308274463305169,10
143,8.2,5.533734925185902,10
144,8.4,5.660781257427675,10
145,8.3,5.716448003592596,10
146,8.5,5.482294734466175,10
147,8.8,5.513619500836089,10
148,8.7,5.375872022286245,10
149,8.6,5.561774297230456,10
150,8.6,5.561774297230456,10
151,8.8,5.652924513520021,10
152,8.9,5.506561742341788,10
153,9.0,5.676462121975467,10
154,9.0,5.696002496878354,10
155,9.2,5.865151319446072,10
156,9.1,5.971227307309239,10
