t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.4,0.5163977794943223,10
5,0.4,0.5163977794943223,10
6,0.5,0.7071067811865476,10
7,0.7,0.8232726023485646,10
8,1.1,0.7378647873726218,10
9,1.3,0.9486832980505138,10
10,1.6,1.1737877907772674,10
11,1.8,1.1352924243950933,10
12,2.0,1.247219128924647,10
13,2.1,1.286683937707919,10
14,2.4,1.5055453054181622,10
15,2.5,1.1785113019775793,10
16,2.7,1.0593499054713802,10
17,2.6,0.9660917830792959,10
18,2.7,1.2516655570345725,10
19,2.9,1.5951314818673865,10
20,3.0,1.5634719199411433,10
21,3.1,1.852925614624973,10
22,3.5,1.7159383568311668,10
23,3.6,1.7763883459298973,10
24,4.0,2.1081851067789197,10
25,4.0,2.1081851067789197,10
26,4.1,2.183269719175042,10
27,4.0,2.3570226039551585,10
28,3.8,2.616188916046478,10
29,3.9,2.6012817353502227,10
30,3.9,2.6012817353502227,10
31,3.8,2.573367875415838,10
32,3.9,2.4698178070456938,10
33,3.9,2.5144029554194813,10
34,4.2,2.6997942308422114,10
35,4.5,2.798809270624444,10
36,4.8,2.973961069759395,10
37,5.0,3.1269438398822866,10
38,4.8,3.084008934992101,10
39,4.8,3.155242550986462,10
40,5.0,3.4318767136623336,10
41,5.0,3.559026084010437,10
42,5.1,3.4785054261852175,10
43,5.0,3.39934634239519,10
44,5.2,3.359894178227774,10
45,5.2,3.3266599866332394,10
46,5.6,3.0258148581093915,10
47,5.8,3.2591750830880843,10
48,5.9,3.2812599206199238,10
49,6.2,3.0477678535099892,10
50,6.2,2.936362072739365,10
51,6.3,2.7507574714370344,10
52,6.4,3.0983866769659336,10
53,6.3,3.2335051500740732,10
54,6.4,3.470510689285432,10
55,6.5,3.4399612400917157,10
56,6.5,3.6590830666833583,10
57,6.4,3.5023801430836525,10
58,6.5,3.3416562759605704,10
59,6.7,3.1989581637360205,10
60,6.7,2.9832867780352594,10
61,6.5,3.24037034920393,10
62,6.2,3.359894178227774,10
63,6.0,3.6209268304000717,10
64,6.2,3.9101008796307144,10
65,6.3,4.083843505544475,10
66,6.3,3.9454615277134146,10
67,6.6,4.005551702879947,10
68,6.6,4.115013163202924,10
69,6.7,4.321779468896785,10
70,6.8,4.263540521418529,10
71,6.9,4.121757985239902,10
72,7.0,4.0276819911981905,10
73,7.2,4.157990967870047,10
74,7.1,4.175324338699131,10
75,7.3,4.321779468896785,10
76,7.5,4.32691832858239,10
77,7.9,4.2282121254470875,10
78,7.9,4.2282121254470875,10
79,7.8,4.315347288715269,10
80,7.9,4.383048152953731,10
81,8.1,4.38304815295373,10
82,8.2,4.491968140779472,10
83,7.9,4.581363212940979,10
84,7.7,4.372896319628699,10
85,7.7,4.372896319628699,10
86,7.8,4.3410188256265885,10
87,7.8,4.157990967870047,10
88,7.9,4.04007700696685,10
89,8.0,3.972125095937662,10
90,7.9,4.121757985239902,10
91,8.3,4.3728963196286985,10
92,8.2,4.237399621885522,10
93,8.4,4.221637386396684,10
94,8.2,4.315347288715269,10
95,8.0,4.242640687119285,10
96,8.1,4.2282121254470875,10
97,8.1,4.2282121254470875,10
98,8.2,4.491968140779472,10
99,8.2,4.263540521418529,10
100,8.2,4.417138339593985,10
101,8.3,4.295992965026311,10
102,8.5,4.478342947514801,10
103,8.6,4.4522154285504,10
104,8.6,4.2998707990925595,10
105,8.4,4.3256341860022225,10
106,8.6,4.221637386396684,10
107,9.0,4.08248290463863,10
108,9.0,3.711842908553348,10
109,9.2,3.7947331922020555,10
110,9.1,3.984692933938295,10
111,9.2,3.9944405810520647,10
112,9.2,3.9944405810520647,10
113,9.3,3.802046232695699,10
114,9.1,3.5418137224371984,10
115,9.2,3.614784456460256,10
116,9.4,3.565264521898917,10
117,9.5,3.5355339059327378,10
118,9.9,3.6953424138441564,10
119,10.1,3.725288952252936,10
120,10.1,3.573047252229764,10
121,10.4,3.7475918193480524,10
122,10.2,3.8815804341359037,10
123,10.3,3.9454615277134146,10
124,10.4,3.5023801430836525,10
125,10.7,3.267686915507326,10
126,10.7,3.0203016773531455,10
127,10.8,2.859681411936962,10
128,10.9,2.923088169119167,10
129,10.5,2.9533408577782247,10
130,10.5,2.718251071716682,10
131,10.5,2.223610677354389,10
132,10.5,2.173067468400883,10
133,10.9,1.9692073983655907,10
134,11.1,1.852925614624973,10
135,11.2,1.9888578520235063,10
136,11.1,2.1832697191750423,10
137,11.1,2.4698178070456938,10
138,11.1,2.766867462592951,10
139,10.9,2.766867462592951,10
140,11.0,2.70801280154532,10
141,11.0,3.1269438398822866,10
142,11.1,2.998147576235848,10
143,11.0,3.0550504633038935,10
144,11.2,3.084008934992101,10
145,11.0,3.197221015541813,10
146,11.2,3.3928028399998595,10
147,11.5,3.5978388574871505,10
148,11.5,3.6285901761795403,10
149,11.2,3.4896672875473067,10
150,11.4,3.470510689285432,10
151,11.4,3.565264521898917,10
152,11.4,3.6878177829171546,10
153,11.6,3.6270588023294517,10
154,11.8,3.7058512292499457,10
