t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.3,0.6749485577105528,10
4,0.5,0.7071067811865476,10
5,0.5,0.5270462766947299,10
6,0.5,0.5270462766947299,10
7,1.0,0.6666666666666666,10
8,1.7,0.8232726023485646,10
9,2.1,0.9944289260117533,10
10,2.3,1.0593499054713802,10
11,2.9,1.1972189997378648,10
12,3.0,1.3333333333333333,10
13,3.1,1.3703203194062976,10
14,3.3,1.3374935098492586,10
15,3.6,1.429840705968481,10
16,3.7,1.3374935098492586,10
17,3.8,1.3984117975602022,10
18,4.2,1.3165611772087666,10
19,4.2,1.4757295747452437,10
20,4.1,1.523883926754995,10
21,4.4,1.837873166945363,10
22,4.8,1.9888578520235065,10
23,5.1,2.024845673131659,10
24,5.4,2.118699810942761,10
25,5.6,2.3190036174568114,10
26,5.7,2.5407785333546005,10
27,5.8,2.6997942308422114,10
28,6.1,3.1073389830457114,10
29,6.5,3.3747427885527643,10
30,7.3,3.5605867181937554,10
31,7.7,3.622460796505909,10
32,8.0,3.5276684147527875,10
33,8.2,3.5839146815241634,10
34,8.4,3.565264521898917,10
35,8.7,3.2676869155073254,10
36,9.1,3.6953424138441564,10
37,9.5,3.689323936863109,10
38,9.5,3.5978388574871505,10
39,9.5,3.9510898637098992,10
40,9.9,4.175324338699131,10
41,10.0,4.447221354708778,10
42,10.2,4.366539438350085,10
43,10.3,4.295992965026311,10
44,10.7,4.398231968012197,10
45,11.0,4.570436400267363,10
46,11.3,4.762119042797836,10
47,11.6,5.081557066709201,10
48,11.8,5.072803301265814,10
49,12.1,5.130518708885313,10
50,12.1,5.152130088074683,10
51,12.2,5.391351098441527,10
52,12.3,5.4984846397287805,10
53,12.7,5.396500923952689,10
54,12.9,5.646040894093646,10
55,13.4,5.699902533279748,10
56,13.4,5.58171618371586,10
57,13.8,5.672545969648706,10
58,14.2,5.533734925185902,10
59,14.3,5.6774407379851475,10
60,14.7,5.657836257007718,10
61,14.9,5.743595467030115,10
62,14.7,5.638163609624049,10
63,15.3,5.6381636096240495,10
64,15.9,5.762908216439952,10
65,16.1,5.665686189686118,10
66,16.5,5.7397251192408545,10
67,17.1,5.6656861896861175,10
68,17.3,5.907622195096772,10
69,17.5,5.9113826169894,10
70,17.8,5.769652406245015,10
71,18.1,5.8774522069043185,10
72,18.3,5.8509258526606995,10
73,18.6,6.040603354706291,10
74,18.6,6.168017869984202,10
75,18.9,6.454111523328021,10
76,18.8,6.5962952565141535,10
77,19.0,6.5149400952306875,10
78,19.2,6.613118276073196,10
79,19.4,6.669999167083073,10
80,19.8,6.828046735503662,10
81,20.3,6.880729935438859,10
82,20.8,6.876691711054734,10
83,20.8,6.876691711054735,10
84,21.0,6.99205898780101,10
85,21.5,7.352248333370926,10
86,21.8,7.29992389610254,10
87,22.1,7.078135347674555,10
88,22.4,7.089898917944224,10
89,22.6,7.198765326236314,10
90,22.6,7.121173436387512,10
91,22.7,7.484057129065165,10
92,23.1,7.651434142985512,10
93,23.6,7.574812062208394,10
94,23.9,7.709301740970664,10
95,24.4,7.6623176070371235,10
96,24.9,7.723700897597961,10
97,24.8,7.927448797970533,10
98,24.9,8.075339690137566,10
99,25.3,8.246884933786278,10
100,25.3,8.273787255879592,10
101,25.4,8.208396784864739,10
102,25.4,8.208396784864739,10
103,25.8,8.390470785361213,10
104,25.9,8.238797107453113,10
105,26.2,8.148619514985345,10
106,26.6,7.961016127215029,10
107,26.7,8.124722217473721,10
108,27.0,7.944250191875324,10
109,27.2,7.997221739801614,10
110,27.5,8.22259758902934,10
111,27.5,8.263036837493694,10
112,27.6,8.422192905255336,10
113,27.5,8.343327340522551,10
114,27.6,8.395766128763288,10
115,27.8,8.62554346113913,10
116,27.9,8.685236515681845,10
117,27.7,8.895067297228405,10
118,27.7,8.756584823878415,10
119,28.2,8.829244336609761,10
120,28.5,8.897565210026093,10
121,28.7,8.8700494800073,10
122,29.3,8.80719402912566,10
123,29.7,8.920014947670584,10
124,30.0,9.043106644167024,10
125,29.9,9.109823757290197,10
126,30.2,9.089676684141313,10
127,30.5,9.348202441586771,10
128,30.7,9.603818684946802,10
129,30.7,9.638464608017193,10
130,31.1,9.70051545022222,10
131,31.1,9.949316001057001,10
132,31.0,10.044346115546242,10
133,31.3,10.382142788889434,10
134,31.5,10.168032695113096,10
135,31.7,10.100055005350768,10
136,31.9,10.32203683603408,10
137,32.4,10.254538290706002,10
138,32.7,10.15491123655063,10
139,32.9,10.660935960578486,10
140,32.8,10.3794669098819,10
141,33.5,10.384282995630143,10
142,33.7,10.488618169764361,10
143,33.9,10.89801205113422,10
144,34.0,10.842303978193728,10
145,34.0,10.821788720498619,10
146,34.2,10.643725329455327,10
147,34.6,10.834102536794536,10
148,35.2,10.400854665736743,10
149,35.5,10.480139948174992,10
150,35.9,10.58772874605314,10
151,36.5,10.637982264821966,10
152,36.9,10.877601859887235,10
153,37.0,11.035296904831233,10
154,37.3,11.205653335110215,10
155,37.5,11.296508801887029,10
156,37.7,11.13602761810113,10
157,37.8,11.213087591441232,10
