t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.5,0.7071067811865476,10
4,0.6,0.9660917830792959,10
5,1.0,1.0540925533894598,10
6,1.0,0.9428090415820634,10
7,1.1,0.9944289260117531,10
8,1.3,1.2516655570345725,10
9,1.3,1.0593499054713802,10
10,1.4,1.2649110640673518,10
11,1.6,1.349897115421106,10
12,1.5,1.4337208778404378,10
13,1.4,1.505545305418162,10
14,1.6,1.577621275493231,10
15,1.8,1.8737959096740262,10
16,1.7,1.888562063228706,10
17,1.7,2.3118054512532935,10
18,1.7,2.2135943621178655,10
19,1.8,2.201009869229224,10
20,1.7,2.359378449224852,10
21,1.4,2.065591117977289,10
22,1.4,2.2705848487901865,10
23,1.5,2.223610677354389,10
24,1.6,2.221110833194358,10
25,1.9,2.1317702607092643,10
26,2.0,2.160246899469287,10
27,1.8,1.9888578520235067,10
28,1.8,1.6865480854231356,10
29,1.9,1.66332999331662,10
30,1.7,1.4181364924121764,10
31,1.9,1.3703203194062976,10
32,1.8,1.4757295747452437,10
33,1.7,1.4944341180973262,10
34,1.6,1.6465452046971292,10
35,1.7,1.567021236472421,10
36,1.9,1.911950719959998,10
37,2.0,1.8856180831641267,10
38,2.2,2.043961295567452,10
39,2.0,1.8856180831641267,10
40,2.1,1.9119507199599983,10
41,1.8,1.5491933384829668,10
42,2.0,1.5634719199411433,10
43,1.9,1.3703203194062976,10
44,1.7,1.494434118097326,10
45,2.0,1.1547005383792515,10
46,2.1,1.3703203194062978,10
47,2.0,1.247219128924647,10
48,2.1,1.5238839267549948,10
49,1.8,1.6193277068654826,10
50,1.8,1.6193277068654826,10
51,1.7,1.636391694484477,10
52,1.9,1.5951314818673865,10
53,2.0,1.7638342073763937,10
54,1.9,1.9119507199599983,10
55,1.8,1.8737959096740264,10
56,1.7,1.888562063228706,10
57,1.7,1.9465068427541912,10
58,1.8,1.8737959096740264,10
59,2.1,1.8529256146249728,10
60,2.3,1.9465068427541912,10
61,2.3,2.263232692902394,10
62,2.4,2.0110804171997807,10
63,2.2,2.043961295567452,10
64,2.2,2.043961295567452,10
65,2.3,1.888562063228706,10
66,2.5,1.8408935028645435,10
67,2.4,1.9550504398153572,10
68,2.5,2.173067468400883,10
69,2.3,2.359378449224852,10
70,2.2,2.14993539954628,10
71,2.3,2.057506581601462,10
72,2.4,2.4129281427805145,10
73,2.2,1.9321835661585918,10
74,2.3,2.057506581601462,10
75,2.5,2.068278940998476,10
76,2.2,2.2010098692292237,10
77,2.2,1.9321835661585918,10
78,2.1,1.66332999331662,10
79,2.2,1.8737959096740262,10
80,1.8,1.8737959096740262,10
81,1.8,1.7511900715418265,10
82,1.7,1.8885620632287057,10
83,1.6,1.7126976771553504,10
84,1.5,1.7795130420052185,10
85,1.4,1.6465452046971294,10
86,1.1,1.728840330651992,10
87,1.3,1.9465068427541912,10
88,1.4,2.2211108331943574,10
89,1.3,2.057506581601462,10
90,1.2,1.8135294011647258,10
91,1.1,1.8529256146249728,10
92,1.2,1.6865480854231356,10
93,1.4,1.6465452046971292,10
94,1.4,1.6465452046971294,10
95,1.5,1.5811388300841898,10
96,1.5,1.509230856356236,10
97,1.7,1.567021236472421,10
98,1.9,1.5238839267549948,10
99,1.9,1.5238839267549946,10
100,1.9,1.5238839267549948,10
101,1.7,1.3374935098492586,10
102,1.7,1.4944341180973262,10
103,1.8,1.5491933384829668,10
104,2.0,1.5634719199411433,10
105,2.1,1.449137674618944,10
106,2.0,1.3333333333333333,10
107,2.0,1.5634719199411433,10
108,2.1,1.66332999331662,10
109,2.3,1.7029386365926402,10
110,2.3,1.8287822299126937,10
111,2.2,1.6865480854231356,10
112,2.3,1.7029386365926402,10
113,2.0,1.4907119849998598,10
114,2.2,1.6865480854231356,10
115,2.3,1.5670212364724212,10
116,2.2,1.4757295747452437,10
117,2.3,1.3374935098492586,10
118,2.2,1.4757295747452437,10
119,2.4,1.429840705968481,10
120,2.3,1.5670212364724212,10
121,2.3,1.5670212364724212,10
122,2.2,1.5491933384829668,10
123,1.9,1.5951314818673865,10
124,1.9,1.5951314818673865,10
125,1.9,1.5951314818673865,10
126,1.9,1.5951314818673865,10
127,2.0,1.7638342073763937,10
128,1.9,1.5951314818673865,10
129,1.9,1.5951314818673865,10
130,1.7,1.636391694484477,10
131,1.7,1.636391694484477,10
132,1.7,1.8287822299126937,10
133,1.9,2.0248456731316584,10
134,1.9,1.9692073983655904,10
135,2.1,2.0248456731316584,10
136,2.1,2.0248456731316584,10
137,1.9,2.1317702607092643,10
138,2.0,2.160246899469287,10
139,1.9,1.9692073983655907,10
140,1.8,1.8737959096740264,10
141,1.7,1.8287822299126935,10
142,1.7,1.7669811040931427,10
143,1.5,1.7795130420052185,10
144,1.7,2.057506581601462,10
145,1.7,2.263232692902394,10
146,1.8,2.2010098692292237,10
147,1.7,2.263232692902394,10
148,1.7,2.2135943621178655,10
