t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.17585008422469744,0.366178333479137,10
3,0.6048280397957717,0.7084580056006845,10
4,0.8650711452842461,0.9932956757007216,10
5,1.3845847675376262,1.231937120269829,10
6,1.9853177078687156,1.4660988620118645,10
7,2.589377908016833,1.5772102365601448,10
8,3.191236999093854,1.7741934582384578,10
9,3.7898200146738388,2.0389537592809166,10
10,4.30851460582522,2.331912926398482,10
11,4.907353564499077,2.6619362256680956,10
12,5.42650885961844,2.8994614893893416,10
13,5.771605677222405,3.1711043542497994,10
14,6.289020558267117,3.3005353990127544,10
15,6.720762700236119,3.510395550289919,10
16,6.980058808263017,3.636745025923469,10
17,7.411826550612899,3.9912008840242983,10
18,7.673810070265001,4.218486112019566,10
19,8.01793429965775,4.268789985527827,10
20,8.361137130082009,4.366801166649333,10
21,8.53519560762214,4.542150717944847,10
22,8.79682080503069,4.8109732373519964,10
23,9.310550105891755,5.171494862998119,10
24,9.661789576524,5.376275990817829,10
25,10.012670727858032,5.563846575144459,10
26,10.616662685502147,5.776251424330026,10
27,11.139605950985267,5.95236084587644,10
28,11.488695492003057,6.1517069987324025,10
29,11.924379176022121,6.37930200401748,10
30,12.184775844319185,6.540321587587236,10
31,12.870567257076416,6.81218311290813,10
32,13.56191263807251,7.091207745176862,10
33,14.080709613879671,7.439662948661759,10
34,14.428109924146849,7.579646988014364,10
35,14.943605232812478,7.750931553232093,10
36,15.46063620047984,7.9120263282949255,10
37,16.145710980484164,8.213211935575542,10
38,16.834804076278523,8.349001944047803,10
39,17.522591854017982,8.475620760709226,10
40,18.213297386715187,8.78157535510358,10
41,18.73045632667828,9.115358737160868,10
42,19.248954713741533,9.151875128796682,10
43,20.025793684078327,9.0634660897564,10
44,20.630502292944456,9.103712050004496,10
45,21.321062778187393,9.022281965527169,10
46,22.01138438484412,8.948152508512388,10
47,22.69768768944409,9.107114786613048,10
48,23.29932497183054,9.278052825847382,10
49,23.73260278066727,9.515327237157031,10
50,24.253600865004188,9.583136431890145,10
51,24.860425254348723,9.792739000149396,10
52,25.546677365095743,9.82937520863722,10
53,26.150967918714702,10.012538015352627,10
54,26.66465455589282,10.370654093550616,10
55,27.26516567742628,10.576121804505423,10
56,27.783399579910547,10.752698018558172,10
57,28.384362877415263,10.975769385445735,10
58,28.90774124278469,11.063856251364573,10
59,29.509216420480946,11.16080710505685,10
60,30.110154117452577,11.267458331734014,10
61,30.464874402553555,11.40809405147398,10
62,30.985309419328605,11.609388197173276,10
63,31.50669995795001,11.99540666262553,10
64,32.02322757080147,12.213888874151298,10
65,32.456053212597304,12.399511026308137,10
66,32.89053395280803,12.47126741057764,10
67,33.32934012687288,12.560748079268222,10
68,33.94189765431222,12.67386714400649,10
69,34.46612063327813,12.738662101334944,10
70,34.90510597470021,12.815421061405376,10
71,35.59906198402861,13.054483913559617,10
72,36.12147630684096,13.252569785352375,10
73,36.554779715938174,13.198081142306227,10
74,37.15789293106855,13.366922964052023,10
75,37.846960421933645,13.374929367261005,10
76,38.19359291585134,13.475504312957227,10
77,38.70962571044137,13.58343323608441,10
78,39.1454885543598,13.666277901932252,10
79,39.74536836237873,13.734306336627704,10
80,40.17841581981081,13.81409963768906,10
81,40.70330424667456,13.938317275872905,10
82,41.13816890073893,14.066151708819053,10
83,41.57656556922591,14.208751685700951,10
84,42.09730770909267,14.261699794633392,10
85,42.529459361415135,14.352362900556567,10
86,42.882643993538565,14.369343597042665,10
87,43.229839550086766,14.393241675943829,10
88,43.57381021603231,14.433664850738442,10
89,43.921005774994995,14.42207650510965,10
90,44.01307709695007,14.49079575173278,10
91,44.27043656477885,14.637489410902582,10
92,44.69811773969442,14.670588910563547,10
93,45.12709569885046,14.383234488682664,10
94,45.556841480424005,14.536335048379438,10
95,45.992755488707566,14.748164940598596,10
96,46.59127025167324,14.889897101704475,10
97,47.19324025240268,15.075156231703719,10
98,47.80419387093254,15.20058651382074,10
99,48.418287053776865,15.095882541100243,10
100,49.02692864399747,15.057398742232422,10
101,49.55079330179298,15.032470834225208,10
102,50.24531238112971,15.032465409360423,10
103,50.85098503021815,15.048777339388106,10
104,51.45760466941472,15.094429283109394,10
105,52.06847297855613,14.861404570399547,10
106,52.41473007743106,14.720393207845152,10
107,53.016648888888334,14.755950988746552,10
108,53.44735019454347,14.642336752374288,10
109,54.05007949458344,14.704589645591179,10
110,54.31423001089702,14.724256226849878,10
111,54.571231174446325,14.964098939390079,10
112,55.17880633204982,15.040838831361148,10
113,55.52496104721698,15.135353308720605,10
114,55.958597162829946,15.059770881338325,10
115,56.563322826570925,15.311513719010156,10
116,57.16352682148099,15.292864067738739,10
117,57.85610926169941,15.25420641147147,10
118,58.45764415485466,15.367056236729667,10
119,59.15099444050951,15.330880275060974,10
120,59.83925998465952,15.395626913175137,10
121,60.443815015925,15.402472546692383,10
122,61.042159153567425,15.473297325514018,10
123,61.55704873034076,15.451739646977805,10
124,62.15515398650948,15.598792360261069,10
125,62.677875433569646,15.59777559746405,10
126,63.36498069197918,15.733313401419021,10
127,63.96579894855289,15.808065412030475,10
128,64.56789692166107,15.894323523838086,10
129,65.17444830814112,15.991237203258297,10
130,65.61267434522479,16.150131876526864,10
131,66.1290995797151,16.28740910693442,10
132,66.47706296780339,16.52536906914007,10
133,66.91191056539932,16.826412945573377,10
134,67.42799454796264,17.031320996636605,10
135,67.86663010634143,16.960080828900637,10
136,68.38151968859236,16.97797379994442,10
137,68.81160673930194,16.852142061582587,10
138,69.32973826425498,17.040199373638877,10
139,69.848467000653,17.025508321437634,10
140,70.28070397065997,16.93472415484569,10
141,70.71160150124354,16.85737079435264,10
142,71.14779705664596,16.927461173839923,10
143,71.58383904953511,17.09267328704673,10
144,72.10190232420591,17.195616378937594,10
145,72.53493271446399,17.177902770725243,10
146,73.05833667357004,17.298594124820987,10
147,73.48828721223047,17.408206578303105,10
148,73.92837311990993,17.610655795987725,10
149,74.45019022198342,17.53093918357514,10
150,74.97395250270773,17.581025541774586,10
151,75.32012428320681,17.57497783743791,10
152,75.7492387482973,17.606197871371272,10
153,76.35514175018758,17.732176293447193,10
154,76.78754935657896,17.84249922032694,10
155,77.30619276699747,17.964993386384972,10
156,77.7403407798593,17.938136260198824,10
157,78.25412126768433,18.07886232407178,10
158,78.7729182450765,18.136870313942637,10
159,79.04319433262644,18.08744119134561,10
160,79.56449955919723,18.166981310340127,10
161,80.08723806931546,18.206715217608124,10
162,80.43095279151503,18.217714066668574,10
163,80.9455523006424,18.13618135595112,10
164,81.3753492749394,17.91041091341837,10
165,81.80432723719352,17.926032267691674,10
166,82.32160561183828,17.95930920962105,10
167,82.83739951696916,18.143207811547583,10
168,83.27023368718032,18.405156826852128,10
169,83.70120800188079,18.619761077836394,10
170,84.13685754326653,18.67031301046177,10
171,84.48596415080185,18.677961308253092,10
172,85.00499148318671,18.46779705015064,10
173,85.52508524814209,18.667174487689188,10
174,86.13027161929355,18.691114447808594,10
175,86.90205997190745,18.713511759772633,10
176,87.58892635156869,18.747009772143894,10
177,88.2747177679529,18.789903785047255,10
178,88.79271278664672,18.851828515141964,10
179,89.22563227808789,18.98521557429624,10
180,89.82631403291161,19.18472092728686,10
181,90.34444556461298,19.39276145423364,10
182,90.7772967970569,19.38781899511661,10
183,91.21567640498577,19.47550542461125,10
184,91.65050692683273,19.506278965239755,10
185,92.25163230961417,19.473676016893805,10
186,92.85257000170932,19.447792524319073,10
187,93.28554068174665,19.4476615611192,10
188,93.80002074227863,19.4572418569089,10
189,94.316616605421,19.522567416589162,10
190,94.57931677035685,19.5943366526738,10
191,94.92460128514031,19.421519531674416,10
192,95.18822284639995,19.473993209203904,10
193,95.71027883524616,19.620690444017285,10
194,96.23040672896182,19.777641335675032,10
195,96.74961321199166,20.042243787515652,10
196,97.09505128843415,19.903590207467495,10
197,97.52865328686804,20.11796206665932,10
198,98.04775740100354,20.35138821636686,10
199,98.82454517166784,20.471652081894714,10
200,99.34050116969495,20.544811714069972,10
201,99.94531214633284,20.701621877130737,10
202,100.46142171663169,20.70165374913165,10
203,100.81125348547603,20.777471374626483,10
204,101.15975434303903,21.039190975176695,10
205,101.50633563774629,21.211084721093492,10
206,101.77185969806261,21.191608003831103,10
207,102.20212588986269,21.344235482205317,10
208,102.54566144301273,21.358369196125047,10
209,102.80531586503439,21.37159218734231,10
210,103.2348142245044,21.371079462716466,10
211,103.75013888972565,21.55768973466115,10
212,104.26862019131639,21.61293176138602,10
213,104.87685228086914,21.695675026140822,10
214,105.39412212047391,21.686868921215044,10
215,106.08253268343431,21.797134475893582,10
216,106.68782993880647,21.688828502753246,10
217,107.37761405886238,21.597784643706262,10
218,107.90040375333699,21.62766982364906,10
219,108.25640377348638,21.509321507832066,10
220,108.43855005809685,21.36090354951038,10
221,109.04665416166995,21.174173724961065,10
222,109.56811294673312,20.9777163235996,10
223,109.92039324545847,21.08962511430869,10
224,110.60828339183361,21.2348216320599,10
225,111.21207057945783,21.329550566195305,10
226,111.6440174782371,21.250636220817924,10
227,112.16272913325444,21.186595220383545,10
228,112.51432690588278,21.061480344544968,10
229,113.03462540683665,21.008358887492072,10
230,113.46720362451715,20.98640729316408,10
231,113.9888330276965,20.985670450867058,10
232,114.42159894858375,21.048586293839413,10
233,114.85666835485183,20.931864832566575,10
234,115.29439956644708,20.801404850213952,10
235,115.89903989283974,20.65421545437453,10
236,116.50272470102263,20.63809856253978,10
237,116.93554180423527,20.716750593796732,10
238,117.3744162279689,20.823340894851547,10
239,117.81323947841481,21.02662087720519,10
240,118.25103893753075,21.30888805460274,10
