t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.5,0.7071067811865476,10
4,0.7,0.9486832980505138,10
5,0.9,1.1005049346146119,10
6,0.9,0.9944289260117533,10
7,1.0,1.0540925533894598,10
8,1.1,1.370320319406298,10
9,1.3,1.6363916944844772,10
10,1.5,1.509230856356236,10
11,1.7,1.8287822299126937,10
12,1.9,1.911950719959998,10
13,1.9,1.911950719959998,10
14,2.1,2.1832697191750423,10
15,2.6,2.2705848487901865,10
16,3.0,2.260776661041756,10
17,2.9,2.6436506745197805,10
18,3.3,2.869378562220979,10
19,3.2,2.7406406388125952,10
20,3.2,3.084008934992101,10
21,3.1,3.071373199943851,10
22,2.8,2.485513584307633,10
23,2.5,2.41522945769824,10
24,2.6,2.7968235951204043,10
25,2.7,2.7507574714370344,10
26,3.0,2.9814239699997196,10
27,3.3,3.0568684048294332,10
28,3.3,3.0568684048294332,10
29,3.5,3.2058973436118907,10
30,3.4,3.062315754094894,10
31,3.6,3.0983866769659336,10
32,3.5,2.9907264074877267,10
33,3.6,2.7968235951204043,10
34,3.6,2.6749870196985173,10
35,3.9,2.378141197564929,10
36,3.8,2.780887148615228,10
37,3.8,2.6583202716502514,10
38,4.1,2.685351208149711,10
39,4.3,2.540778533354601,10
40,4.2,2.3475755815545347,10
41,4.1,2.378141197564929,10
42,4.4,2.4129281427805145,10
43,4.4,2.3190036174568114,10
44,4.6,2.3190036174568114,10
45,4.6,2.3190036174568114,10
46,4.7,2.496664441476534,10
47,4.8,2.440400695696417,10
48,4.8,2.616188916046478,10
49,4.6,2.503331114069145,10
50,4.6,2.503331114069145,10
51,4.5,2.8382310609877335,10
52,4.2,2.8596814119369625,10
53,4.2,2.699794230842212,10
54,4.6,2.7568097504180447,10
55,4.4,2.913569784454954,10
56,4.6,2.8751811537130436,10
57,4.7,2.8303906287138374,10
58,4.6,2.590581230363393,10
59,4.7,3.0568684048294332,10
60,4.7,3.0203016773531455,10
61,4.6,2.9514591494904874,10
62,5.0,3.018461712712472,10
63,5.2,2.898275349237888,10
64,5.3,3.0568684048294332,10
65,5.8,2.973961069759395,10
66,5.7,3.093002855909879,10
67,5.9,3.2128215360057304,10
68,6.0,3.2317865716108862,10
69,6.0,3.2317865716108862,10
70,5.9,3.381321240777535,10
71,5.9,3.2472210341220142,10
72,6.3,3.1640339933558095,10
73,6.6,3.3730961708462712,10
74,6.4,3.565264521898917,10
75,6.4,3.3065591380365986,10
76,6.6,3.3730961708462712,10
77,6.5,3.5978388574871505,10
78,6.7,3.591656999213594,10
79,6.7,4.029061098237818,10
80,6.6,3.835506630304673,10
81,6.5,3.9510898637098992,10
82,6.4,4.141926551202418,10
83,6.5,4.034572812303401,10
84,6.6,4.087922591134904,10
85,6.8,4.442221666388715,10
86,6.6,4.550946177566937,10
87,6.6,4.599516882842757,10
88,6.7,4.643992535164831,10
89,6.7,4.270050741306634,10
90,7.0,4.242640687119285,10
91,6.8,4.237399621885521,10
92,6.4,3.8930136855083823,10
93,6.5,3.7490739597339973,10
94,6.3,3.653004851412662,10
95,6.2,3.3598941782277745,10
96,6.1,3.2472210341220142,10
97,6.1,3.1780497164141406,10
98,6.0,3.1269438398822866,10
99,5.8,2.859681411936962,10
100,6.1,3.0349812373573433,10
101,6.1,3.348299734359383,10
102,6.0,3.366501646120693,10
103,6.1,3.314949304120485,10
104,6.2,3.155242550986462,10
105,6.3,3.2676869155073254,10
106,6.0,3.018461712712472,10
107,6.2,3.359894178227774,10
108,6.1,3.314949304120485,10
109,6.1,3.2812599206199238,10
110,6.3,3.465704994818675,10
111,6.1,3.4464152068167553,10
112,6.1,3.4464152068167553,10
113,6.2,3.552776691859794,10
114,6.2,3.7653389990514503,10
115,6.2,3.6147844564602556,10
116,6.2,3.8528488738133038,10
117,5.8,3.7653389990514503,10
118,6.0,3.5901098714230026,10
119,6.1,3.6651512019742563,10
120,5.7,3.683295625749672,10
121,5.7,3.5605867181937554,10
122,5.8,3.675746333890726,10
123,5.8,3.521363372331802,10
124,6.1,3.4785054261852175,10
125,6.2,3.489667287547307,10
126,6.2,3.552776691859794,10
127,6.2,3.552776691859794,10
128,6.4,3.7178249316263163,10
129,6.6,3.806427312965386,10
130,6.5,3.8078865529319543,10
131,6.6,3.717824931626316,10
132,6.8,3.966526608171604,10
133,6.9,3.984692933938295,10
134,7.0,4.055175020198813,10
135,7.0,4.189935029992179,10
136,7.0,4.242640687119285,10
137,7.0,4.242640687119285,10
138,7.0,4.216370213557839,10
139,7.0,4.242640687119285,10
140,7.2,4.077035960378841,10
141,7.1,4.067486256208427,10
142,7.4,4.376706016578627,10
143,7.2,4.366539438350085,10
144,7.0,4.0276819911981905,10
145,7.1,3.956710193526379,10
146,7.2,4.157990967870046,10
147,7.1,4.254409477236529,10
148,7.4,4.060651288757616,10
149,7.4,4.087922591134904,10
150,7.4,4.087922591134904,10
