t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.4,0.6992058987801011,10
4,0.6,0.9660917830792959,10
5,0.8,1.0327955589886444,10
6,0.7,1.0593499054713802,10
7,0.9,1.1005049346146119,10
8,0.9,1.3703203194062978,10
9,1.1,1.5951314818673865,10
10,1.3,1.4944341180973264,10
11,1.5,1.509230856356236,10
12,1.7,1.636391694484477,10
13,1.6,1.6465452046971294,10
14,2.0,1.632993161855452,10
15,2.4,1.7763883459298973,10
16,2.8,1.3165611772087666,10
17,2.7,1.8885620632287061,10
18,2.8,2.250925735484551,10
19,2.6,2.3664319132398464,10
20,2.7,2.6687491868330793,10
21,2.8,2.440400695696417,10
22,2.7,2.406010991015812,10
23,2.8,2.3475755815545347,10
24,3.0,2.4037008503093262,10
25,3.1,2.6436506745197805,10
26,3.0,2.943920288775949,10
27,3.3,3.1287200080686173,10
28,3.3,3.198958163736021,10
29,3.6,3.3730961708462717,10
30,3.6,3.2041639575194445,10
31,3.4,3.2041639575194445,10
32,3.3,3.2335051500740732,10
33,3.5,3.100179206289712,10
34,3.6,2.547329756605707,10
35,3.7,2.263232692902394,10
36,3.6,2.913569784454954,10
37,3.6,2.7568097504180447,10
38,3.7,2.6687491868330797,10
39,4.1,2.4698178070456938,10
40,4.3,2.5841396591085743,10
41,4.3,2.79085809185793,10
42,4.7,2.7100635498903793,10
43,4.8,2.440400695696417,10
44,5.2,2.5298221281347035,10
45,5.2,2.5298221281347035,10
46,5.5,2.5495097567963922,10
47,5.4,2.7568097504180447,10
48,5.5,2.718251071716682,10
49,5.6,2.6749870196985173,10
50,5.6,3.0258148581093915,10
51,5.8,3.425395354310701,10
52,5.6,3.470510689285432,10
53,5.5,3.4399612400917157,10
54,5.9,3.446415206816755,10
55,5.8,3.2249030993194197,10
56,5.8,3.6453928305312844,10
57,5.9,3.212821536005731,10
58,5.8,3.2930904093942583,10
59,6.0,3.366501646120693,10
60,5.6,3.062315754094894,10
61,5.6,2.836272984824353,10
62,5.7,2.7507574714370344,10
63,5.8,2.616188916046478,10
64,5.7,2.8303906287138374,10
65,6.1,2.766867462592951,10
66,5.8,2.780887148615228,10
67,5.8,3.1198290551460244,10
68,5.8,3.190262963734773,10
69,5.8,3.155242550986462,10
70,5.9,2.998147576235848,10
71,5.9,2.960855732160327,10
72,6.1,2.923088169119167,10
73,6.3,2.540778533354601,10
74,6.1,2.8460498941515415,10
75,6.3,2.9458068127047605,10
76,6.4,3.134042472944842,10
77,6.4,3.134042472944842,10
78,6.6,2.9514591494904874,10
79,6.5,3.24037034920393,10
80,6.4,3.1692971530679235,10
81,6.4,3.134042472944842,10
82,6.2,3.457680661303984,10
83,6.5,3.4721111093332766,10
84,6.4,3.8355066303046734,10
85,6.6,4.168666186896928,10
86,6.6,4.247875285886397,10
87,6.5,4.27525177946022,10
88,6.6,4.376706016578627,10
89,6.4,4.115013163202924,10
90,7.0,4.396968652757639,10
91,6.9,4.280446497997869,10
92,7.0,3.80058475033046,10
93,7.2,3.7653389990514503,10
94,7.1,3.665151201974256,10
95,7.0,3.366501646120693,10
96,6.8,2.936362072739365,10
97,6.7,2.9078437983419185,10
98,6.7,2.869378562220979,10
99,6.5,2.758824226207808,10
100,6.8,2.7406406388125952,10
101,6.8,2.780887148615228,10
102,6.7,2.7507574714370344,10
103,6.4,2.6749870196985173,10
104,6.5,2.718251071716682,10
105,7.0,2.6246692913372702,10
106,6.8,2.7406406388125952,10
107,6.7,2.5841396591085743,10
108,6.6,2.590581230363393,10
109,6.8,2.820559440174157,10
110,6.9,3.142893217686178,10
111,6.7,3.020301677353145,10
112,6.6,2.9514591494904874,10
113,6.7,2.7100635498903793,10
114,6.9,2.601281735350223,10
115,7.0,2.70801280154532,10
116,6.9,3.1073389830457114,10
117,6.9,3.0713731999438516,10
118,7.2,3.0477678535099892,10
119,7.3,2.79085809185793,10
120,7.1,2.7264140062238043,10
121,7.2,2.616188916046478,10
122,7.4,2.5473297566057065,10
123,7.3,2.406010991015812,10
124,7.3,2.406010991015812,10
125,7.3,2.0027758514399734,10
126,7.0,1.8856180831641267,10
127,6.9,1.9692073983655907,10
128,6.9,1.852925614624973,10
129,7.2,1.6865480854231356,10
130,7.0,1.8257418583505538,10
131,7.1,1.7288403306519922,10
132,7.2,1.9888578520235065,10
133,7.2,1.9888578520235065,10
134,7.4,2.1705094128132942,10
135,7.4,1.8973665961010275,10
136,7.4,2.2211108331943574,10
137,7.7,2.263232692902394,10
138,7.7,2.6267851073127395,10
139,7.5,2.6770630673681683,10
140,7.5,2.798809270624444,10
141,7.5,2.8382310609877335,10
142,7.8,2.780887148615228,10
143,7.8,3.0110906108363245,10
144,8.0,3.018461712712472,10
145,8.0,2.9059326290271157,10
146,8.0,3.1269438398822866,10
147,8.2,3.32665998663324,10
148,8.7,3.2676869155073254,10
149,8.8,3.32665998663324,10
150,8.8,3.5839146815241634,10
