Q_diff,Q_router,Q_oracle
0,0,0
0,0,0
0,1,1
0,2,2
1,2,1
0,2,2
1,2,1
0,2,2
1,2,1
1,3,2
1,4,3
1,3,2
1,4,3
2,5,3
2,5,3
3,5,2
2,5,3
3,6,3
3,5,2
3,6,3
4,6,2
4,6,2
4,7,3
4,6,2
4,7,3
4,7,3
5,7,2
5,7,2
5,7,2
5,8,3
5,7,2
5,7,2
5,6,1
5,7,2
6,8,2
7,8,1
6,7,1
6,7,1
6,8,2
7,8,1
7,8,1
7,9,2
7,9,2
8,9,1
8,10,2
9,10,1
8,10,2
8,10,2
8,10,2
8,11,3
8,10,2
8,10,2
8,10,2
9,10,1
9,10,1
9,10,1
9,10,1
9,11,2
9,10,1
8,10,2
8,10,2
8,10,2
8,11,3
9,12,3
10,12,2
10,13,3
11,13,2
11,13,2
10,12,2
10,11,1
10,10,0
10,11,1
10,10,0
9,9,0
9,9,0
9,10,1
10,10,0
9,10,1
9,9,0
9,9,0
8,8,0
7,7,0
7,8,1
8,8,0
8,8,0
7,7,0
6,7,1
7,7,0
7,8,1
8,8,0
7,8,1
8,8,0
8,8,0
7,8,1
8,9,1
9,10,1
9,10,1
9,10,1
8,10,2
8,10,2
8,10,2
7,9,2
7,10,3
7,10,3
7,10,3
7,11,4
7,10,3
7,10,3
7,10,3
7,10,3
7,11,4
6,11,5
7,12,5
8,12,4
8,13,5
9,14,5
8,14,6
9,14,5
9,13,4
9,13,4
9,14,5
10,14,4
9,14,5
10,14,4
10,13,3
10,13,3
10,14,4
11,15,4
12,15,3
12,14,2
12,15,3
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,14,1
13,14,1
13,14,1
13,14,1
13,14,1
13,15,2
13,15,2
13,14,1
13,14,1
13,14,1
13,13,0
13,13,0
13,14,1
14,14,0
14,15,1
15,15,0
14,15,1
15,16,1
15,15,0
15,16,1
15,16,1
15,17,2
15,16,1
15,16,1
15,16,1
15,17,2
15,17,2
16,18,2
17,18,1
16,17,1
16,17,1
16,17,1
16,16,0
16,16,0
16,17,1
16,17,1
15,16,1
15,17,2
15,16,1
15,16,1
15,17,2
16,17,1
16,17,1
16,17,1
