t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.4,0.5163977794943222,10
3,0.7,0.6749485577105528,10
4,0.8,1.0327955589886446,10
5,1.2,1.0327955589886446,10
6,1.1,0.9944289260117531,10
7,1.1,1.1972189997378648,10
8,1.5,1.6499158227686108,10
9,1.5,1.6499158227686108,10
10,1.7,1.636391694484477,10
11,1.7,1.636391694484477,10
12,2.1,1.728840330651992,10
13,2.4,1.837873166945363,10
14,2.7,2.0027758514399734,10
15,2.9,2.0789954839350235,10
16,3.2,1.9321835661585918,10
17,3.4,2.3664319132398464,10
18,3.3,2.359378449224852,10
19,3.4,2.2705848487901865,10
20,3.6,2.716206504995115,10
21,3.6,2.4129281427805145,10
22,3.7,2.406010991015812,10
23,3.8,2.440400695696417,10
24,3.8,2.2997584414213788,10
25,3.9,2.5144029554194813,10
26,4.2,2.573367875415838,10
27,4.4,2.590581230363393,10
28,4.5,2.5055493963954847,10
29,4.7,2.8303906287138374,10
30,4.6,2.7568097504180447,10
31,4.7,2.9078437983419185,10
32,4.7,2.9832867780352594,10
33,4.9,3.0349812373573437,10
34,5.1,2.766867462592951,10
35,5.0,2.6246692913372702,10
36,5.0,2.748737083745107,10
37,5.2,2.7406406388125957,10
38,5.6,2.4585451886114367,10
39,5.7,2.6687491868330797,10
40,6.0,2.449489742783178,10
41,6.1,2.282785822435191,10
42,6.5,2.173067468400883,10
43,6.6,2.1705094128132942,10
44,6.9,2.330951164939612,10
45,7.0,2.309401076758503,10
46,7.3,2.3118054512532935,10
47,7.4,2.7968235951204043,10
48,7.3,3.0568684048294332,10
49,7.3,2.9078437983419185,10
50,7.3,3.4334951418181574,10
51,7.5,3.6285901761795403,10
52,7.6,3.7178249316263163,10
53,7.7,3.529242915351047,10
54,8.0,3.6514837167011076,10
55,8.1,3.725288952252936,10
56,8.1,3.446415206816755,10
57,8.1,3.6040101122068022,10
58,8.4,3.6575644598253874,10
59,8.4,3.6575644598253874,10
60,8.8,3.3928028399998595,10
61,8.6,3.3065591380365986,10
62,8.6,2.9514591494904874,10
63,8.8,3.190262963734773,10
64,8.9,3.1073389830457114,10
65,9.1,3.2812599206199238,10
66,9.1,3.5103022978402048,10
67,9.1,3.4785054261852175,10
68,9.3,3.4334951418181574,10
69,9.3,3.7727090178455764,10
70,9.6,3.7771241264574122,10
71,9.8,3.6453928305312844,10
72,9.8,3.7058512292499457,10
73,10.0,3.6514837167011076,10
74,10.0,3.7712361663282534,10
75,10.2,3.552776691859794,10
76,10.2,3.5839146815241634,10
77,10.5,3.13581462037113,10
78,10.4,3.0258148581093915,10
79,10.5,2.798809270624444,10
80,10.6,2.9514591494904874,10
81,10.4,3.098386676965933,10
82,10.2,3.1198290551460244,10
83,10.4,3.0983866769659336,10
84,10.4,2.988868236194653,10
85,10.0,3.39934634239519,10
86,10.0,3.366501646120693,10
87,10.3,3.591656999213594,10
88,10.4,3.1340424729448424,10
89,10.6,3.438345855527367,10
90,11.1,3.6040101122068027,10
91,11.0,3.711842908553348,10
92,11.3,3.5916569992135945,10
93,11.4,3.7178249316263163,10
94,11.6,3.864367132317183,10
95,12.0,3.9157800414902435,10
96,12.4,3.9496835316263,10
97,12.5,4.249182927993988,10
98,12.5,4.249182927993988,10
99,12.3,4.498147766951785,10
100,12.4,4.812021982031624,10
101,12.5,4.503085362035432,10
102,12.8,4.391911757866828,10
103,13.1,4.121757985239902,10
104,13.5,4.453463071962462,10
105,13.8,4.2895221179054435,10
106,14.1,4.458450154232722,10
107,14.2,4.638007234913623,10
108,14.3,4.522781838156198,10
109,14.5,4.766783215358364,10
110,14.5,4.8362060428489695,10
111,14.5,4.927248499698161,10
112,14.6,4.835057163858332,10
113,14.6,4.971027168615267,10
114,14.8,4.894441291460708,10
115,15.0,4.69041575982343,10
116,15.1,4.701063709417264,10
117,15.3,4.967673276069772,10
118,15.2,4.894441291460707,10
119,15.7,5.2925524193068805,10
120,15.5,5.400617248673217,10
121,15.6,5.481281277625191,10
122,15.7,6.000925854492047,10
123,15.8,6.232531142677463,10
124,15.8,6.232531142677463,10
125,16.3,6.236986451805071,10
126,16.4,5.966573556070519,10
127,16.6,5.660781257427675,10
128,16.6,5.680375574437545,10
129,16.6,5.929212051829109,10
130,16.4,6.1137368096588665,10
131,16.7,6.219146064997813,10
132,17.2,6.0332412515993425,10
133,17.5,6.114645442614713,10
134,17.5,6.041522986797286,10
135,17.7,5.638163609624049,10
136,17.7,5.696977756280566,10
137,18.0,5.354126134736337,10
138,18.0,5.206833117271103,10
139,18.4,4.926120853842978,10
140,18.6,5.274677451960663,10
141,18.7,5.271516754112509,10
142,18.6,5.440588203494178,10
143,18.8,5.513619500836089,10
144,18.8,5.769652406245015,10
145,19.1,5.820461990063828,10
146,19.4,5.777350411544878,10
147,19.5,5.816642788871716,10
148,19.5,5.930148958219065,10
149,19.5,5.816642788871716,10
150,19.8,5.652924513520021,10
151,20.0,5.773502691896258,10
152,19.5,5.6421036266035856,10
153,20.0,5.617433182117573,10
154,20.0,6.018490028422596,10
155,19.9,5.78215646046813,10
156,19.7,5.558776843874918,10
157,19.6,5.399588461684424,10
158,19.9,5.425249610233001,10
159,19.6,5.541760650832108,10
160,19.7,5.735852159879995,10
161,19.5,5.562773089426212,10
162,19.4,5.168279318217149,10
163,19.6,5.168279318217148,10
164,19.7,5.2925524193068805,10
165,19.5,5.54276304943863,10
166,19.5,5.873670062235365,10
167,19.4,5.94792213951879,10
168,19.4,5.541760650832108,10
169,19.6,5.501514942874069,10
170,19.1,5.70477382938574,10
171,18.9,5.586690532964137,10
172,18.6,5.274677451960662,10
173,18.7,5.437523946307425,10
174,18.6,5.481281277625191,10
