t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.4,0.5163977794943223,10
3,0.7,0.9486832980505139,10
4,0.9,1.1972189997378648,10
5,1.3,1.4181364924121764,10
6,1.2,1.4757295747452437,10
7,1.7,1.5670212364724212,10
8,2.1,1.8529256146249728,10
9,2.3,2.110818693198342,10
10,2.5,2.223610677354389,10
11,2.6,2.503331114069145,10
12,2.7,2.3118054512532935,10
13,2.9,2.2335820757001272,10
14,2.9,2.0248456731316584,10
15,3.0,2.1081851067789197,10
16,3.4,2.065591117977289,10
17,3.6,2.1705094128132942,10
18,3.8,2.3475755815545347,10
19,3.9,2.378141197564929,10
20,4.0,2.494438257849294,10
21,4.1,2.5144029554194813,10
22,4.2,2.5298221281347035,10
23,4.0,2.6246692913372702,10
24,3.9,2.766867462592951,10
25,4.3,2.79085809185793,10
26,4.5,3.2744804507314167,10
27,4.8,3.22490309931942,10
28,5.1,3.6040101122068027,10
29,4.9,3.665151201974256,10
30,5.0,3.496029493900505,10
31,5.1,3.6651512019742563,10
32,5.1,3.6651512019742563,10
33,5.0,3.39934634239519,10
34,5.0,3.6209268304000717,10
35,5.0,4.055175020198813,10
36,5.2,4.1311822359545785,10
37,5.2,4.1311822359545785,10
38,5.4,3.921450978627398,10
39,5.6,3.687817782917155,10
40,6.0,3.4641016151377544,10
41,6.1,3.4785054261852175,10
42,6.1,3.6040101122068027,10
43,6.1,3.5418137224371984,10
44,6.2,3.521363372331802,10
45,6.4,3.627058802329452,10
46,6.5,3.6590830666833583,10
47,6.4,3.657564459825388,10
48,6.5,3.689323936863109,10
49,6.6,3.7475918193480524,10
50,6.7,3.7133393177689658,10
51,6.7,3.465704994818675,10
52,6.8,3.9384147967311813,10
53,7.1,3.725288952252936,10
54,7.1,3.6953424138441564,10
55,7.2,4.077035960378842,10
56,7.3,3.8887301554906353,10
57,7.5,4.143267631552018,10
58,7.4,4.1952353926806065,10
59,7.8,4.442221666388715,10
60,7.9,4.280446497997869,10
61,8.0,4.346134936801766,10
62,7.9,4.306326095924976,10
63,7.7,4.110960958218892,10
64,7.9,4.2282121254470875,10
65,8.0,4.055175020198813,10
66,7.9,3.7549966711037177,10
67,8.1,3.8137179293236207,10
68,8.2,4.022160834399561,10
69,8.3,4.029061098237818,10
70,8.3,4.24394994210713,10
71,8.6,4.501851470969102,10
72,8.7,4.522781838156197,10
73,9.1,4.840798832148816,10
74,9.3,5.034326612809745,10
75,9.7,5.375872022286244,10
76,9.9,5.70477382938574,10
77,9.9,5.626327003965869,10
78,9.9,5.952590472502988,10
79,10.1,5.989806155275627,10
80,10.2,5.959119994689745,10
81,10.4,6.077280093375106,10
82,10.7,6.2012543533994435,10
83,10.6,6.186005711819758,10
84,10.8,6.214677966091423,10
85,11.0,6.306962642808167,10
86,11.1,6.471304179049056,10
87,11.4,6.850790708621402,10
88,11.6,6.449806198638839,10
89,11.6,6.619835513230085,10
90,12.2,6.713171133426189,10
91,12.2,6.713171133426189,10
92,12.3,6.945022198188666,10
93,12.9,6.624030327359454,10
94,13.0,6.582805886043833,10
95,13.4,6.586180818788517,10
96,13.4,6.785605679999718,10
97,13.4,6.449806198638839,10
98,13.6,6.603029607687671,10
99,14.0,6.666666666666667,10
100,14.0,6.377042156569663,10
101,14.4,6.203941399536982,10
102,14.5,6.168918507773916,10
103,14.9,6.261877602693231,10
104,14.9,5.989806155275626,10
105,15.1,6.063552314169201,10
106,15.3,5.963779562212764,10
107,15.6,5.834761729877617,10
108,15.7,6.147266781984403,10
109,15.8,6.051629716218783,10
110,16.1,6.2084172253839744,10
111,16.3,5.657836257007718,10
112,16.7,5.355163655555055,10
113,17.0,5.228129047119374,10
114,17.1,5.40473043833928,10
115,17.2,5.028805910838963,10
116,17.4,5.146735750831676,10
117,17.7,5.396500923952688,10
118,17.9,5.445691467165171,10
119,18.2,5.711586664161039,10
120,18.0,5.374838498865699,10
121,18.4,5.168279318217149,10
122,18.5,5.082650227325635,10
123,18.6,5.378971401051816,10
124,19.2,5.593647190240808,10
125,19.3,5.334374898294603,10
126,19.6,5.295700562196134,10
127,19.8,5.411920998027308,10
128,19.9,5.7242175593408975,10
129,19.9,5.7242175593408975,10
130,20.0,6.0553007081949835,10
131,20.5,5.797509043642029,10
132,20.6,5.719362823873925,10
133,20.5,5.816642788871716,10
134,20.9,5.724217559340897,10
135,20.7,5.538752366533259,10
136,21.0,5.517648452415616,10
137,21.0,5.617433182117573,10
138,21.0,5.617433182117573,10
139,21.1,5.626327003965869,10
140,21.1,5.300943312279428,10
141,21.0,5.270462766947299,10
142,21.0,5.033222956847166,10
143,20.8,5.00666222813829,10
144,20.9,4.976611966656298,10
145,20.9,5.152130088074683,10
146,21.0,5.163977794943222,10
147,21.2,5.202563470700445,10
148,21.4,5.295700562196134,10
149,21.4,5.232377832092956,10
150,21.5,5.126185499743233,10
151,21.4,5.274677451960662,10
152,21.5,5.317685377847939,10
153,21.6,5.521674464226308,10
154,21.8,5.116422361159972,10
155,21.9,5.342700108039421,10
156,22.2,5.329165037789691,10
157,22.5,5.441609239104836,10
158,22.7,5.313504806936128,10
159,22.6,5.521674464226308,10
160,22.4,5.621387729022079,10
161,22.5,5.7397251192408545,10
162,22.7,5.716448003592596,10
163,22.8,5.652924513520021,10
164,22.7,5.716448003592596,10
165,22.8,5.769652406245015,10
166,22.8,5.692099788303083,10
167,23.0,5.734883511361751,10
168,23.1,5.952590472502988,10
169,23.1,5.877452206904319,10
170,23.4,5.834761729877618,10
171,23.2,5.865151319446072,10
172,23.3,5.888784066153027,10
173,23.4,6.0955357070199785,10
174,23.5,5.930148958219065,10
175,23.7,5.716448003592596,10
176,23.5,5.50252467307306,10
177,23.5,5.6421036266035856,10
178,23.9,5.606543795720617,10
179,23.8,5.788878225624642,10
180,24.0,5.868938953886336,10
181,23.7,6.183310871477621,10
182,23.9,6.384877968032488,10
183,24.2,6.051629716218782,10
184,24.2,6.124631508189788,10
185,24.2,6.214677966091424,10
186,24.1,6.29726572057711,10
187,24.6,6.292853089020909,10
188,24.5,6.50213640104372,10
189,24.5,6.258327785172862,10
190,24.7,6.32543366980566,10
191,24.5,6.485025486114573,10
192,24.6,6.501281924871945,10
193,24.7,6.532823109328598,10
194,24.8,6.646636576327743,10
195,24.9,6.983313444681305,10
196,25.1,7.1250730990402245,10
197,25.5,6.980130530457308,10
198,25.5,6.786424357167444,10
199,25.6,6.834552736727629,10
200,25.8,6.941021378570864,10
201,25.7,7.103207413243369,10
202,25.8,7.177124153246279,10
203,25.8,6.892830413633511,10
204,25.9,7.400450436741447,10
205,25.8,7.208020224413605,10
206,25.7,7.1188326134119615,10
207,25.6,7.026932316294059,10
208,25.7,6.976946164173676,10
209,26.2,7.0992957397195395,10
210,26.1,7.309810759064378,10
211,26.3,7.02456008903365,10
212,26.1,7.156193898373012,10
213,26.4,7.011102306738618,10
214,26.6,7.026932316294058,10
215,26.9,6.919376979018976,10
216,27.1,6.951418720104711,10
217,26.9,6.871034209717712,10
218,26.9,6.871034209717712,10
219,26.9,6.854844191437825,10
220,26.7,6.750308634919344,10
221,27.0,6.582805886043833,10
222,26.9,6.640783086353596,10
223,26.9,6.505553183413553,10
224,27.0,6.69991708074726,10
225,27.1,6.806043066438988,10
226,27.2,6.941021378570864,10
227,27.3,6.896859188548557,10
228,27.3,6.684143758012524,10
229,27.3,6.650814486462041,10
230,27.6,6.785605679999719,10
231,28.1,7.1250730990402245,10
232,27.9,7.294594650226365,10
233,28.4,7.29078566106257,10
234,28.6,7.501111028818777,10
235,28.7,7.424434134816082,10
236,28.6,7.486283753935891,10
237,28.6,7.29078566106257,10
238,28.8,7.495183638696105,10
239,29.0,7.52772652709081,10
240,29.3,7.46919600016554,10
241,29.3,7.4244341348160825,10
242,29.3,7.513691207093592,10
243,29.3,7.4244341348160825,10
244,29.5,7.245688373094719,10
245,29.4,7.214183560490019,10
246,29.5,7.05927286151579,10
247,29.8,7.284687135812126,10
248,29.7,7.227263198011633,10
249,29.8,7.004760286167305,10
250,29.9,6.707375708046246,10
251,29.8,6.356099432828282,10
252,29.9,6.505553183413554,10
253,29.8,6.1064628786957265,10
254,30.0,6.306962642808167,10
255,30.2,6.390965845976995,10
256,30.4,6.51835016617617,10
257,30.2,6.408327915038889,10
258,30.4,6.380525927469546,10
259,30.5,6.168918507773916,10
260,30.6,6.4152595859836845,10
261,30.5,6.72061505121865,10
262,30.7,6.76674876797483,10
263,31.1,6.6907896893167,10
264,31.1,6.505553183413554,10
265,31.4,6.636598861197236,10
266,31.7,6.684143758012524,10
267,32.1,6.756889488185785,10
268,32.4,6.88315173287483,10
269,32.7,6.8321137122985425,10
270,32.7,7.071853442423076,10
271,32.8,7.03641322771134,10
272,33.2,7.2080202244136045,10
273,33.2,7.130529043797834,10
274,32.8,7.4803446147591055,10
275,32.6,7.604092465391398,10
276,32.7,7.645623294117724,10
277,32.9,7.665941994736633,10
278,33.1,7.978443178688155,10
279,33.3,8.124722217473723,10
280,33.5,8.23609940040389,10
281,33.5,8.23609940040389,10
282,33.7,8.499019551297275,10
283,34.0,8.602325267042627,10
284,34.2,8.866917289691058,10
285,34.0,8.844332774281067,10
286,34.1,8.862530363527362,10
287,34.1,8.736259051918173,10
288,34.3,8.90754985641082,10
289,34.5,8.669871202426636,10
290,34.7,8.446564061465729,10
291,34.6,8.369255907453448,10
292,34.8,8.121302577515232,10
293,35.0,8.192137151629671,10
294,34.9,8.279157230325103,10
295,35.1,8.425490424235784,10
296,35.0,8.366600265340756,10
297,35.0,7.958224257542215,10
298,35.1,7.950541560869367,10
299,35.2,8.038794823990857,10
300,35.4,7.988881162104129,10
301,35.6,8.099382692526634,10
302,35.7,8.152027695951208,10
303,36.1,7.894442489639292,10
304,36.2,8.011103405759894,10
305,36.8,7.64198926981712,10
306,36.7,7.660142151277467,10
307,36.6,7.58946638440411,10
308,36.5,7.633988327065858,10
309,36.4,7.720103626247513,10
310,36.6,7.7631608682718065,10
311,36.6,7.73448267321236,10
312,36.7,7.972870666621067,10
313,36.9,8.319321553534946,10
314,37.0,8.259674462242579,10
315,36.9,8.332666639997866,10
316,36.8,8.702490065109718,10
317,37.1,8.887569346502389,10
318,37.3,9.177871939253311,10
319,37.4,9.547541859324607,10
320,37.3,9.649985607358294,10
321,37.4,9.617114374327098,10
322,37.5,9.958246164193104,10
323,37.7,10.165846961490441,10
324,37.9,10.36500522591925,10
325,38.1,10.514011814927946,10
326,38.0,10.603982480391243,10
327,38.1,10.733643887846807,10
328,38.2,10.757942802103631,10
329,38.1,10.959014554237987,10
330,38.0,10.770329614269007,10
331,38.1,10.577229210798913,10
332,38.2,10.674996747332319,10
333,38.2,10.932113753117973,10
334,38.1,11.029757728778792,10
335,38.2,10.809460876678562,10
336,38.6,10.936178491593854,10
337,38.7,11.146000777558438,10
338,38.6,11.05742586078092,10
339,38.7,10.791457526930992,10
340,38.7,10.975224624378107,10
341,38.9,10.836666154003884,10
342,39.0,10.85254706406647,10
343,39.2,10.982814858779248,10
344,38.9,10.6921570425346,10
345,38.9,10.660935960578486,10
346,39.2,10.881176406988356,10
347,39.2,11.173381065928275,10
348,39.3,11.195733314278453,10
349,39.1,11.140017953306897,10
350,39.2,11.103552984918336,10
351,39.2,10.840254199561517,10
352,39.4,10.976743091139962,10
353,39.3,11.21556458181615,10
354,39.4,11.236844159579087,10
355,39.5,11.098047876390995,10
356,39.6,11.127543404643374,10
357,39.7,11.155965021259053,10
358,39.8,11.477514248883915,10
359,40.1,11.64712649349854,10
360,40.1,11.64712649349854,10
361,40.1,11.608904628201003,10
362,40.1,11.656662377274971,10
363,40.2,11.970333699980502,10
364,40.6,11.927559124425528,10
365,41.0,11.972189997378647,10
366,41.0,11.972189997378647,10
367,41.0,11.972189997378647,10
368,41.3,12.000462954032695,10
369,41.5,12.122064363978788,10
370,41.7,12.1385519912568,10
371,41.9,12.529520696694222,10
372,42.0,12.265579661982732,10
373,42.3,12.320263344948795,10
374,42.5,12.589678312014172,10
375,42.6,12.615686884016881,10
376,42.7,12.579083167438448,10
377,42.9,12.573782247199924,10
378,42.8,12.488216668346027,10
379,43.1,12.458375139283257,10
380,43.0,12.788884062167252,10
381,43.2,12.407882799073963,10
382,43.2,12.363027317143823,10
383,43.3,12.490440789304078,10
384,43.9,12.78410471379726,10
385,44.1,13.042239071570496,10
386,44.0,13.00427280208744,10
387,44.1,12.879354711233704,10
388,44.4,12.971764207950539,10
389,44.5,12.972192481526697,10
390,44.7,12.84998919152161,10
391,44.7,12.67587384671281,10
392,44.8,12.281874630708637,10
393,44.8,12.398924684557661,10
394,44.8,12.425779653607252,10
395,44.8,12.514880032274469,10
396,45.1,12.502888555138856,10
397,45.1,12.386820953470398,10
398,45.2,12.15456018675021,10
399,45.2,12.620970203945847,10
400,45.2,12.523755205386458,10
401,45.1,12.582615873586152,10
402,45.1,12.78410471379726,10
403,45.4,13.023056476879766,10
404,45.7,13.030306553910728,10
405,46.1,12.991022541226949,10
406,46.2,12.743625857659193,10
407,46.2,12.717442090818947,10
408,46.6,12.91166569854994,10
409,46.6,12.928865207571604,10
410,47.0,12.858201014657274,10
411,47.1,12.905209972892516,10
412,47.4,12.937456387473457,10
413,47.6,12.825322174857398,10
414,48.1,12.705641791477253,10
415,48.1,12.53838550655989,10
416,48.0,12.649110640673518,10
417,48.4,12.764534199622537,10
418,48.6,12.790621564255586,10
419,48.7,12.80668228352336,10
420,48.6,12.37560324006695,10
421,48.9,12.24245799575305,10
422,49.2,12.099586769803338,10
423,49.4,12.048051940274643,10
424,49.4,12.249263016379576,10
425,49.7,12.631970023185879,10
426,49.8,12.559193180030846,10
427,50.0,12.525529485370624,10
428,50.0,12.463279397226612,10
429,50.3,12.193349735727988,10
430,50.4,12.130768959779738,10
431,50.5,11.983785341498367,10
432,50.6,12.01110597183568,10
433,51.1,11.873874215642044,10
434,51.3,12.00971828700962,10
435,51.2,12.15456018675021,10
436,51.1,12.287753614428022,10
437,51.1,12.269655432995846,10
438,51.0,12.418624006798105,10
439,51.0,12.463279397226612,10
440,51.2,12.43471842150928,10
441,51.2,12.318008497047456,10
442,51.4,12.285492799775406,10
443,51.2,12.200182148002728,10
444,51.2,12.726175998922676,10
445,51.5,12.91209596549771,10
446,51.7,12.789318459818986,10
447,51.9,12.818822965554295,10
448,51.7,12.824022596500505,10
449,51.6,12.833982667555349,10
450,51.9,12.696893758361181,10
451,52.1,12.696893758361181,10
452,52.1,12.853447440710648,10
453,52.1,12.853447440710648,10
454,52.3,12.858633070604528,10
455,52.4,12.816655830077776,10
456,52.7,12.867271142968375,10
457,52.9,13.11021654198655,10
458,52.8,13.248060654718907,10
459,53.0,13.165611772087667,10
460,53.1,13.008117123977286,10
461,53.4,12.729667884294722,10
462,53.4,12.825322174857398,10
463,53.6,13.326664999166145,10
464,53.8,13.121653012398163,10
465,54.1,13.502674632169073,10
466,53.9,13.535549900580733,10
467,54.3,13.581441586059837,10
468,54.6,13.82590161817867,10
469,54.7,13.63858904399979,10
470,54.7,13.342080464122194,10
471,55.0,13.457752825457566,10
472,55.1,13.658127413538228,10
473,55.0,13.670731102939918,10
474,55.1,13.755402978870197,10
475,55.4,13.696714934611146,10
476,55.6,14.049120178067302,10
477,55.5,14.017845768876187,10
478,55.6,13.961852790132596,10
479,55.6,13.961852790132596,10
480,55.7,14.00039681977304,10
481,56.0,13.880441875771343,10
482,55.9,13.939950581771164,10
483,56.2,13.97458009705082,10
484,56.6,14.237665226823923,10
485,56.6,14.237665226823923,10
486,56.6,14.182931839205727,10
487,56.8,14.187631546135137,10
488,57.3,14.298795598075928,10
489,57.5,14.477952586989332,10
490,57.7,14.825278712013777,10
491,58.1,15.029230777979881,10
492,57.7,14.712428608341844,10
493,57.9,14.85821882550754,10
494,58.3,15.041054927541927,10
495,57.9,15.080892988591005,10
496,57.8,14.913081505845797,10
497,57.4,15.363737971094288,10
498,57.6,15.196490822993752,10
499,57.4,15.01998668441487,10
500,57.6,15.01998668441487,10
501,57.7,14.870178957303176,10
502,58.3,14.41488428288236,10
503,58.7,14.306564149989955,10
504,59.0,14.313940369055926,10
505,58.9,14.090579989640045,10
506,58.7,14.329844536646043,10
507,59.1,14.12995242580652,10
508,59.2,13.9427400463467,10
509,59.0,13.759844960366863,10
510,59.0,13.936363306911248,10
511,58.9,13.963842196504833,10
512,59.0,13.98411797560202,10
