t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.5,0.7071067811865476,10
4,0.7,0.6749485577105528,10
5,0.6,0.699205898780101,10
6,0.5,0.5270462766947299,10
7,0.6,0.699205898780101,10
8,0.7,0.8232726023485646,10
9,0.9,0.9944289260117534,10
10,0.7,0.9486832980505138,10
11,0.8,1.0327955589886446,10
12,0.9,1.1972189997378648,10
13,0.9,1.1972189997378648,10
14,0.8,1.1352924243950935,10
15,0.9,1.3703203194062978,10
16,0.8,1.1352924243950935,10
17,0.8,1.0327955589886446,10
18,0.8,1.0327955589886446,10
19,1.0,1.1547005383792515,10
20,1.1,1.5951314818673867,10
21,1.2,1.6193277068654823,10
22,1.3,1.828782229912694,10
23,1.3,1.828782229912694,10
24,1.5,2.0138409955990952,10
25,1.7,2.1628170930011112,10
26,1.8,2.14993539954628,10
27,2.2,2.14993539954628,10
28,2.1,2.2335820757001272,10
29,1.9,2.2335820757001272,10
30,1.9,2.2827858224351907,10
31,2.1,2.282785822435191,10
32,2.6,2.5473297566057065,10
33,2.5,2.3687784005919825,10
34,2.5,2.3687784005919825,10
35,2.7,2.5407785333546005,10
36,2.8,2.9363620727393656,10
37,2.8,2.780887148615228,10
38,3.0,2.8674417556808756,10
39,2.7,2.8693785622209793,10
40,2.8,2.898275349237888,10
41,2.8,2.6583202716502514,10
42,2.9,3.1073389830457114,10
43,2.7,3.0203016773531455,10
44,2.9,2.726414006223804,10
45,2.5,2.5495097567963922,10
46,2.3,2.496664441476534,10
47,2.2,2.485513584307633,10
48,2.1,2.378141197564929,10
49,2.4,2.590581230363393,10
50,2.3,2.406010991015812,10
51,2.1,2.1317702607092643,10
52,2.2,2.1499353995462798,10
53,2.1,2.1317702607092643,10
54,1.9,2.1317702607092643,10
55,2.0,2.1081851067789197,10
56,1.9,2.378141197564929,10
57,1.9,2.378141197564929,10
58,1.9,2.378141197564929,10
59,1.9,2.1317702607092643,10
60,2.0,2.1081851067789197,10
61,2.0,2.3570226039551585,10
62,1.9,2.183269719175042,10
63,1.8,2.3944379994757297,10
64,1.5,2.223610677354389,10
65,1.4,2.2705848487901865,10
66,1.4,2.2211108331943574,10
67,1.4,2.3190036174568114,10
68,1.4,2.3190036174568114,10
69,1.6,2.2211108331943574,10
70,1.6,2.3190036174568114,10
71,1.7,2.2135943621178655,10
72,1.7,2.1108186931983415,10
73,1.8,2.043961295567452,10
74,1.7,2.0575065816014617,10
75,2.0,1.9436506316151,10
76,1.9,1.9692073983655907,10
77,1.8,2.0976176963403033,10
78,1.6,1.7126976771553504,10
79,1.7,1.8287822299126937,10
80,1.9,1.8529256146249728,10
81,1.8,1.3165611772087666,10
82,1.7,1.4181364924121764,10
83,1.7,1.4181364924121764,10
84,1.8,1.2292725943057183,10
85,1.8,1.3165611772087666,10
86,1.8,1.2292725943057181,10
87,1.9,1.3703203194062978,10
88,1.9,1.3703203194062978,10
89,1.9,1.3703203194062978,10
90,2.2,1.398411797560202,10
91,2.2,1.398411797560202,10
92,2.2,1.398411797560202,10
93,2.2,1.3165611772087666,10
94,2.1,1.3703203194062978,10
95,1.9,1.449137674618944,10
96,2.2,1.3984117975602022,10
97,2.2,1.4757295747452437,10
98,2.2,1.7511900715418263,10
99,2.5,1.7795130420052185,10
100,2.4,1.837873166945363,10
101,2.3,1.636391694484477,10
102,2.1,1.7919573407620815,10
103,2.1,1.728840330651992,10
104,2.0,1.7638342073763937,10
105,2.3,1.8287822299126937,10
106,2.3,1.9465068427541912,10
107,2.2,1.8135294011647258,10
108,2.3,1.766981104093143,10
109,2.3,2.057506581601462,10
110,2.4,2.0110804171997807,10
111,2.5,1.90029237516523,10
112,2.5,2.1213203435596424,10
113,2.4,2.0110804171997807,10
114,2.5,2.1213203435596424,10
115,2.2,1.9321835661585918,10
116,2.5,2.1213203435596424,10
117,2.5,2.1213203435596424,10
118,2.5,2.1213203435596424,10
119,2.6,2.3190036174568114,10
120,2.5,2.3687784005919825,10
121,2.4,2.2705848487901865,10
122,2.4,2.0110804171997807,10
123,2.5,2.1213203435596424,10
124,2.6,2.0110804171997807,10
125,2.6,2.0110804171997807,10
126,2.5,2.068278940998476,10
127,2.4,1.955050439815357,10
128,2.4,2.065591117977289,10
129,2.3,1.9465068427541912,10
130,2.5,2.1213203435596424,10
131,2.4,2.0655911179772892,10
132,2.5,1.9578900207451218,10
133,2.7,1.888562063228706,10
134,2.7,2.110818693198342,10
135,2.8,2.0976176963403033,10
136,2.7,2.0027758514399734,10
137,2.5,2.068278940998476,10
138,2.4,1.8973665961010275,10
139,2.6,1.6465452046971292,10
140,2.8,1.6193277068654826,10
141,2.7,1.6363916944844772,10
142,2.8,1.8135294011647258,10
143,2.9,1.8529256146249728,10
144,2.6,1.8973665961010275,10
145,2.6,1.9550504398153572,10
146,2.6,2.0655911179772892,10
147,2.7,2.2632326929023945,10
148,2.5,2.173067468400883,10
