t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.4830458915396479,10
3,0.4,0.6992058987801011,10
4,0.5,0.7071067811865476,10
5,0.7,0.8232726023485646,10
6,0.7,0.6749485577105528,10
7,0.8,1.0327955589886446,10
8,1.2,1.3165611772087666,10
9,1.2,1.2292725943057183,10
10,1.1,1.449137674618944,10
11,0.9,1.449137674618944,10
12,1.2,1.8737959096740262,10
13,1.3,2.110818693198342,10
14,1.4,2.1186998109427604,10
15,1.5,2.3213980461973533,10
16,1.5,2.223610677354389,10
17,1.7,2.110818693198342,10
18,1.7,1.9465068427541912,10
19,1.5,1.90029237516523,10
20,1.7,2.0575065816014617,10
21,1.9,2.378141197564929,10
22,2.1,2.378141197564929,10
23,2.1,2.378141197564929,10
24,2.1,2.5144029554194813,10
25,2.2,2.440400695696417,10
26,2.3,2.359378449224852,10
27,2.4,2.170509412813294,10
28,2.1,2.378141197564929,10
29,2.1,2.282785822435191,10
30,2.2,2.2997584414213788,10
31,2.4,2.590581230363393,10
32,2.6,2.6331223544175333,10
33,2.4,2.1705094128132942,10
34,2.2,2.2997584414213788,10
35,2.5,2.6352313834736494,10
36,2.6,2.503331114069145,10
37,2.5,2.4608038433722332,10
38,2.7,2.496664441476534,10
39,2.8,2.440400695696417,10
40,3.0,2.449489742783178,10
41,2.8,2.2010098692292237,10
42,2.8,2.2010098692292237,10
43,2.6,2.1186998109427604,10
44,3.0,2.1081851067789197,10
45,2.7,2.2135943621178655,10
46,2.4,2.3664319132398464,10
47,2.4,2.2705848487901865,10
48,2.2,2.2997584414213788,10
49,2.1,2.2335820757001272,10
50,2.0,2.309401076758503,10
51,2.2,1.9888578520235063,10
52,2.2,2.1499353995462798,10
53,2.4,1.837873166945363,10
54,2.3,1.7669811040931427,10
55,2.5,2.068278940998476,10
56,2.4,1.9550504398153572,10
57,2.2,1.8737959096740262,10
58,2.2,1.8737959096740262,10
59,2.3,1.8287822299126937,10
60,2.4,1.7126976771553504,10
61,2.5,1.7159383568311668,10
62,2.4,1.8973665961010275,10
63,2.3,1.766981104093143,10
64,2.2,1.8737959096740262,10
65,2.4,1.8973665961010275,10
66,2.5,2.0138409955990952,10
67,2.6,2.2211108331943574,10
68,2.7,2.4517567397911053,10
69,2.6,2.3664319132398464,10
70,2.7,2.4060109910158114,10
71,2.8,2.485513584307633,10
72,2.7,2.496664441476534,10
73,2.8,2.485513584307633,10
74,2.6,2.503331114069145,10
75,2.5,2.4608038433722332,10
76,2.4,2.4585451886114362,10
77,2.3,2.359378449224852,10
78,2.3,2.359378449224852,10
79,2.4,2.503331114069145,10
80,2.3,2.5407785333546005,10
81,2.0,2.3570226039551585,10
82,2.3,2.359378449224852,10
83,2.1,2.282785822435191,10
84,2.3,2.263232692902394,10
85,2.5,2.3687784005919825,10
86,2.5,2.3687784005919825,10
87,2.7,2.540778533354601,10
88,2.7,2.540778533354601,10
89,2.6,2.590581230363393,10
90,2.8,2.780887148615228,10
91,2.7,2.7908580918579307,10
92,2.9,2.6853512081497106,10
93,3.0,2.6666666666666665,10
94,2.9,2.884826203122507,10
95,2.8,2.616188916046478,10
96,2.8,2.7406406388125957,10
97,3.0,2.788866755113585,10
98,3.2,3.119829055146024,10
99,3.4,3.062315754094894,10
100,3.2,3.0840089349921005,10
101,3.3,3.1287200080686173,10
102,3.3,3.3015148038438356,10
103,3.4,3.438345855527367,10
104,3.4,3.6878177829171546,10
105,3.5,3.5978388574871505,10
106,3.6,3.8064273129653867,10
107,3.7,3.8311588035185618,10
108,4.0,4.189935029992179,10
