t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.3,0.6749485577105528,10
5,0.4,0.6992058987801011,10
6,0.4,0.6992058987801011,10
7,0.4,0.6992058987801011,10
8,0.7,0.9486832980505137,10
9,0.7,0.9486832980505137,10
10,0.6,1.3498971154211057,10
11,0.7,1.3374935098492586,10
12,1.0,1.5634719199411433,10
13,1.2,1.6193277068654823,10
14,1.2,1.6865480854231356,10
15,1.6,1.837873166945363,10
16,1.8,1.8737959096740262,10
17,1.7,1.8885620632287057,10
18,1.6,1.8973665961010278,10
19,1.3,1.9465068427541912,10
20,1.4,2.065591117977289,10
21,1.7,2.1108186931983415,10
22,2.0,2.211083193570267,10
23,2.0,2.211083193570267,10
24,2.4,2.5905812303633926,10
25,2.5,2.5495097567963922,10
26,2.6,2.6331223544175333,10
27,2.6,2.3190036174568114,10
28,2.5,2.6770630673681683,10
29,2.3,2.5407785333546005,10
30,2.4,2.6331223544175333,10
31,2.5,2.798809270624444,10
32,2.4,2.6331223544175333,10
33,2.4,2.503331114069145,10
34,2.4,2.412928142780514,10
35,2.9,2.514402955419481,10
36,3.0,2.581988897471611,10
37,3.1,2.766867462592951,10
38,3.2,3.0840089349921005,10
39,3.2,3.0840089349921005,10
40,3.7,3.2676869155073254,10
41,3.6,3.238655413730965,10
42,3.7,3.683295625749672,10
43,3.6,3.4383458555273676,10
44,3.7,3.622460796505909,10
45,3.5,3.5978388574871505,10
46,3.3,3.4657049948186747,10
47,3.3,3.529242915351047,10
48,3.3,3.497618237219913,10
49,3.4,3.470510689285432,10
50,3.6,3.596294389136314,10
51,3.7,3.0930028559098792,10
52,3.9,3.634709219609061,10
53,3.7,3.622460796505909,10
54,3.7,3.1640339933558095,10
55,3.9,3.2472210341220142,10
56,3.7,2.9458068127047605,10
57,3.2,2.898275349237888,10
58,3.0,2.788866755113585,10
59,3.4,2.7568097504180447,10
60,3.3,2.496664441476534,10
61,3.2,2.3475755815545347,10
62,3.2,2.573367875415838,10
63,3.2,2.7406406388125957,10
64,2.8,2.485513584307633,10
65,2.6,2.913569784454954,10
66,2.7,2.6267851073127395,10
67,2.8,2.3944379994757297,10
68,2.6,2.4585451886114367,10
69,2.1,2.4698178070456938,10
70,2.6,2.3664319132398464,10
71,2.7,2.5407785333546005,10
72,2.9,2.4244128727957577,10
73,3.0,2.309401076758503,10
74,2.8,2.2997584414213783,10
75,2.5,2.223610677354389,10
76,2.4,2.065591117977289,10
77,2.2,2.440400695696417,10
78,2.2,2.2997584414213788,10
79,2.2,2.097617696340303,10
80,2.0,2.4037008503093262,10
81,2.2,2.2997584414213788,10
82,2.6,2.270584848790187,10
83,2.4,2.590581230363393,10
84,2.7,2.4517567397911053,10
85,2.7,2.4517567397911053,10
86,2.9,2.7264140062238043,10
87,3.0,2.8284271247461903,10
88,2.7,2.9458068127047605,10
89,2.8,3.2591750830880843,10
90,2.9,3.3813212407775355,10
91,3.4,3.438345855527367,10
92,3.7,3.4009802508492557,10
93,3.8,3.2930904093942583,10
94,3.7,3.653004851412662,10
95,3.5,3.4075080500434787,10
96,3.6,3.3065591380365986,10
97,4.0,3.3333333333333335,10
98,4.1,3.0713731999438516,10
99,4.2,3.3928028399998595,10
100,4.1,3.8715486421958962,10
101,4.2,3.552776691859794,10
102,4.2,3.4896672875473067,10
103,4.2,3.2249030993194197,10
104,4.4,3.2041639575194445,10
105,4.0,3.39934634239519,10
106,4.1,3.4140233677518315,10
107,3.8,3.32665998663324,10
108,3.9,3.142893217686178,10
109,4.0,3.2998316455372216,10
110,4.5,3.3747427885527643,10
111,5.0,3.2317865716108862,10
112,5.0,3.5901098714230026,10
113,5.0,3.2998316455372216,10
114,5.1,3.6040101122068022,10
115,5.2,3.9101008796307144,10
116,5.2,3.7653389990514503,10
117,5.3,3.4009802508492557,10
118,5.6,3.5339622081862854,10
119,5.6,3.3730961708462712,10
120,5.8,3.259175083088085,10
121,5.8,3.3928028399998595,10
122,6.0,3.6514837167011076,10
123,6.3,3.8600518131237567,10
124,6.2,3.9665266081716046,10
125,5.9,3.7549966711037177,10
126,5.6,3.7771241264574114,10
127,5.9,3.573047252229764,10
128,6.0,3.559026084010437,10
129,6.2,3.425395354310701,10
130,6.6,3.7178249316263163,10
131,7.2,3.852848873813304,10
132,7.2,3.9665266081716046,10
133,7.7,3.917198545446024,10
134,7.7,4.2176876234364356,10
135,7.6,4.3256341860022225,10
136,7.5,4.478342947514801,10
137,7.7,4.321779468896785,10
138,7.8,4.211096452627668,10
139,7.6,4.221637386396684,10
140,7.6,4.005551702879947,10
141,8.0,3.7712361663282534,10
142,7.8,3.7058512292499453,10
143,8.0,3.7416573867739413,10
144,8.0,3.4641016151377544,10
145,8.0,3.80058475033046,10
146,7.8,3.938414796731181,10
147,7.9,4.067486256208427,10
148,8.2,4.237399621885521,10
149,7.9,4.408325456829762,10
150,7.7,4.423422506008969,10
151,7.8,4.077035960378841,10
152,8.1,3.9001424475410014,10
153,8.1,3.665151201974256,10
