t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.11125001355693154,0.282418254761085,10
3,0.2447500304930758,0.5594546584065636,10
4,0.4227500417032234,0.8420448314621097,10
5,0.6007500582353228,0.9266381981973193,10
6,0.7787500639709346,1.0963127640463228,10
7,0.7787500685806159,1.0963127746058645,10
8,1.0235000839358206,1.4235363643591097,10
9,1.246000093837647,1.6119950247144865,10
10,1.6242501156376767,1.7076059237159378,10
11,1.802250121335143,1.898000165786441,10
12,2.113750133515579,2.170563212547976,10
13,2.5587501348167514,2.114075243318787,10
14,2.9370001318965757,2.143917010239487,10
15,3.4265001300059916,2.3127635340944845,10
16,3.8270001296775744,2.2902973845686456,10
17,4.138500129066037,2.1346604333715926,10
18,4.472250131910002,1.9830396910976833,10
19,4.6057501360923165,2.0528229426641373,10
20,4.806000142459961,2.042480523357558,10
21,5.117500139926841,2.205133546282216,10
22,5.473500138908872,2.1754993851701694,10
23,5.985250136862868,2.2285818564813447,10
24,6.608250138768431,2.515223403311997,10
25,7.075500146061733,2.5037155307055015,10
26,7.587250147550361,2.408875783272261,10
27,7.809750140049422,2.413438489585054,10
28,8.143500148253489,2.556760693061785,10
29,8.499500147273665,2.677817251213645,10
30,8.788750141246894,2.5374323273188604,10
31,9.27825013470976,2.4442390011565998,10
32,9.767750134740755,2.334660187937921,10
33,10.27950013818911,2.340190463662606,10
34,10.746750135552055,2.4954631110046326,10
35,11.191750136815083,2.751273441860296,10
36,11.636750138078108,2.8340013955764665,10
37,12.237500141847732,3.1326089523163714,10
38,12.704750139172534,3.2842520678728238,10
39,13.105250138920406,3.330818298014355,10
40,13.528000134691911,3.60422528374748,10
41,14.15100013663562,3.8726080738801403,10
42,14.440250138754275,4.04388603605044,10
43,14.90750013607907,4.1307570705030185,10
44,15.419250137529554,4.055567309631382,10
45,15.864250142154807,4.096055155568869,10
46,16.242500139196487,4.0008774795448545,10
47,16.487250141757332,4.079099220842439,10
48,16.709750133772996,4.240426842272307,10
49,17.199250146074434,4.521186835092747,10
50,17.933500161687125,4.446537515504537,10
51,18.62325017117626,4.612725428349918,10
52,19.135000195349075,4.732739915377461,10
53,19.580000219296288,4.693056534069974,10
54,20.025000223921545,4.897246865046248,10
55,20.581250231574256,5.061025840533913,10
56,21.093000235060764,5.078981746560442,10
57,21.538000238858036,5.202039541570724,10
58,21.938500243927855,5.163193258862182,10
59,22.53925024721409,5.065154291925736,10
60,22.761750239191613,4.98635016406604,10
61,23.295750238256492,5.002870062261504,10
62,23.674000232778756,5.047912037996376,10
63,24.31925023074609,5.246524959011273,10
64,24.69750022774963,5.382068001642115,10
65,25.231500225300028,5.543381516587682,10
66,25.787750232874068,5.624406007548745,10
67,26.321750232422346,5.505395126642603,10
68,26.78900022974715,5.675761259202758,10
69,27.056000230367637,5.570109142123714,10
70,27.478750233532867,5.478552542045208,10
71,28.035000231178934,5.562994309872053,10
72,28.613500229495184,5.480510080568485,10
73,29.192000223241177,5.60122842016782,10
74,29.50350020010176,5.820264227717309,10
75,29.859500201005375,5.881935642330822,10
76,30.304500207628507,6.163245467186504,10
77,31.105500208140587,6.2448156466126346,10
78,31.63950020768886,6.0914270691847605,10
79,32.24025020946061,6.209171971645511,10
80,32.86325021672627,6.331635690384608,10
81,33.33050021405107,6.406557648803906,10
82,33.931250217858846,6.340490877139527,10
83,34.28725021880061,6.217139938683835,10
84,34.99925021899141,6.308135458287613,10
85,35.399750212094865,6.382169816440884,10
86,35.84475021132187,6.353663978285117,10
87,36.17850021412769,6.681753947039856,10
88,36.779250215899445,6.658539377793402,10
89,37.224250214338994,6.6403400733705755,10
90,37.936250216044286,6.623087453986077,10
91,38.60375021667968,6.429227632792414,10
92,39.04875022047695,6.693310515115149,10
93,39.649500222248705,6.791658347661823,10
94,40.27250022133079,7.014143632373193,10
95,40.806500220879066,7.0260538036461115,10
96,41.318250234295924,7.318901023691789,10
97,41.830000230388706,7.3526066714235405,10
98,42.40850023070281,7.297185914548036,10
99,43.25400023198074,7.2692414233203495,10
100,43.743500229975716,7.323521748149415,10
101,44.21075022530265,7.441138355970447,10
102,44.76700022751898,7.269695422834954,10
103,45.167500227190565,7.133892656311037,10
104,45.523500218740715,6.996240327770679,10
105,45.879500210290864,6.834449224558669,10
106,46.54700021628397,6.705257287662185,10
107,46.81400020751285,7.016652671761861,10
108,47.348000209059,7.01163362116156,10
109,47.70400020796474,7.072093991888827,10
110,48.41600021272582,7.069760194090362,10
111,48.97225021037188,6.99958102713146,10
112,49.66200020710719,7.025740592827539,10
113,50.06250020021063,7.0313754599392295,10
114,50.70775020075036,7.120347592028102,10
115,51.15275019719205,7.189539261455756,10
116,51.70900019483811,7.346768897773388,10
117,52.265250192484174,7.301142302728524,10
118,52.71025018235773,7.363409142055757,10
119,53.266500189931776,7.398250419307265,10
120,53.711500191156645,7.545487862684419,10
121,54.44575018744738,7.6446011720275555,10
122,54.97975018499777,7.417000351621002,10
123,55.380250178101235,7.230736456422451,10
124,55.86975017809408,7.215505664320436,10
125,56.58175017828488,7.216725291524909,10
126,56.871000172969275,7.17709564667589,10
127,57.20475016642164,7.3334669932030465,10
128,57.6942501664145,7.031414536954773,10
129,58.183750157841345,6.786351221889123,10
130,58.71775015938748,7.0590537349487645,10
131,59.31850015580153,7.071316113473509,10
132,60.008250152536824,7.1107617130515015,10
133,60.38650014954036,6.941778042722382,10
134,60.98725015330999,7.008220130618892,10
135,61.52125015285825,6.888522288887893,10
136,61.96625014472968,7.085343085587949,10
137,62.58925014659709,7.173914279461466,10
138,63.27900013676426,7.127875759451658,10
139,63.99100013895294,6.9938811831075505,10
140,64.63625013692027,6.9758076387680426,10
141,65.30375014012806,6.938647342683772,10
142,65.63750013557828,6.897101157795204,10
143,66.127000129003,6.748596049346339,10
144,66.68325012664906,6.66266861701204,10
145,67.26175013232091,6.9059083066111056,10
146,67.37300012836063,7.101279112267138,10
147,68.01825012632796,6.933730456803891,10
148,68.48550012086743,6.808645317842846,10
149,69.10850011338138,6.584730246606752,10
150,69.50900010648482,6.422336473935111,10
151,70.17650011247794,6.549550675500849,10
152,70.62150011170492,6.709685696518509,10
153,71.177750109351,6.95068685221023,10
154,71.77850011112274,6.962350043886665,10
155,72.17900010422618,7.108556659976608,10
156,72.77975010599793,7.3154428779846565,10
157,73.18025009910139,7.107976274832145,10
158,73.73650009674743,7.281338578008563,10
159,74.31500010241928,7.599821694550203,10
160,74.67100010332288,7.717040646311035,10
161,75.40525010161147,7.509864719310001,10
162,75.98375009535746,7.663430183831681,10
163,76.38425009303117,7.574482894784452,10
164,76.96275008677715,7.667879166823646,10
165,77.67475008896582,7.578403443102226,10
166,78.34225008960121,7.644888913818417,10
167,78.89850009717526,7.476647336483981,10
168,79.25450009807885,7.356196707119802,10
169,79.74400009150357,7.390067181916971,10
170,80.21125008882836,7.335566880583183,10
171,80.78975008257436,7.508399656585857,10
172,81.30150008602268,7.51773458134601,10
173,81.70200007912615,7.4653087147957145,10
174,82.10250008415544,7.5693613779179865,10
175,82.70325008792506,7.849797932727835,10
176,83.14825008914993,7.684074606229625,10
177,83.86025008934075,7.668596502652487,10
178,84.39425008888902,7.399625710296853,10
179,85.10625009107768,7.490649616378595,10
180,85.55125009230258,7.544795189330587,10
181,86.01850008962735,7.36098081293349,10
182,86.70825009172039,7.466229665060551,10
183,87.064250092624,7.32340895026468,10
184,87.75400009671486,7.275292426406154,10
185,88.37700009658441,7.331478950191888,10
186,89.00000009845182,7.642406121243487,10
187,89.37825010002561,7.398882277833064,10
188,90.0902501022143,7.304908251797862,10
189,90.55750010410935,7.207534675633397,10
190,90.91350010501296,7.120926877751053,10
191,91.4475001065591,7.164668751842852,10
192,91.60325009479865,7.197644617838171,10
193,92.13725009634481,7.442912149699227,10
194,92.73800010011443,7.688189631005446,10
195,93.11625009711796,7.819748542198488,10
196,93.4722500960237,7.832540627956734,10
197,93.98400010204443,8.01219707841737,10
198,94.69600010223522,8.118590923803989,10
199,95.40800010442392,8.065296630739804,10
200,95.9420001059701,8.122384278120629,10
201,96.20900010455452,8.20418763278364,10
202,96.76525010220061,8.235806588855318,10
203,97.32150010441691,8.256318971349861,10
204,97.7665001036439,8.105707368872181,10
205,98.32275009929212,8.223106719623326,10
206,98.87900009415283,8.197480161330441,10
207,99.4352500917989,8.247153091695427,10
208,99.85800008100227,8.51645195975834,10
209,100.6590000860846,8.516064416267783,10
210,101.39325008437321,8.561705526428971,10
211,101.83825008360022,8.550133129264658,10
212,102.52800007833764,8.521617513607278,10
213,103.21775006850483,8.54588598615443,10
214,103.55150007131063,8.643646761335846,10
215,104.15225007508022,8.550390464292358,10
216,104.70850007272631,8.26031545856951,10
217,105.30925006714247,8.243550602392634,10
218,105.7987500671353,8.324031164115352,10
219,106.37725006545156,8.347259661800766,10
220,107.08925006764025,8.077733905151687,10
221,107.62325005983294,7.804116629306772,10
222,108.13500005592569,7.953488763953722,10
223,108.5800000477971,8.073612985095913,10
224,109.3142500460857,8.280833562890692,10
225,109.95950004405304,8.326376761825435,10
226,110.67150004624173,8.293544541153146,10
227,111.20550004778787,8.254719867639295,10
228,111.91750004997655,8.248853735019338,10
229,112.1400000470077,8.148213273471661,10
230,112.51825004401124,8.406097101830728,10
231,113.14125004388079,8.346468859075586,10
232,113.60850003920768,8.112490747649964,10
233,114.23150003172165,8.198822105189729,10
234,114.60975002672733,8.237142311859774,10
235,115.05475001203058,8.233134571384058,10
236,115.74450001412363,8.319106596405346,10
237,116.27850001167401,8.24765331218537,10
238,116.8792500015199,8.170494193019726,10
239,117.48000000329166,8.177862843930102,10
240,118.01400000283991,8.300174404796275,10
241,118.52575000628829,8.44135910357855,10
242,119.03750000973662,8.325187545947932,10
243,119.32675000641889,8.245552204483845,10
244,119.68275000732251,8.358454869787957,10
245,120.32800000528985,8.209951708991175,10
246,120.66175000074008,8.102890627093299,10
247,120.97325000009042,7.993535785980008,10
248,121.79650000862823,7.954318668080378,10
249,122.21925000975746,7.959054284790145,10
250,122.82000001352705,8.19264739895171,10
251,123.4430000153945,8.019471119209976,10
252,123.9102500127193,8.247153119627763,10
253,124.55550000868875,8.20861160683534,10
254,125.04500000211347,8.10149887706661,10
255,125.55674999163811,8.31398065950056,10
256,126.09074998383078,8.433535860878512,10
257,126.58024998918134,8.473488798649239,10
258,127.0252499876209,8.288402788212734,10
259,127.64824998749046,8.271528607298556,10
260,128.09324998671747,8.270198469384008,10
261,128.76074998535498,8.21011923125423,10
262,129.22799998267973,8.16561177388737,10
263,129.58399998158552,8.412736349053084,10
264,130.11799998313165,8.52807009388626,10
265,130.60749997655634,8.480334726859644,10
266,131.1859999748726,8.51024918979636,10
267,131.7867499647185,8.634637259653944,10
268,132.3429999623646,8.506758136204274,10
269,133.0104999683577,8.349467004712146,10
270,133.52224997180602,8.446179866421963,10
271,133.94499996757753,8.57900284247069,10
272,134.27874996560016,8.578521944760524,10
273,134.65699996260366,8.67071448053168,10
274,135.10199995447513,8.660558140247584,10
275,135.90299995698507,8.73644286401003,10
276,136.48149995073103,8.78128310473839,10
277,137.19349995092188,8.762470613238758,10
278,137.57174994792538,8.434188078646509,10
279,138.1279999455715,8.738960996269096,10
280,138.63974994166423,8.65080317489326,10
281,139.3517499410676,8.57005367658869,10
282,139.99699993703706,8.793552186826043,10
283,140.3084999278214,8.80942649887899,10
284,140.77574992514616,8.807459383890087,10
285,141.2652499185709,9.029132844402747,10
286,141.97724991797423,9.004731226670776,10
287,142.37774991107767,8.786449468741354,10
288,142.7782499021833,8.88456601791124,10
289,143.24549989751023,9.216263959116928,10
290,143.73499989093494,9.078678516984999,10
291,144.22449988435966,9.053681369887364,10
292,144.60274988136317,9.298056921132822,10
293,145.33699988422205,9.320126837616446,10
294,146.00449987828932,9.348413291864839,10
295,146.4494998775163,9.439176149530427,10
296,146.80549986249835,9.687086516213903,10
297,147.5174998606913,9.742688634890245,10
298,148.00699986068412,9.798873421529482,10
299,148.7189998628728,9.887392998719644,10
300,149.27524985116543,9.887532085387827,10
301,149.80924985071368,10.115555673071496,10
302,150.40999985448335,9.81132770038618,10
303,150.81049984758678,9.90606819807873,10
304,151.52249984977544,9.958791062810622,10
305,151.7894998503578,9.98130132718688,10
306,152.05649985094016,10.061658884500684,10
307,152.59049985048847,10.114875932440652,10
308,153.23574984845578,9.934485817463509,10
309,153.7252498418805,10.122839790347486,10
310,154.3704998398478,10.095824210082244,10
