t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.3,0.48304589153964794,10
4,0.5,0.8498365855987975,10
5,0.8,1.0327955589886446,10
6,1.0,1.3333333333333333,10
7,1.3,1.6363916944844772,10
8,1.7,1.9465068427541912,10
9,1.7,2.0027758514399734,10
10,1.7,2.2135943621178655,10
11,1.8,2.2010098692292237,10
12,2.1,2.282785822435191,10
13,2.2,2.250925735484551,10
14,2.2,2.2010098692292237,10
15,2.1,2.330951164939612,10
16,2.1,2.685351208149711,10
17,2.1,3.0349812373573433,10
18,1.9,3.212821536005731,10
19,1.7,3.198958163736021,10
20,1.8,3.3928028399998595,10
21,1.7,3.4334951418181574,10
22,2.0,3.711842908553348,10
23,2.1,3.6953424138441564,10
24,2.4,4.060651288757616,10
25,2.3,4.001388647846033,10
26,2.5,4.006938426723769,10
27,2.9,3.9567101935263786,10
28,2.9,4.306326095924976,10
29,2.9,4.306326095924976,10
30,3.2,4.565571644870382,10
31,3.5,4.600724580614087,10
32,3.2,4.366539438350085,10
33,2.8,4.341018825626588,10
34,2.7,4.295992965026311,10
35,3.2,4.417138339593985,10
36,3.2,4.211096452627668,10
37,3.4,4.221637386396684,10
38,3.6,4.273952113286562,10
39,3.4,4.221637386396684,10
40,3.9,4.012480529547776,10
41,3.4,3.8930136855083823,10
42,3.6,4.087922591134905,10
43,3.5,3.7785946829182113,10
44,3.5,3.6590830666833583,10
45,3.2,3.4576806613039843,10
46,2.9,3.6651512019742554,10
47,3.1,3.784471194529326,10
48,3.3,4.029061098237817,10
49,3.2,4.1311822359545785,10
50,3.2,4.184627953726725,10
51,3.1,3.8137179293236207,10
52,3.3,3.8887301554906353,10
53,3.1,3.634709219609061,10
54,3.3,3.4009802508492553,10
55,3.5,3.6285901761795403,10
56,3.2,3.645392830531285,10
57,2.9,3.7549966711037173,10
58,2.9,3.7549966711037173,10
59,2.8,3.8528488738133038,10
60,3.0,3.80058475033046,10
61,2.7,3.560586718193756,10
62,2.5,3.5978388574871505,10
63,2.6,3.596294389136314,10
64,2.2,3.3266599866332403,10
65,2.3,3.6224607965059086,10
66,2.5,3.2744804507314167,10
67,2.5,2.9907264074877267,10
68,2.6,3.3399933466334266,10
69,2.3,3.1287200080686173,10
70,2.6,3.0983866769659336,10
71,2.9,2.9981475762358474,10
72,2.8,2.973961069759395,10
73,2.9,2.923088169119167,10
74,2.9,2.766867462592951,10
75,2.8,2.5298221281347035,10
76,2.9,2.8460498941515415,10
77,3.2,3.155242550986462,10
78,3.1,3.0349812373573437,10
79,3.0,3.018461712712472,10
80,3.0,2.9814239699997196,10
81,3.2,2.616188916046478,10
82,3.2,2.780887148615228,10
83,2.8,2.5298221281347035,10
84,3.2,2.5298221281347035,10
85,3.1,2.5144029554194813,10
86,3.2,2.573367875415838,10
87,3.5,2.8382310609877335,10
88,3.5,2.9154759474226504,10
89,3.4,2.836272984824353,10
90,3.7,2.94580681270476,10
91,4.1,2.960855732160327,10
92,4.5,2.9154759474226504,10
93,4.8,3.190262963734773,10
94,4.9,3.4785054261852175,10
95,5.0,3.6514837167011076,10
96,5.3,3.831158803518562,10
97,5.5,3.5978388574871505,10
98,5.7,3.5605867181937554,10
99,5.7,3.497618237219913,10
100,5.5,3.8944404818493075,10
101,6.0,3.6209268304000717,10
102,6.1,3.784471194529326,10
103,6.0,3.7712361663282534,10
104,6.1,3.9001424475410014,10
105,5.9,3.842742076521226,10
106,5.9,4.306326095924976,10
107,6.0,4.521553322083512,10
108,6.1,4.458450154232722,10
109,6.2,5.072803301265814,10
110,6.3,4.9452558635075246,10
111,6.7,5.034326612809745,10
112,6.7,4.877385456255112,10
113,6.4,4.718756898449704,10
114,6.4,4.788875998951458,10
115,6.6,4.857983120596447,10
116,6.7,4.667856991049414,10
117,6.8,4.7093288033198295,10
118,7.2,5.094659513211413,10
119,7.3,4.762119042797836,10
120,7.3,4.473378042498879,10
121,7.3,4.164666186436128,10
122,7.3,4.321779468896785,10
123,7.7,4.2959929650263105,10
