Q_diff,Q_router,Q_oracle
0,0,0
0,1,1
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
1,1,0
1,2,1
0,2,2
1,2,1
1,2,1
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
1,1,0
1,1,0
1,1,0
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
0,2,2
0,1,1
1,1,0
1,1,0
1,1,0
0,1,1
0,1,1
0,2,2
0,2,2
0,1,1
0,2,2
1,3,2
2,4,2
3,4,1
3,4,1
3,5,2
4,6,2
5,7,2
4,6,2
4,6,2
4,6,2
4,6,2
3,5,2
3,6,3
4,6,2
4,7,3
4,6,2
4,7,3
5,8,3
5,7,2
5,8,3
5,8,3
5,7,2
5,7,2
4,7,3
5,8,3
5,8,3
4,8,4
5,9,4
4,9,5
5,9,4
5,9,4
5,10,5
5,10,5
6,11,5
6,10,4
6,11,5
7,12,5
8,13,5
9,13,4
9,13,4
9,13,4
9,12,3
8,12,4
8,12,4
9,13,4
10,14,4
11,15,4
12,15,3
11,14,3
11,14,3
10,14,4
11,15,4
11,15,4
11,14,3
10,14,4
10,14,4
11,15,4
12,16,4
12,15,3
12,15,3
12,15,3
11,15,4
12,15,3
12,15,3
11,15,4
12,15,3
11,14,3
11,13,2
11,14,3
11,14,3
11,13,2
11,14,3
12,14,2
12,14,2
12,13,1
11,13,2
11,13,2
12,14,2
12,13,1
12,13,1
12,14,2
13,15,2
13,15,2
13,15,2
13,15,2
13,16,3
14,16,2
14,17,3
14,16,2
13,15,2
13,14,1
13,14,1
13,14,1
13,15,2
13,15,2
13,16,3
13,16,3
13,15,2
13,16,3
13,15,2
13,16,3
12,16,4
13,16,3
13,16,3
12,16,4
12,15,3
11,15,4
11,15,4
11,14,3
11,15,4
12,16,4
13,17,4
14,17,3
13,16,3
13,17,4
14,18,4
15,18,3
15,19,4
15,19,4
16,20,4
16,20,4
16,19,3
16,18,2
16,18,2
15,18,3
16,18,2
16,18,2
16,19,3
17,20,3
16,19,3
15,19,4
15,19,4
