Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
1,1,0
1,1,0
0,0,0
0,1,1
0,0,0
0,1,1
1,2,1
2,3,1
2,3,1
3,4,1
4,5,1
4,5,1
5,5,0
5,5,0
4,5,1
5,6,1
5,5,0
5,6,1
5,5,0
4,5,1
5,6,1
6,7,1
7,8,1
7,8,1
7,8,1
7,8,1
8,9,1
8,9,1
8,9,1
9,9,0
9,10,1
9,9,0
8,8,0
8,9,1
8,8,0
8,9,1
8,8,0
8,9,1
9,10,1
9,10,1
9,10,1
10,10,0
9,9,0
8,9,1
8,8,0
8,8,0
7,8,1
7,8,1
7,8,1
6,7,1
6,8,2
7,8,1
6,8,2
5,7,2
5,7,2
6,8,2
7,8,1
7,8,1
6,7,1
6,8,2
7,8,1
7,9,2
7,10,3
7,10,3
7,10,3
7,10,3
8,10,2
8,10,2
9,10,1
9,10,1
9,11,2
9,11,2
9,12,3
9,11,2
8,10,2
8,11,3
8,10,2
7,10,3
7,10,3
7,9,2
7,10,3
7,9,2
7,10,3
8,10,2
8,11,3
9,11,2
8,11,3
8,11,3
8,10,2
8,10,2
8,10,2
8,11,3
8,10,2
7,10,3
8,11,3
9,11,2
9,12,3
9,12,3
9,12,3
9,12,3
10,12,2
10,13,3
10,13,3
11,14,3
12,15,3
12,14,2
12,14,2
12,14,2
11,14,3
12,14,2
12,15,3
13,16,3
13,16,3
13,16,3
12,15,3
11,14,3
11,14,3
11,15,4
12,15,3
11,14,3
11,15,4
11,15,4
12,15,3
12,16,4
12,16,4
13,17,4
14,17,3
13,16,3
13,16,3
13,16,3
13,17,4
14,18,4
14,17,3
14,18,4
15,19,4
16,20,4
16,19,3
16,18,2
16,19,3
17,20,3
18,20,2
18,21,3
19,22,3
19,22,3
20,22,2
20,22,2
20,23,3
20,22,2
20,22,2
20,22,2
20,21,1
20,21,1
19,20,1
19,21,2
19,21,2
20,22,2
21,23,2
21,23,2
21,24,3
21,24,3
21,25,4
22,25,3
21,25,4
21,25,4
21,25,4
21,25,4
22,26,4
23,27,4
24,27,3
24,28,4
25,28,3
25,29,4
25,29,4
25,29,4
26,29,3
25,29,4
25,29,4
25,30,5
26,30,4
26,30,4
26,30,4
27,31,4
27,30,3
27,30,3
27,29,2
26,29,3
26,28,2
25,27,2
25,26,1
24,26,2
24,26,2
25,27,2
26,28,2
26,28,2
26,27,1
26,28,2
26,27,1
26,28,2
26,28,2
27,29,2
27,29,2
28,29,1
28,30,2
29,31,2
30,31,1
29,30,1
28,30,2
28,29,1
28,30,2
29,30,1
29,30,1
28,30,2
28,29,1
28,30,2
29,30,1
28,30,2
28,29,1
28,30,2
28,30,2
29,31,2
29,30,1
29,31,2
30,32,2
30,32,2
30,33,3
31,34,3
32,35,3
32,34,2
32,33,1
32,34,2
32,34,2
33,34,1
33,34,1
33,34,1
33,35,2
34,36,2
34,35,1
34,35,1
34,34,0
33,34,1
34,35,1
35,35,0
34,35,1
35,35,0
35,36,1
36,37,1
36,37,1
36,36,0
36,36,0
36,36,0
36,37,1
36,37,1
36,36,0
35,36,1
35,36,1
35,36,1
36,37,1
36,36,0
35,35,0
34,34,0
34,35,1
34,34,0
34,34,0
34,35,1
35,35,0
35,36,1
36,37,1
36,37,1
36,37,1
37,38,1
38,38,0
38,39,1
39,40,1
40,41,1
41,41,0
40,41,1
41,41,0
40,41,1
41,42,1
41,42,1
41,43,2
42,44,2
42,44,2
42,43,1
42,43,1
43,44,1
43,44,1
44,44,0
44,44,0
44,44,0
43,44,1
43,43,0
43,43,0
42,42,0
42,43,1
42,43,1
43,43,0
42,42,0
42,42,0
42,43,1
42,42,0
41,41,0
41,41,0
41,41,0
40,40,0
39,40,1
40,40,0
39,39,0
38,38,0
37,37,0
37,38,1
37,38,1
37,38,1
38,38,0
37,38,1
37,38,1
37,38,1
36,38,2
37,38,1
36,37,1
35,36,1
35,36,1
34,36,2
35,36,1
34,36,2
35,37,2
36,37,1
35,36,1
34,35,1
33,35,2
33,35,2
34,36,2
35,36,1
35,36,1
35,36,1
35,36,1
36,36,0
35,36,1
36,36,0
36,37,1
35,36,1
35,35,0
35,35,0
35,35,0
35,35,0
35,36,1
35,35,0
35,35,0
34,34,0
34,34,0
33,33,0
32,32,0
31,31,0
31,31,0
31,32,1
32,32,0
32,32,0
32,33,1
32,32,0
31,31,0
31,31,0
30,30,0
30,31,1
30,31,1
30,30,0
29,30,1
30,30,0
29,29,0
29,29,0
29,29,0
29,30,1
29,29,0
29,30,1
29,30,1
29,30,1
29,30,1
30,30,0
30,31,1
30,31,1
30,32,2
30,32,2
31,33,2
32,33,1
31,33,2
31,33,2
32,34,2
32,34,2
32,35,3
33,35,2
33,36,3
32,35,3
33,36,3
33,35,2
32,34,2
31,34,3
31,34,3
31,34,3
32,35,3
33,35,2
33,35,2
33,35,2
33,35,2
33,35,2
33,34,1
33,35,2
33,35,2
33,35,2
32,35,3
33,35,2
33,35,2
33,35,2
33,35,2
34,36,2
35,37,2
35,38,3
36,39,3
36,38,2
35,37,2
35,38,3
36,39,3
37,39,2
37,38,1
36,38,2
36,38,2
37,38,1
36,37,1
36,38,2
37,39,2
37,38,1
37,38,1
37,37,0
37,38,1
38,39,1
38,39,1
38,38,0
37,37,0
36,37,1
36,36,0
36,37,1
37,37,0
37,37,0
36,37,1
37,37,0
37,37,0
37,38,1
38,39,1
39,39,0
38,39,1
39,39,0
39,40,1
40,40,0
40,41,1
41,41,0
41,41,0
41,42,1
42,43,1
42,42,0
42,43,1
42,43,1
42,43,1
42,43,1
42,43,1
43,43,0
43,44,1
43,44,1
43,43,0
42,42,0
42,43,1
43,43,0
42,42,0
42,42,0
42,43,1
42,43,1
42,43,1
43,44,1
42,44,2
42,44,2
43,45,2
43,45,2
43,45,2
44,45,1
44,45,1
45,45,0
45,46,1
45,45,0
45,46,1
46,46,0
46,46,0
45,46,1
45,45,0
45,46,1
46,46,0
45,45,0
44,45,1
44,44,0
43,43,0
42,42,0
42,43,1
43,44,1
43,44,1
42,43,1
