t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.4,0.6992058987801011,10
4,0.7,0.6749485577105528,10
5,0.7,0.6749485577105528,10
6,0.8,0.42163702135578396,10
7,0.8,0.6324555320336759,10
8,1.1,0.7378647873726218,10
9,1.3,0.9486832980505138,10
10,1.2,0.9189365834726815,10
11,1.0,1.0540925533894598,10
12,1.2,1.1352924243950933,10
13,1.2,1.1352924243950933,10
14,1.2,1.0327955589886444,10
15,1.3,1.2516655570345725,10
16,1.5,1.509230856356236,10
17,1.6,1.429840705968481,10
18,1.6,2.011080417199781,10
19,1.8,2.0976176963403033,10
20,1.9,2.5144029554194813,10
21,2.0,2.581988897471611,10
22,2.3,2.9832867780352594,10
23,2.4,2.9514591494904874,10
24,2.6,3.062315754094894,10
25,2.9,2.923088169119167,10
26,3.2,2.8982753492378874,10
27,3.3,2.8693785622209793,10
28,3.1,3.0349812373573437,10
29,3.2,3.259175083088085,10
30,3.4,3.3065591380365986,10
31,3.6,3.1692971530679235,10
32,3.5,2.9533408577782247,10
33,3.3,2.5841396591085743,10
34,3.3,2.496664441476534,10
35,3.6,2.836272984824353,10
36,3.8,3.0477678535099897,10
37,4.4,3.134042472944842,10
38,4.7,3.2676869155073254,10
39,4.7,3.2676869155073254,10
40,4.8,3.119829055146024,10
41,4.7,3.1287200080686173,10
42,4.8,3.3928028399998595,10
43,4.5,3.2058973436118907,10
44,4.8,3.614784456460256,10
45,4.8,3.675746333890726,10
46,4.4,3.8643671323171835,10
47,4.3,4.056544780420347,10
48,4.4,4.060651288757617,10
49,4.1,3.8427420765212266,10
50,4.1,3.695342413844157,10
51,3.8,3.521363372331802,10
52,4.0,3.4641016151377544,10
53,4.0,3.265986323710904,10
54,4.1,3.3813212407775355,10
55,4.1,3.510302297840205,10
56,4.0,3.5276684147527875,10
57,4.0,3.496029493900505,10
58,4.1,3.3482997343593826,10
59,4.3,3.1989581637360205,10
60,4.4,3.134042472944842,10
61,4.3,2.8693785622209793,10
62,4.2,3.0110906108363245,10
63,3.9,2.923088169119167,10
64,4.1,3.071373199943851,10
65,4.3,3.1989581637360205,10
66,4.2,3.32665998663324,10
67,4.2,3.2930904093942583,10
68,4.1,3.1073389830457114,10
69,4.2,3.0477678535099897,10
70,4.3,3.0568684048294332,10
71,4.2,2.8596814119369625,10
72,4.2,2.936362072739365,10
73,4.3,2.9078437983419185,10
74,4.3,2.584139659108574,10
75,4.3,2.584139659108574,10
76,4.3,2.496664441476534,10
77,4.6,2.4585451886114367,10
78,4.4,2.590581230363393,10
79,4.2,2.4404006956964173,10
80,4.1,2.5582111805799856,10
81,4.4,2.4129281427805145,10
82,4.3,2.3118054512532935,10
83,4.2,2.3475755815545347,10
84,4.3,2.540778533354601,10
85,4.3,2.359378449224852,10
86,4.3,2.263232692902394,10
87,4.2,2.3475755815545343,10
88,4.3,2.3118054512532935,10
89,4.1,2.2335820757001272,10
90,4.2,2.250925735484551,10
91,4.2,2.485513584307633,10
92,4.2,2.6161889160464775,10
93,4.3,2.6267851073127395,10
94,4.3,2.7100635498903793,10
95,4.3,2.496664441476534,10
96,4.4,2.2211108331943574,10
97,4.5,2.3213980461973533,10
98,4.5,2.4608038433722332,10
99,4.3,2.6267851073127395,10
100,4.4,2.6749870196985173,10
101,4.4,2.7968235951204043,10
102,4.5,2.798809270624444,10
103,4.6,2.796823595120404,10
104,4.6,2.9514591494904874,10
105,4.6,2.9888682361946524,10
106,4.7,3.1640339933558095,10
107,5.1,3.142893217686178,10
108,5.2,3.2930904093942583,10
109,5.2,3.3928028399998595,10
110,5.5,3.5978388574871505,10
111,5.7,3.7133393177689658,10
112,5.6,3.893013685508382,10
113,5.9,3.8427420765212266,10
114,5.8,3.8815804341359033,10
115,5.9,3.9001424475410014,10
116,6.0,3.711842908553348,10
117,6.3,3.713339317768966,10
118,6.3,3.4976182372199136,10
119,6.2,3.8239014399199966,10
120,6.0,3.972125095937662,10
121,5.9,4.175324338699131,10
122,6.1,4.280446497997869,10
123,6.0,4.189935029992179,10
124,6.0,4.242640687119285,10
125,6.1,4.0124805295477755,10
126,6.3,3.888730155490635,10
127,6.5,3.8078865529319543,10
128,6.9,3.984692933938295,10
129,6.9,4.201851443775179,10
130,7.0,4.320493798938574,10
131,7.0,4.47213595499958,10
132,6.9,4.771442828607157,10
133,7.0,4.760952285695233,10
134,7.1,5.1305187088853135,10
135,7.2,5.028805910838963,10
136,7.2,4.894441291460708,10
137,7.3,4.90011337737313,10
138,7.1,5.021066730398145,10
139,7.2,4.894441291460708,10
140,7.2,5.0508525133002165,10
141,7.3,5.078276172963508,10
142,7.6,4.742245131674331,10
143,7.4,4.971027168615266,10
144,7.4,5.18973345494095,10
145,7.2,5.2451035367389185,10
146,7.4,5.378971401051816,10
147,7.6,5.777350411544878,10
148,7.6,5.815687596683837,10
149,7.6,5.680375574437545,10
150,7.6,5.94792213951879,10
