Q_diff,Q_router,Q_oracle
0,0,0
0,1,1
1,2,1
1,2,1
2,3,1
3,4,1
4,4,0
3,3,0
3,4,1
3,4,1
4,5,1
4,4,0
3,4,1
3,4,1
2,4,2
3,5,2
3,5,2
3,5,2
3,4,1
4,5,1
4,5,1
5,5,0
5,6,1
6,7,1
6,7,1
6,7,1
5,6,1
4,6,2
5,7,2
6,7,1
7,8,1
8,9,1
8,8,0
7,7,0
6,7,1
6,7,1
6,7,1
7,7,0
7,8,1
7,8,1
8,9,1
9,9,0
9,10,1
10,11,1
10,11,1
10,11,1
10,11,1
11,11,0
10,11,1
11,11,0
10,10,0
9,10,1
9,10,1
10,11,1
11,12,1
11,12,1
12,12,0
11,12,1
12,12,0
11,11,0
11,12,1
11,11,0
10,10,0
10,11,1
11,12,1
11,13,2
12,14,2
12,14,2
12,14,2
12,14,2
12,15,3
12,15,3
13,16,3
13,15,2
13,16,3
14,16,2
13,15,2
13,16,3
14,17,3
14,18,4
14,18,4
14,18,4
14,18,4
15,19,4
16,20,4
16,20,4
17,20,3
17,19,2
17,20,3
18,20,2
18,21,3
18,21,3
19,21,2
18,21,3
18,21,3
18,21,3
18,20,2
17,20,3
17,20,3
17,20,3
16,20,4
16,19,3
16,19,3
16,18,2
15,18,3
15,17,2
14,17,3
14,17,3
15,17,2
14,17,3
14,17,3
14,17,3
15,17,2
14,17,3
14,16,2
14,17,3
15,18,3
15,18,3
15,18,3
15,18,3
15,18,3
15,18,3
15,19,4
15,18,3
15,18,3
15,19,4
15,19,4
15,19,4
16,19,3
16,19,3
16,18,2
15,18,3
15,18,3
15,18,3
15,17,2
14,17,3
14,17,3
14,16,2
13,16,3
13,15,2
13,16,3
13,16,3
14,17,3
14,17,3
14,17,3
14,17,3
14,18,4
14,19,5
15,19,4
15,20,5
15,20,5
15,20,5
15,20,5
16,21,5
16,21,5
16,21,5
16,21,5
16,21,5
17,21,4
17,22,5
17,22,5
17,22,5
18,23,5
18,23,5
18,23,5
18,23,5
18,22,4
18,23,5
18,23,5
19,23,4
19,24,5
19,23,4
19,24,5
19,23,4
18,23,5
18,23,5
18,22,4
18,23,5
18,23,5
18,22,4
17,22,5
17,21,4
17,22,5
17,21,4
