t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.4,0.5163977794943223,10
5,0.4,0.5163977794943223,10
6,0.5,0.7071067811865476,10
7,0.7,0.8232726023485646,10
8,1.1,0.7378647873726218,10
9,1.3,0.9486832980505138,10
10,1.7,1.0593499054713802,10
11,1.9,0.9944289260117533,10
12,2.1,1.1005049346146119,10
13,2.3,1.0593499054713802,10
14,2.6,1.2649110640673518,10
15,2.7,1.0593499054713802,10
16,2.9,0.875595035770913,10
17,2.8,1.0327955589886446,10
18,2.9,1.286683937707919,10
19,3.1,1.5951314818673865,10
20,3.2,1.5491933384829668,10
21,3.2,1.8135294011647258,10
22,3.6,1.6465452046971292,10
23,3.8,1.6865480854231356,10
24,4.2,1.9888578520235065,10
25,4.3,1.8287822299126937,10
26,4.3,1.9465068427541912,10
27,4.2,2.043961295567452,10
28,4.0,2.3570226039551585,10
29,4.1,2.282785822435191,10
30,4.1,2.282785822435191,10
31,4.0,2.260776661041756,10
32,4.2,2.3475755815545347,10
33,4.2,2.3475755815545347,10
34,4.5,2.5055493963954847,10
35,4.8,2.573367875415838,10
36,5.1,2.726414006223804,10
37,5.3,2.9458068127047605,10
38,5.1,3.0713731999438516,10
39,5.2,3.0840089349921005,10
40,5.5,3.2744804507314167,10
41,5.5,3.4399612400917157,10
42,5.6,3.438345855527367,10
43,5.6,3.339993346633426,10
44,5.8,3.259175083088085,10
45,5.7,3.198958163736021,10
46,6.0,2.9814239699997196,10
47,6.3,3.2335051500740732,10
48,6.4,3.3065591380365986,10
49,6.6,3.0258148581093915,10
50,6.6,2.913569784454954,10
51,6.7,2.7100635498903793,10
52,6.9,3.212821536005731,10
53,6.6,3.238655413730965,10
54,6.8,3.4253953543107007,10
55,6.9,3.4785054261852175,10
56,6.9,3.6347092196090616,10
57,6.9,3.573047252229764,10
58,7.2,3.457680661303984,10
59,7.7,3.400980250849256,10
60,7.6,3.1692971530679235,10
61,7.4,3.470510689285432,10
62,7.2,3.521363372331802,10
63,7.0,3.80058475033046,10
64,7.1,4.17532433869913,10
65,7.2,4.315347288715269,10
66,7.3,4.4484703987875305,10
67,7.7,4.47337804249888,10
68,7.7,4.347413023856832,10
69,7.6,4.3256341860022225,10
70,7.5,4.089281382128433,10
71,7.6,4.115013163202924,10
72,7.5,4.249182927993988,10
73,7.7,4.2176876234364356,10
74,7.5,4.089281382128433,10
75,7.6,4.221637386396684,10
76,7.8,4.157990967870047,10
77,8.0,4.0,10
78,7.9,4.04007700696685,10
79,7.7,4.270050741306634,10
80,7.8,4.2895221179054435,10
81,7.9,4.433458644845529,10
82,8.0,4.594682917363407,10
83,7.8,4.871686908385363,10
84,7.6,4.526465385804788,10
85,7.7,4.547282460742655,10
86,7.8,4.516635916254486,10
87,7.6,4.221637386396684,10
88,7.8,4.131182235954578,10
89,7.9,4.121757985239902,10
90,7.7,4.110960958218893,10
91,8.0,4.2946995755750415,10
92,7.9,4.094712037087183,10
93,8.1,4.067486256208427,10
94,8.1,4.383048152953731,10
95,7.9,4.383048152953731,10
96,8.0,4.422166387140534,10
97,7.8,4.4671641514002545,10
98,7.9,4.677368680976279,10
99,7.9,4.38304815295373,10
100,8.0,4.422166387140534,10
101,8.3,4.3728963196286985,10
102,8.4,4.526465385804789,10
103,8.7,4.643992535164831,10
104,8.6,4.550946177566937,10
105,8.4,4.526465385804788,10
106,8.6,4.550946177566936,10
107,9.0,4.242640687119285,10
108,9.2,3.9384147967311813,10
109,9.3,4.083843505544475,10
110,9.2,4.263540521418529,10
111,9.3,4.1379007023153935,10
112,9.1,4.04007700696685,10
113,9.2,3.9384147967311813,10
114,9.2,3.8815804341359037,10
115,9.2,3.9384147967311813,10
116,9.5,3.865804501581067,10
117,9.5,3.9510898637098992,10
118,9.9,4.012480529547776,10
119,10.2,4.1311822359545785,10
120,10.5,3.865804501581067,10
121,10.5,4.196559437338057,10
122,10.6,4.671426144361293,10
123,10.8,4.685675570881488,10
124,10.9,4.2282121254470875,10
125,11.1,3.9567101935263786,10
126,11.2,3.73571352696584,10
127,11.4,3.6575644598253874,10
128,11.6,3.687817782917155,10
129,11.2,3.6453928305312844,10
130,11.3,3.560586718193756,10
131,11.4,3.6270588023294517,10
132,11.4,3.7475918193480524,10
133,11.7,3.4976182372199136,10
134,11.7,3.198958163736021,10
135,11.9,3.142893217686178,10
136,11.9,3.2472210341220142,10
137,11.9,3.142893217686178,10
138,12.0,3.496029493900505,10
139,12.1,3.725288952252936,10
140,11.9,3.2812599206199238,10
141,11.9,3.5103022978402048,10
142,11.9,3.5418137224371984,10
143,11.7,3.5916569992135945,10
144,11.9,3.573047252229764,10
145,11.8,3.552776691859794,10
146,11.9,3.7844711945293255,10
147,12.1,3.9285281382896233,10
148,12.1,4.012480529547776,10
149,11.9,3.9001424475410014,10
150,12.0,3.8297084310253524,10
151,12.1,3.8715486421958962,10
152,12.1,3.956710193526379,10
153,12.1,4.012480529547776,10
154,12.2,4.237399621885522,10
155,12.3,4.029061098237818,10
