t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.4,0.5163977794943223,10
5,0.4,0.5163977794943223,10
6,0.7,0.8232726023485646,10
7,0.9,0.9944289260117533,10
8,1.3,1.0593499054713802,10
9,1.4,1.07496769977314,10
10,1.7,0.9486832980505139,10
11,1.7,0.9486832980505139,10
12,1.7,0.9486832980505138,10
13,1.9,1.1972189997378646,10
14,2.2,1.2292725943057183,10
15,2.3,1.1595018087284057,10
16,2.2,1.1352924243950935,10
17,2.2,1.1352924243950935,10
18,2.2,1.2292725943057183,10
19,2.6,1.2649110640673518,10
20,2.8,1.3984117975602022,10
21,2.9,1.66332999331662,10
22,3.0,1.7638342073763937,10
23,3.2,1.9888578520235063,10
24,3.2,1.9888578520235063,10
25,2.9,2.1317702607092643,10
26,2.9,2.0789954839350235,10
27,2.9,2.024845673131659,10
28,2.9,2.330951164939612,10
29,2.9,2.183269719175042,10
30,3.1,2.330951164939612,10
31,2.9,2.3309511649396115,10
32,3.0,2.449489742783178,10
33,3.2,2.440400695696417,10
34,3.4,2.412928142780514,10
35,3.3,2.4517567397911058,10
36,3.4,2.6749870196985173,10
37,3.5,2.8382310609877335,10
38,3.3,2.9078437983419185,10
39,3.2,2.780887148615228,10
40,3.3,2.7100635498903793,10
41,3.1,2.8067379246694513,10
42,3.3,2.9078437983419185,10
43,3.2,2.780887148615228,10
44,3.4,2.7162065049951147,10
45,3.5,2.9154759474226504,10
46,3.6,2.7968235951204043,10
47,3.6,3.062315754094894,10
48,3.9,3.2472210341220142,10
49,4.0,2.70801280154532,10
50,3.9,2.7264140062238043,10
51,3.9,2.4698178070456938,10
52,4.3,2.406010991015812,10
53,4.3,2.7100635498903793,10
54,4.8,2.5298221281347035,10
55,5.0,2.581988897471611,10
56,5.0,2.581988897471611,10
57,4.9,2.4244128727957572,10
58,5.2,2.5298221281347035,10
59,5.3,2.406010991015812,10
60,5.3,2.213594362117866,10
61,5.2,2.250925735484551,10
62,5.0,2.1081851067789197,10
63,4.9,2.4698178070456938,10
64,5.0,2.3570226039551585,10
65,5.2,2.3475755815545343,10
66,5.2,2.3475755815545343,10
67,5.4,2.1705094128132942,10
68,5.3,2.057506581601462,10
69,5.3,2.110818693198342,10
70,5.3,1.888562063228706,10
71,5.6,1.837873166945363,10
72,5.7,2.057506581601462,10
73,6.0,2.260776661041756,10
74,6.2,2.250925735484551,10
75,6.6,2.7968235951204043,10
76,6.7,2.869378562220979,10
77,6.8,2.7406406388125957,10
78,6.8,2.616188916046478,10
79,6.7,2.869378562220979,10
80,6.7,2.9458068127047605,10
81,6.8,3.0110906108363245,10
82,6.9,3.0349812373573433,10
83,6.8,3.3928028399998595,10
84,6.6,3.2727833889689544,10
85,6.7,3.3349995835415367,10
86,6.9,3.478505426185217,10
87,6.8,3.22490309931942,10
88,6.8,3.22490309931942,10
89,6.8,3.011090610836324,10
90,6.6,3.1692971530679235,10
91,6.6,3.1692971530679235,10
92,6.8,3.119829055146024,10
93,7.0,3.197221015541813,10
94,6.9,3.3482997343593826,10
95,6.7,3.4976182372199136,10
96,6.8,3.675746333890726,10
97,6.6,3.596294389136314,10
98,6.5,3.719318934070233,10
99,6.6,3.687817782917155,10
100,6.9,3.7549966711037173,10
101,7.3,3.3681514877517675,10
102,7.3,3.3681514877517675,10
103,7.4,3.470510689285432,10
104,7.3,3.3349995835415367,10
105,7.4,3.4058772731852804,10
106,7.7,3.529242915351047,10
107,8.3,3.529242915351047,10
108,8.5,3.24037034920393,10
109,8.5,3.4399612400917157,10
110,8.6,3.565264521898917,10
111,8.7,3.4334951418181574,10
112,8.7,3.591656999213594,10
113,8.5,3.5668224265054493,10
114,8.4,3.8930136855083823,10
115,8.5,4.034572812303401,10
116,8.7,4.270050741306634,10
117,8.9,4.383048152953731,10
118,9.3,4.738729318662922,10
119,9.4,4.695151163109069,10
120,9.6,4.376706016578628,10
121,9.6,4.550946177566937,10
122,9.5,4.478342947514801,10
123,9.6,4.623610902506587,10
124,9.6,4.247875285886398,10
125,9.9,4.306326095924976,10
126,10.1,4.62961481479111,10
127,10.2,4.638007234913623,10
128,10.3,4.78539444560216,10
129,10.0,4.47213595499958,10
130,9.9,4.557045826702499,10
131,9.9,4.433458644845529,10
132,9.9,4.20185144377518,10
133,10.2,4.366539438350085,10
134,10.1,4.5325979795746765,10
135,9.9,4.483302354291979,10
136,9.8,4.467164151400255,10
137,10.2,4.315347288715269,10
138,10.1,4.383048152953731,10
139,10.1,4.483302354291979,10
140,10.3,4.8545511292669135,10
141,10.5,5.233439489369194,10
142,10.6,5.232377832092956,10
143,10.4,5.680375574437545,10
144,10.6,5.699902533279748,10
145,10.6,5.738757124441959,10
146,10.7,5.963779562212765,10
147,11.1,5.6656861896861175,10
148,11.1,5.626327003965869,10
149,10.9,5.989806155275626,10
150,10.9,6.2084172253839744,10
151,11.0,6.182412330330469,10
152,10.8,5.884065110297661,10
153,10.8,5.884065110297661,10
154,11.0,6.073622386096199,10
155,11.3,6.019413038937712,10
