t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.3,0.4830458915396479,10
4,0.4,0.5163977794943223,10
5,0.3,0.4830458915396479,10
6,0.7,0.6749485577105528,10
7,1.1,0.875595035770913,10
8,1.2,1.2292725943057181,10
9,1.7,1.2516655570345725,10
10,1.9,1.3703203194062978,10
11,2.1,1.1972189997378648,10
12,2.3,1.1595018087284057,10
13,2.5,1.1785113019775793,10
14,2.4,1.349897115421106,10
15,2.6,1.2649110640673518,10
16,2.7,1.3374935098492586,10
17,2.9,1.449137674618944,10
18,3.4,1.7126976771553504,10
19,3.8,1.9321835661585918,10
20,4.0,2.1081851067789197,10
21,4.0,2.160246899469287,10
22,4.2,2.2010098692292237,10
23,4.5,2.273030282830976,10
24,4.7,2.496664441476534,10
25,4.7,2.4060109910158114,10
26,5.0,2.4037008503093262,10
27,4.8,2.3944379994757297,10
28,4.6,2.6749870196985173,10
29,4.7,3.0568684048294332,10
30,4.9,3.142893217686178,10
31,4.8,2.936362072739365,10
32,5.3,2.5841396591085743,10
33,5.6,2.4585451886114367,10
34,6.1,2.6436506745197805,10
35,6.2,2.8205594401741574,10
36,6.3,3.020301677353145,10
37,6.4,3.4058772731852804,10
38,6.4,3.596294389136314,10
39,6.3,3.8600518131237562,10
40,6.7,3.683295625749672,10
41,6.7,3.7431418769679454,10
42,7.1,3.928528138289623,10
43,7.3,3.743141876967945,10
44,7.6,3.5652645218989165,10
45,7.6,3.7475918193480524,10
46,7.9,3.6040101122068022,10
47,8.3,4.056544780420347,10
48,8.5,4.428443418528808,10
49,8.6,4.1952353926806065,10
50,8.3,4.191260749066641,10
51,8.4,3.977715704047013,10
52,8.7,4.056544780420347,10
53,8.5,4.143267631552018,10
54,8.6,4.115013163202924,10
55,8.8,4.417138339593985,10
56,8.8,4.077035960378841,10
57,9.0,3.972125095937662,10
58,9.4,4.168666186896929,10
59,9.9,4.254409477236529,10
60,10.4,4.351245032554859,10
61,10.5,4.453463071962462,10
62,10.5,4.672615256292062,10
63,10.4,5.015531433014408,10
64,10.7,5.250396810400778,10
65,11.1,5.216427044549852,10
66,11.1,4.998888765404656,10
67,11.6,5.274677451960661,10
68,11.8,5.788878225624644,10
69,12.0,5.773502691896258,10
70,12.3,6.000925854492047,10
71,12.4,5.796550698475775,10
72,12.6,5.985166849990251,10
73,12.9,6.244108334173014,10
74,12.6,6.380525927469546,10
75,12.9,6.707375708046247,10
76,13.0,6.666666666666667,10
77,13.1,6.367451958550173,10
78,13.3,6.464432603785802,10
79,13.2,6.250333324444918,10
80,13.2,6.178816859057871,10
81,13.6,6.058969476000941,10
82,14.0,6.377042156569663,10
83,14.2,6.250333324444918,10
84,14.2,6.303438215238834,10
85,14.3,6.377913277693401,10
86,14.6,6.397916327472042,10
87,15.0,6.582805886043833,10
88,15.3,6.532823109328598,10
89,15.7,6.342975116877988,10
90,15.7,6.165315167216605,10
91,15.9,6.008327554319921,10
92,15.8,6.0332412515993425,10
93,16.0,5.92546294487706,10
94,16.1,5.989806155275625,10
95,16.0,5.792715732327589,10
96,16.3,6.074537019394976,10
97,16.3,5.926400443964466,10
98,16.7,6.111010100175292,10
99,16.8,5.865151319446072,10
100,17.4,6.09553570701998,10
101,17.2,6.303438215238835,10
102,17.2,6.390965845976995,10
103,17.8,6.646636576327743,10
104,18.0,6.429100507328637,10
105,18.0,6.497862896539309,10
106,18.0,6.411794687223781,10
107,18.5,6.2048368229954285,10
108,18.7,6.272515001532037,10
109,19.1,6.2441083341730135,10
110,19.5,6.450667493454543,10
111,19.4,6.484168755086841,10
112,19.6,6.4670103001481465,10
113,19.6,6.56928881657334,10
114,19.7,6.412661087428698,10
115,19.8,6.579429222120175,10
116,20.1,6.522610247779983,10
117,20.2,6.613118276073197,10
118,20.4,6.703233050799691,10
119,20.4,6.432556084308771,10
120,21.0,6.4635731432217725,10
121,21.2,6.713171133426189,10
122,21.4,6.979334575094614,10
123,21.8,7.192588778272628,10
124,22.1,7.078135347674555,10
125,22.5,6.980130530457308,10
126,22.7,7.071853442423076,10
127,23.0,7.1492035298424055,10
128,23.3,6.799509786251751,10
129,23.1,6.983313444681305,10
130,23.5,6.851601597031489,10
131,23.7,7.334090869963971,10
132,23.9,7.355270219373317,10
133,24.0,7.46845216746936,10
134,24.1,7.1094616142465,10
135,24.5,6.96419413859206,10
136,24.5,6.60387091871965,10
137,24.5,6.553201083779166,10
138,24.7,6.896859188548557,10
139,24.7,7.08754776585903,10
140,25.0,6.879922480183431,10
141,25.3,6.700746227100382,10
142,25.4,6.569288816573341,10
143,25.2,6.5625198412398476,10
144,25.3,6.634087059355727,10
145,25.2,6.860515043833566,10
146,25.6,6.736302975503534,10
147,25.6,6.866990283636315,10
148,26.0,7.055336829505575,10
149,26.0,7.102425250887506,10
150,26.2,7.420691791650336,10
151,26.4,7.4266786355379315,10
152,26.4,7.7201036262475125,10
