t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.4,0.5163977794943223,10
5,0.5,0.5270462766947299,10
6,0.7,0.6749485577105528,10
7,1.2,0.9189365834726815,10
8,1.7,0.6749485577105528,10
9,2.0,0.9428090415820634,10
10,2.2,1.0327955589886446,10
11,2.3,1.1595018087284057,10
12,2.1,0.875595035770913,10
13,2.6,0.966091783079296,10
14,2.8,1.1352924243950933,10
15,2.8,1.2292725943057183,10
16,3.2,1.398411797560202,10
17,2.9,1.286683937707919,10
18,3.2,1.4757295747452437,10
19,3.5,1.5811388300841898,10
20,3.5,1.7795130420052185,10
21,3.4,1.6465452046971292,10
22,3.8,1.6193277068654826,10
23,3.9,1.5951314818673865,10
24,4.0,1.7638342073763937,10
25,3.9,1.9692073983655907,10
26,3.8,1.8135294011647258,10
27,3.9,1.9692073983655907,10
28,4.0,2.0,10
29,4.3,1.9465068427541912,10
30,4.3,1.9465068427541912,10
31,4.1,2.1317702607092643,10
32,4.4,2.4129281427805145,10
33,4.5,2.3213980461973533,10
34,4.5,2.3213980461973533,10
35,4.9,2.6012817353502227,10
36,5.1,2.923088169119167,10
37,5.1,3.0349812373573437,10
38,5.2,3.155242550986462,10
39,5.5,2.9533408577782247,10
40,5.5,3.0276503540974917,10
41,5.6,3.1340424729448424,10
42,5.7,3.2676869155073254,10
43,5.9,3.0349812373573437,10
44,5.9,2.998147576235848,10
45,5.8,3.0110906108363245,10
46,5.9,2.923088169119167,10
47,6.3,3.3015148038438356,10
48,6.2,3.155242550986462,10
49,6.2,3.3928028399998595,10
50,6.1,3.2812599206199238,10
51,6.4,3.4058772731852804,10
52,6.4,3.687817782917155,10
53,6.6,3.6270588023294517,10
54,6.7,3.9454615277134146,10
55,6.9,3.8427420765212266,10
56,6.8,3.9665266081716046,10
57,7.0,4.163331998932265,10
58,7.0,4.163331998932265,10
59,7.1,4.04007700696685,10
60,7.2,4.184627953726724,10
61,7.4,4.29987079909256,10
62,7.3,4.164666186436128,10
63,7.5,4.089281382128433,10
64,7.8,3.9384147967311813,10
65,8.0,3.858612300930075,10
66,7.9,3.9285281382896233,10
67,8.1,4.012480529547776,10
68,8.2,3.9384147967311813,10
69,8.2,3.8528488738133038,10
70,8.4,3.777124126457412,10
71,8.6,3.806427312965386,10
72,8.5,3.8078865529319543,10
73,8.6,3.9496835316263,10
74,8.5,4.196559437338057,10
75,8.5,4.196559437338057,10
76,8.5,4.196559437338057,10
77,8.5,4.196559437338057,10
78,8.4,4.325634186002223,10
79,8.4,4.325634186002223,10
80,8.6,4.427188724235732,10
81,8.6,4.501851470969102,10
82,8.7,4.473378042498879,10
83,8.8,4.5166359162544865,10
84,8.9,4.653553003411002,10
85,9.3,4.473378042498879,10
86,9.6,4.3256341860022225,10
87,9.9,4.383048152953731,10
88,9.9,4.383048152953731,10
89,10.2,4.3410188256265885,10
90,10.3,4.191260749066641,10
91,10.3,4.295992965026311,10
92,10.3,4.4484703987875305,10
93,10.6,4.221637386396684,10
94,10.7,4.3982319680121975,10
95,10.9,4.43345864484553,10
96,11.0,4.546060565661952,10
97,11.1,4.701063709417263,10
98,11.1,4.840798832148815,10
99,11.1,4.840798832148815,10
100,10.9,4.931756504757937,10
101,11.0,4.83045891539648,10
102,11.2,5.00666222813829,10
103,11.2,5.159672685570492,10
104,11.5,5.082650227325635,10
105,11.6,5.274677451960662,10
106,11.8,5.3499740393970345,10
107,12.1,5.279941077112299,10
108,12.1,5.363456596884761,10
109,12.4,5.501514942874069,10
110,12.4,5.501514942874069,10
111,12.5,5.441609239104836,10
112,12.5,5.441609239104836,10
113,12.6,5.58171618371586,10
114,12.6,5.58171618371586,10
115,12.7,5.437523946307425,10
116,12.8,5.7115866641610396,10
117,13.0,5.557777333511022,10
118,13.1,5.7242175593408975,10
119,13.6,5.641118880348315,10
120,13.7,5.3343748982946035,10
121,13.6,5.168279318217149,10
122,13.6,5.168279318217149,10
123,13.8,5.370702416299422,10
124,14.0,5.5377492419453835,10
125,13.9,5.216427044549853,10
126,14.0,5.0990195135927845,10
127,14.0,5.14241620684717,10
128,14.1,5.1305187088853135,10
129,14.3,5.355163655555055,10
130,14.3,5.355163655555055,10
131,14.2,5.473166867139678,10
132,14.2,5.533734925185902,10
133,14.5,5.50252467307306,10
134,14.4,5.501514942874069,10
135,15.0,5.395471352079548,10
136,14.8,5.2451035367389185,10
137,15.0,5.228129047119374,10
138,15.1,5.279941077112299,10
139,15.1,5.279941077112299,10
140,14.9,5.1305187088853135,10
141,15.1,4.931756504757937,10
142,14.9,4.954235000930461,10
143,14.8,5.072803301265814,10
144,14.9,5.130518708885313,10
145,15.0,4.898979485566356,10
146,15.3,5.034326612809745,10
147,15.6,5.274677451960661,10
148,15.8,5.370702416299422,10
149,15.9,5.279941077112298,10
150,15.9,5.279941077112298,10
151,16.2,5.370702416299422,10
152,16.4,5.4812812776251905,10
153,16.5,5.54276304943863,10
154,16.5,5.54276304943863,10
155,16.6,5.399588461684424,10
