Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
3,3,0
3,4,1
3,3,0
2,3,1
2,3,1
2,2,0
2,3,1
2,3,1
3,4,1
3,3,0
3,4,1
4,4,0
3,3,0
2,3,1
3,4,1
3,4,1
3,3,0
2,3,1
2,3,1
3,4,1
3,4,1
3,3,0
2,3,1
3,4,1
4,5,1
5,6,1
5,5,0
4,5,1
5,6,1
5,6,1
5,6,1
5,6,1
5,5,0
5,6,1
6,7,1
6,7,1
6,7,1
6,6,0
6,7,1
7,7,0
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
8,9,1
8,9,1
8,9,1
8,9,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
10,10,0
9,10,1
9,10,1
10,11,1
10,11,1
10,11,1
10,12,2
11,13,2
12,14,2
13,14,1
13,14,1
13,14,1
14,15,1
15,16,1
15,16,1
15,16,1
15,16,1
16,17,1
17,18,1
17,17,0
16,17,1
16,17,1
16,17,1
16,17,1
16,17,1
16,17,1
16,17,1
16,17,1
16,17,1
17,17,0
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
18,19,1
18,20,2
18,20,2
18,20,2
18,20,2
18,20,2
19,20,1
18,20,2
18,20,2
18,20,2
18,19,1
17,19,2
18,20,2
18,20,2
19,20,1
18,20,2
18,20,2
18,20,2
19,21,2
20,22,2
20,22,2
21,23,2
21,23,2
21,23,2
21,23,2
21,23,2
21,23,2
21,23,2
21,23,2
22,24,2
23,25,2
23,25,2
23,25,2
23,25,2
23,25,2
23,25,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
25,27,2
25,27,2
25,27,2
25,26,1
24,26,2
24,25,1
23,25,2
23,25,2
23,25,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,25,1
23,25,2
23,25,2
23,24,1
22,24,2
22,24,2
22,24,2
22,24,2
22,24,2
22,24,2
23,24,1
23,25,2
23,25,2
23,25,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
25,27,2
26,28,2
26,28,2
26,27,1
25,27,2
25,28,3
25,28,3
26,29,3
26,29,3
26,29,3
27,30,3
27,29,2
27,29,2
27,29,2
27,29,2
27,29,2
28,29,1
28,29,1
28,29,1
29,30,1
29,30,1
29,29,0
29,30,1
30,31,1
30,31,1
30,31,1
31,31,0
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,31,0
31,32,1
31,31,0
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,30,0
29,30,1
29,29,0
29,30,1
29,30,1
29,30,1
29,30,1
30,31,1
31,32,1
32,33,1
32,32,0
32,33,1
32,33,1
32,32,0
31,32,1
31,32,1
31,32,1
31,32,1
31,33,2
31,33,2
31,33,2
31,33,2
31,33,2
31,33,2
32,34,2
32,34,2
33,35,2
33,35,2
33,35,2
33,35,2
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,33,0
33,34,1
33,33,0
33,34,1
33,34,1
34,35,1
34,34,0
33,34,1
33,34,1
33,34,1
33,33,0
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,33,0
33,34,1
33,34,1
33,34,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,34,0
34,35,1
35,35,0
34,35,1
34,35,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
37,38,1
37,38,1
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,38,0
38,39,1
38,39,1
39,40,1
39,39,0
38,39,1
38,39,1
38,39,1
38,38,0
37,38,1
37,38,1
37,38,1
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,38,0
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
38,39,1
38,39,1
39,40,1
39,40,1
40,40,0
39,40,1
39,41,2
39,41,2
39,41,2
39,41,2
39,40,1
39,40,1
38,40,2
39,41,2
39,41,2
39,42,3
39,42,3
39,42,3
39,42,3
39,41,2
39,42,3
39,41,2
38,41,3
38,41,3
38,41,3
39,42,3
39,41,2
39,41,2
39,41,2
39,41,2
39,40,1
38,40,2
38,40,2
38,40,2
39,41,2
39,41,2
39,41,2
39,40,1
38,40,2
38,39,1
38,40,2
38,40,2
38,40,2
39,41,2
40,42,2
41,43,2
41,43,2
41,43,2
42,44,2
42,44,2
43,45,2
44,46,2
45,47,2
45,46,1
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
46,48,2
46,48,2
46,48,2
46,48,2
46,48,2
46,48,2
47,49,2
47,49,2
48,50,2
48,50,2
48,50,2
48,49,1
48,50,2
49,51,2
49,51,2
49,51,2
49,51,2
49,51,2
50,52,2
50,52,2
50,52,2
50,52,2
50,52,2
50,52,2
51,53,2
51,52,1
51,53,2
51,53,2
51,53,2
51,53,2
51,53,2
51,53,2
51,53,2
51,53,2
51,53,2
51,53,2
51,53,2
51,53,2
51,54,3
52,55,3
52,55,3
52,55,3
52,55,3
52,55,3
52,55,3
52,54,2
52,54,2
51,54,3
51,54,3
51,54,3
51,54,3
52,55,3
52,55,3
52,55,3
53,56,3
53,56,3
53,56,3
53,56,3
53,56,3
53,55,2
53,56,3
54,57,3
55,58,3
56,59,3
57,60,3
58,60,2
58,60,2
59,61,2
59,61,2
59,61,2
59,61,2
59,61,2
59,61,2
59,61,2
59,61,2
60,62,2
60,61,1
60,62,2
60,62,2
