t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.3,0.4830458915396479,10
4,0.5,0.8498365855987975,10
5,0.5,0.7071067811865476,10
6,0.5,0.7071067811865476,10
7,0.6,0.6992058987801011,10
8,0.7,0.8232726023485646,10
9,0.6,0.6992058987801011,10
10,0.5,0.7071067811865476,10
11,0.7,0.8232726023485646,10
12,0.9,0.9944289260117533,10
13,0.9,0.9944289260117533,10
14,1.0,1.1547005383792515,10
15,1.3,1.4944341180973264,10
16,1.6,1.4298407059684812,10
17,1.5,1.6499158227686108,10
18,1.8,2.0439612955674527,10
19,1.7,2.0027758514399734,10
20,1.4,1.776388345929897,10
21,1.1,1.8529256146249728,10
22,1.1,1.728840330651992,10
23,1.2,1.6865480854231356,10
24,1.4,1.7126976771553506,10
25,1.5,1.4337208778404378,10
26,1.5,1.5811388300841898,10
27,1.9,1.7919573407620817,10
28,1.7,1.8885620632287055,10
29,1.8,1.6865480854231356,10
30,1.7,1.636391694484477,10
31,1.8,1.8135294011647258,10
32,1.7,1.8287822299126937,10
33,1.8,1.8135294011647258,10
34,1.7,1.636391694484477,10
35,2.0,1.5634719199411433,10
36,2.0,1.8856180831641267,10
37,2.1,1.9119507199599983,10
38,2.2,2.14993539954628,10
39,2.3,2.0575065816014617,10
40,2.3,1.7669811040931427,10
41,2.2,1.6865480854231356,10
42,2.5,1.6499158227686108,10
43,2.7,1.7029386365926402,10
44,3.0,1.7638342073763937,10
45,2.8,1.8135294011647258,10
46,2.6,1.8973665961010275,10
47,2.5,2.0138409955990952,10
48,2.3,1.888562063228706,10
49,2.1,2.024845673131659,10
50,2.2,1.9321835661585915,10
51,2.2,1.9321835661585915,10
52,2.1,1.8529256146249728,10
53,2.1,1.911950719959998,10
54,2.3,1.9465068427541912,10
55,2.1,2.0248456731316584,10
56,2.1,1.852925614624973,10
57,2.2,1.8737959096740262,10
58,2.2,2.0976176963403033,10
59,2.1,2.183269719175042,10
60,2.0,2.211083193570267,10
61,1.8,2.14993539954628,10
62,2.2,2.2010098692292237,10
63,1.8,2.043961295567452,10
64,1.8,1.8737959096740262,10
65,2.1,1.8529256146249728,10
66,2.1,1.8529256146249728,10
67,2.3,2.0027758514399734,10
68,2.2,2.1499353995462798,10
69,2.0,1.7638342073763937,10
70,2.0,1.7638342073763937,10
71,1.8,1.6193277068654826,10
72,2.1,1.66332999331662,10
73,2.2,1.3984117975602022,10
74,1.8,1.6193277068654826,10
75,1.8,1.4757295747452437,10
76,2.0,1.247219128924647,10
77,1.7,1.4944341180973264,10
78,1.7,1.4181364924121764,10
79,1.6,1.349897115421106,10
80,1.4,1.429840705968481,10
81,1.3,1.4944341180973262,10
82,1.1,1.286683937707919,10
83,1.1,1.286683937707919,10
84,1.2,1.2292725943057183,10
85,1.2,1.2292725943057183,10
86,1.1,1.286683937707919,10
87,1.1,1.286683937707919,10
88,1.1,1.449137674618944,10
89,1.2,1.6193277068654823,10
90,1.2,1.398411797560202,10
91,1.2,1.398411797560202,10
92,1.2,1.6193277068654823,10
93,1.2,1.6865480854231356,10
94,1.3,1.6363916944844772,10
95,1.4,1.6465452046971292,10
96,1.3,1.3374935098492586,10
97,1.0,1.247219128924647,10
98,1.0,1.247219128924647,10
99,0.8,1.0327955589886446,10
100,1.0,0.9428090415820634,10
101,1.0,1.0540925533894598,10
102,0.9,1.1005049346146119,10
103,0.9,1.1005049346146119,10
104,0.9,1.1005049346146119,10
105,1.0,1.0540925533894598,10
106,0.9,0.7378647873726218,10
107,1.1,0.9944289260117533,10
108,1.0,0.9428090415820634,10
109,1.0,1.247219128924647,10
110,1.0,1.5634719199411433,10
111,1.1,1.1972189997378648,10
112,1.1,1.1972189997378648,10
113,0.8,1.0327955589886446,10
114,0.7,0.8232726023485646,10
115,0.6,0.9660917830792959,10
116,0.5,0.97182531580755,10
117,0.5,0.97182531580755,10
118,0.6,0.8432740427115679,10
119,0.7,0.8232726023485646,10
120,0.5,0.7071067811865476,10
121,0.6,0.6992058987801011,10
122,0.7,0.9486832980505137,10
123,0.7,1.0593499054713802,10
124,0.9,1.3703203194062978,10
125,0.8,1.3165611772087666,10
126,0.9,1.286683937707919,10
127,0.7,1.3374935098492586,10
128,0.8,1.6193277068654826,10
129,1.0,1.632993161855452,10
130,0.8,1.3165611772087666,10
131,0.8,1.3165611772087666,10
132,0.7,1.2516655570345725,10
133,0.8,1.2292725943057183,10
134,0.7,0.9486832980505138,10
135,0.6,0.9660917830792959,10
136,0.7,0.9486832980505138,10
137,0.7,0.9486832980505138,10
138,0.8,1.0327955589886446,10
139,0.8,0.9189365834726815,10
140,0.8,0.9189365834726815,10
141,0.9,1.1005049346146119,10
142,1.0,1.3333333333333333,10
143,1.0,1.3333333333333333,10
144,1.1,1.286683937707919,10
145,1.1,1.449137674618944,10
146,1.2,1.6193277068654826,10
147,1.3,1.5670212364724212,10
148,1.5,1.509230856356236,10
