t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.3,0.48304589153964794,10
4,0.4,0.6992058987801011,10
5,0.7,0.8232726023485646,10
6,0.7,0.9486832980505139,10
7,0.4,0.6992058987801011,10
8,0.6,0.699205898780101,10
9,0.6,0.699205898780101,10
10,0.6,0.5163977794943223,10
11,0.6,0.699205898780101,10
12,0.8,0.7888106377466155,10
13,0.9,0.9944289260117533,10
14,1.1,0.875595035770913,10
15,1.1,0.9944289260117531,10
16,1.4,1.1737877907772674,10
17,1.3,1.4181364924121764,10
18,1.3,1.4181364924121764,10
19,1.1,1.286683937707919,10
20,1.2,1.3984117975602022,10
21,1.1,1.286683937707919,10
22,1.1,1.286683937707919,10
23,1.2,1.2292725943057181,10
24,1.1,1.286683937707919,10
25,1.2,1.4757295747452437,10
26,1.4,1.5055453054181622,10
27,1.6,1.429840705968481,10
28,1.6,1.4298407059684812,10
29,1.6,1.577621275493231,10
30,1.5,1.509230856356236,10
31,1.7,1.636391694484477,10
32,1.7,1.4181364924121764,10
33,1.8,1.2292725943057183,10
34,1.5,1.35400640077266,10
35,1.6,1.7763883459298973,10
36,1.7,1.8885620632287057,10
37,1.7,1.8885620632287057,10
38,1.7,1.7669811040931427,10
39,1.9,1.66332999331662,10
40,2.1,1.5238839267549948,10
41,2.3,1.4181364924121764,10
42,2.6,1.5055453054181618,10
43,2.5,1.6499158227686108,10
44,2.4,1.6465452046971294,10
45,2.4,1.577621275493231,10
46,2.2,1.475729574745244,10
47,2.4,1.5055453054181622,10
48,2.0,1.4142135623730951,10
49,1.8,1.4757295747452435,10
50,1.9,1.4491376746189437,10
51,1.8,1.2292725943057183,10
52,1.5,1.2692955176439846,10
53,1.5,1.2692955176439846,10
54,1.5,1.2692955176439846,10
55,1.2,1.1352924243950933,10
56,1.3,1.0593499054713802,10
57,1.2,1.2292725943057181,10
58,1.4,1.1737877907772671,10
59,1.3,1.2516655570345725,10
60,1.2,1.0327955589886444,10
61,1.2,1.0327955589886444,10
62,1.3,1.0593499054713802,10
63,1.2,1.0327955589886444,10
64,1.0,1.0540925533894598,10
65,1.3,1.4181364924121767,10
66,1.2,1.2292725943057181,10
67,1.3,1.2516655570345725,10
68,1.3,1.2516655570345725,10
69,1.3,0.9486832980505138,10
70,1.3,1.2516655570345725,10
71,1.1,0.9944289260117531,10
72,1.1,0.9944289260117531,10
73,1.2,1.1352924243950933,10
74,1.0,1.0540925533894598,10
75,1.0,1.247219128924647,10
76,1.0,1.247219128924647,10
77,1.2,1.2292725943057181,10
78,1.1,1.286683937707919,10
79,1.2,1.4757295747452437,10
80,1.0,1.5634719199411433,10
81,1.1,1.8529256146249733,10
82,1.2,1.8135294011647258,10
83,1.1,1.6633299933166201,10
84,1.1,1.6633299933166201,10
85,1.0,1.632993161855452,10
86,0.9,1.5951314818673863,10
87,0.8,1.3165611772087666,10
88,1.0,1.699673171197595,10
89,1.1,1.6633299933166201,10
90,1.3,1.8885620632287061,10
91,1.4,1.8973665961010275,10
92,1.7,1.7669811040931427,10
93,2.0,2.0548046676563256,10
94,1.8,2.14993539954628,10
95,1.5,1.8408935028645435,10
96,1.5,1.8408935028645435,10
97,1.5,1.90029237516523,10
98,1.4,1.9550504398153572,10
99,1.6,2.1705094128132942,10
100,1.4,1.837873166945363,10
101,1.5,2.173067468400883,10
102,1.4,2.2211108331943574,10
103,1.9,2.4244128727957572,10
104,1.9,2.6436506745197805,10
105,2.1,2.6436506745197805,10
106,2.1,2.6436506745197805,10
107,2.1,2.5144029554194818,10
108,2.1,2.8848262031225076,10
109,2.0,2.943920288775949,10
110,2.3,3.2335051500740732,10
111,2.4,3.169297153067923,10
112,2.4,3.2386554137309647,10
113,2.4,3.2386554137309647,10
114,2.4,3.0623157540948935,10
115,2.6,2.9888682361946524,10
116,2.6,2.7968235951204043,10
117,2.8,3.0840089349921005,10
118,2.9,3.2472210341220142,10
119,2.8,3.190262963734773,10
120,2.6,2.913569784454954,10
121,2.6,2.9514591494904874,10
122,2.7,2.5841396591085743,10
123,2.6,2.6331223544175333,10
124,2.5,2.41522945769824,10
125,2.2,2.3475755815545343,10
126,1.9,2.282785822435191,10
127,1.7,2.2135943621178655,10
128,1.9,2.1317702607092643,10
129,2.0,2.211083193570267,10
130,2.0,2.309401076758503,10
131,2.0,2.309401076758503,10
132,1.8,2.2997584414213788,10
133,2.2,2.6583202716502514,10
134,2.3,2.869378562220979,10
135,2.2,2.7406406388125957,10
136,2.2,2.485513584307633,10
137,2.4,2.3664319132398464,10
138,2.4,2.590581230363393,10
139,2.2,2.6583202716502514,10
140,2.3,2.7100635498903793,10
141,2.3,2.7100635498903793,10
142,2.4,2.8751811537130436,10
143,2.4,2.6331223544175333,10
144,2.3,2.5407785333546005,10
145,2.1,2.4244128727957577,10
146,2.3,2.6267851073127395,10
147,2.3,2.7100635498903793,10
148,2.2,2.573367875415838,10
