t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.3847577656083666,0.4047663469719112,10
3,0.6991497988182455,0.6759806853284224,10
4,1.0088094518814255,0.891151781067981,10
5,1.5465916676950753,1.087138857759937,10
6,2.009083306556441,1.3156010781080045,10
7,2.397995884329823,1.2805302495492623,10
8,2.709622549410053,1.4134357863615419,10
9,3.1727297364256186,1.4286830923835494,10
10,3.483631575766432,1.7489312108974229,10
11,3.8668099505889466,1.8499298413842902,10
12,4.174707338019935,2.0168767491078032,10
13,4.7161665063000076,2.148415405730028,10
14,5.0274448740069815,2.3450878800219632,10
15,5.335911865441332,2.5314730337518876,10
16,5.795704567446853,2.677368811911549,10
17,6.183297771730549,2.8573219767443847,10
18,6.647714383157632,3.038153159131537,10
19,7.033444915767667,3.2479732378496142,10
20,7.495529972685887,3.4518861785925328,10
21,7.956099618578728,3.6690344271920776,10
22,8.117760989284287,3.8917765998252905,10
23,8.428457634468375,4.217009397761669,10
24,8.814390945831878,4.366023118478279,10
25,9.052240189584243,4.645820127158972,10
26,9.208369168796455,4.545167920224116,10
27,9.441816639884884,4.717900451447563,10
28,9.902109177181647,4.991225750423061,10
29,10.439867471132402,5.184738735031253,10
30,10.824442491085403,5.3728349791164565,10
31,11.134972729227002,5.413615088187883,10
32,11.744415582055295,5.375857295711683,10
33,12.206465298660273,5.540207864208726,10
34,12.588993949422758,5.836602854943318,10
35,13.126237601464705,6.020928534007151,10
36,13.662614998170184,6.220453450084683,10
37,13.893946904097428,6.250008573072198,10
38,14.278567351334669,6.180301132472611,10
39,14.585096331219608,6.416379755018142,10
40,15.198949447739187,6.2410150767728085,10
41,15.73288803825144,6.482312152453172,10
42,16.27075227790919,6.6673893324259605,10
43,16.57822628614268,6.721138543260739,10
44,17.11555771031726,6.806753957736577,10
45,17.656177084643193,6.787005203437019,10
46,18.26827857383689,6.788640657829005,10
47,18.804702731730348,6.886337604473693,10
48,19.4169363763516,7.1373861850019855,10
49,19.802171835949675,7.272004788155847,10
50,20.18602391368976,7.343744704335044,10
51,20.422905465713846,7.259108246168736,10
52,20.882380158714618,7.197279484353348,10
53,21.415679566933683,7.270385059537217,10
54,22.029336991798136,7.389011198632645,10
55,22.493104235320967,7.437992538410934,10
56,23.026836321489668,7.598203664773484,10
57,23.49043091742509,7.559507487718916,10
58,24.103516477212203,7.462896929284815,10
59,24.492654925041695,7.523888574945629,10
60,25.02848583239692,7.4389353166654395,10
61,25.641851949228094,7.324862636132626,10
62,26.18026110009357,7.3819725441705035,10
63,26.637992274782256,7.212836221868641,10
64,26.87658421180228,7.359315151712105,10
65,27.337345202877934,7.513752572293838,10
66,27.874709298433253,7.480080622205316,10
67,28.336250166782804,7.552661624194665,10
68,28.79552966654374,7.638198740905912,10
69,29.33476188964432,7.533480101709464,10
70,29.72687334752568,7.760722150239976,10
71,30.112177487643248,7.84918634497991,10
