t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.4830458915396479,10
3,0.2,0.42163702135578396,10
4,0.4,0.6992058987801011,10
5,0.7,0.48304589153964794,10
6,0.8,0.6324555320336759,10
7,1.1,0.8755950357709131,10
8,1.2,0.7888106377466155,10
9,1.3,0.6749485577105528,10
10,1.4,0.5163977794943223,10
11,1.8,0.6324555320336759,10
12,2.0,0.816496580927726,10
13,2.2,0.7888106377466155,10
14,2.2,0.6324555320336759,10
15,2.5,1.0801234497346435,10
16,2.7,0.8232726023485646,10
17,2.5,0.97182531580755,10
18,2.2,1.0327955589886446,10
19,2.1,1.1005049346146119,10
20,2.1,1.1005049346146119,10
21,2.0,1.4907119849998598,10
22,2.1,1.7919573407620815,10
23,2.0,1.699673171197595,10
24,2.1,1.8529256146249728,10
25,2.4,2.065591117977289,10
26,2.2,2.043961295567452,10
27,2.4,2.2705848487901865,10
28,2.4,2.412928142780514,10
29,2.4,2.3664319132398464,10
30,2.5,2.592724864350674,10
31,2.6,2.503331114069145,10
32,2.7,2.4517567397911058,10
33,2.5,2.592724864350674,10
34,2.5,2.9154759474226504,10
35,2.8,2.485513584307633,10
36,2.7,2.5841396591085743,10
37,2.7,2.5841396591085743,10
38,2.8,2.2010098692292237,10
39,2.9,2.282785822435191,10
40,3.2,1.9888578520235065,10
41,3.1,2.1317702607092643,10
42,3.2,2.14993539954628,10
43,3.3,2.4517567397911058,10
44,3.3,2.5841396591085743,10
45,3.1,2.5144029554194813,10
46,2.9,2.2335820757001272,10
47,3.1,2.330951164939612,10
48,3.4,2.065591117977289,10
49,3.2,2.0976176963403033,10
50,3.3,2.002775851439974,10
51,3.2,1.8737959096740262,10
52,3.3,2.1628170930011112,10
53,3.2,2.0976176963403033,10
54,3.4,2.0110804171997807,10
55,3.3,1.9465068427541912,10
56,3.1,1.9692073983655904,10
57,3.1,1.7919573407620815,10
58,3.1,2.024845673131659,10
59,3.3,2.2632326929023945,10
60,3.3,2.263232692902394,10
61,3.0,2.449489742783178,10
62,3.3,2.3118054512532935,10
63,3.2,2.440400695696417,10
64,2.9,2.4244128727957572,10
65,2.8,2.2010098692292237,10
66,3.1,2.2335820757001272,10
67,3.2,2.043961295567452,10
68,3.1,1.9692073983655907,10
69,3.2,1.9888578520235065,10
70,3.3,2.2135943621178655,10
71,3.5,2.3213980461973533,10
72,3.7,2.1108186931983415,10
73,3.7,2.406010991015812,10
74,3.7,2.6267851073127395,10
75,3.7,3.16403399335581,10
76,3.6,2.8751811537130436,10
77,3.9,2.923088169119167,10
78,4.0,3.2998316455372216,10
79,4.1,3.178049716414141,10
80,4.1,3.178049716414141,10
81,4.3,3.1287200080686173,10
82,4.3,2.8303906287138374,10
83,4.0,2.70801280154532,10
84,4.3,2.8303906287138374,10
85,4.3,3.1989581637360205,10
86,4.4,3.098386676965934,10
87,4.8,2.780887148615228,10
88,4.7,3.198958163736021,10
89,4.5,3.3747427885527643,10
90,4.7,3.267686915507326,10
91,5.0,3.559026084010437,10
92,5.3,3.8600518131237562,10
93,5.3,3.8600518131237562,10
94,5.1,3.7549966711037173,10
95,5.1,3.6953424138441564,10
96,5.1,3.6953424138441564,10
97,5.4,3.470510689285432,10
98,5.5,3.7490739597339973,10
99,5.6,3.806427312965386,10
100,5.6,3.8930136855083823,10
101,5.7,4.24394994210713,10
102,5.7,4.164666186436129,10
103,5.7,4.110960958218893,10
104,5.7,4.347413023856832,10
105,5.8,4.263540521418528,10
106,5.6,4.325634186002223,10
107,5.7,4.24394994210713,10
