Q_diff,Q_router,Q_oracle
0,1,1
1,2,1
1,2,1
2,3,1
2,3,1
2,3,1
3,4,1
4,5,1
5,6,1
5,6,1
5,6,1
5,6,1
6,6,0
5,6,1
6,6,0
5,6,1
5,6,1
5,6,1
5,6,1
5,5,0
4,5,1
4,4,0
3,3,0
3,3,0
3,4,1
3,4,1
3,3,0
2,3,1
2,2,0
1,1,0
0,0,0
0,0,0
0,0,0
0,1,1
1,1,0
0,0,0
0,1,1
1,2,1
1,2,1
2,3,1
2,3,1
2,2,0
2,3,1
3,3,0
3,4,1
3,4,1
4,5,1
4,5,1
5,5,0
5,6,1
6,6,0
6,6,0
6,7,1
6,6,0
5,5,0
5,6,1
5,6,1
5,5,0
5,5,0
5,6,1
5,5,0
5,6,1
5,6,1
5,6,1
5,5,0
4,4,0
4,4,0
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
3,4,1
3,4,1
3,3,0
3,4,1
4,4,0
4,5,1
5,6,1
5,6,1
5,6,1
6,7,1
6,7,1
7,8,1
7,8,1
7,8,1
7,7,0
7,8,1
7,8,1
8,9,1
8,9,1
8,8,0
8,8,0
8,9,1
8,9,1
8,9,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,11,2
9,11,2
9,11,2
9,12,3
9,12,3
9,12,3
9,12,3
9,12,3
9,11,2
9,11,2
10,11,1
10,12,2
10,11,1
10,11,1
10,12,2
10,12,2
10,12,2
11,13,2
10,12,2
10,13,3
11,14,3
11,14,3
11,14,3
12,15,3
13,15,2
12,15,3
12,15,3
13,16,3
14,17,3
14,16,2
14,17,3
14,17,3
14,16,2
14,16,2
14,15,1
14,15,1
14,15,1
14,14,0
13,14,1
13,14,1
13,14,1
13,14,1
13,15,2
13,14,1
13,14,1
12,13,1
11,13,2
11,13,2
11,13,2
11,13,2
10,12,2
10,13,3
10,13,3
10,13,3
10,13,3
10,13,3
10,13,3
10,13,3
10,13,3
10,13,3
11,14,3
11,14,3
11,14,3
11,15,4
11,14,3
11,14,3
10,13,3
10,14,4
10,14,4
10,14,4
10,14,4
10,13,3
10,12,2
9,12,3
9,12,3
10,13,3
10,12,2
10,13,3
11,14,3
11,14,3
11,13,2
11,14,3
11,14,3
11,13,2
11,12,1
11,13,2
11,14,3
11,14,3
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
13,15,2
13,14,1
13,14,1
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,15,3
12,15,3
12,14,2
12,14,2
12,15,3
13,16,3
14,17,3
14,16,2
14,15,1
14,16,2
14,16,2
14,15,1
14,16,2
14,15,1
14,16,2
15,17,2
15,17,2
16,18,2
16,18,2
16,19,3
16,19,3
16,18,2
15,18,3
15,18,3
15,17,2
15,17,2
15,18,3
15,18,3
16,18,2
16,19,3
16,19,3
16,19,3
16,18,2
16,19,3
16,19,3
16,19,3
16,19,3
16,19,3
16,18,2
16,19,3
17,20,3
18,21,3
18,20,2
17,20,3
18,20,2
18,20,2
18,20,2
18,20,2
18,19,1
18,20,2
18,19,1
18,20,2
18,20,2
18,19,1
18,19,1
17,18,1
17,19,2
17,19,2
17,19,2
17,19,2
17,20,3
18,21,3
18,21,3
19,22,3
19,22,3
20,22,2
20,23,3
20,23,3
20,22,2
19,22,3
20,23,3
20,23,3
20,22,2
20,21,1
20,21,1
19,21,2
19,22,3
19,21,2
19,20,1
19,21,2
19,21,2
20,22,2
20,23,3
20,23,3
20,22,2
21,23,2
21,23,2
22,23,1
22,24,2
22,24,2
22,24,2
22,23,1
22,24,2
23,25,2
24,25,1
24,26,2
24,25,1
24,26,2
24,25,1
24,25,1
24,24,0
24,25,1
24,25,1
25,26,1
25,26,1
26,27,1
26,27,1
27,28,1
27,28,1
27,28,1
28,29,1
28,28,0
28,29,1
28,30,2
28,29,1
28,28,0
27,27,0
26,27,1
26,27,1
26,26,0
26,27,1
26,27,1
27,28,1
28,28,0
27,28,1
27,28,1
28,29,1
28,28,0
28,29,1
28,29,1
28,28,0
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,28,0
28,29,1
28,28,0
28,29,1
28,29,1
28,29,1
29,30,1
29,30,1
29,30,1
29,31,2
29,31,2
29,30,1
29,29,0
29,29,0
28,28,0
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,30,2
28,30,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
30,31,1
30,31,1
30,32,2
30,32,2
30,32,2
31,33,2
31,33,2
31,33,2
31,33,2
31,33,2
31,32,1
31,32,1
30,32,2
30,31,1
30,32,2
30,32,2
31,33,2
30,32,2
29,32,3
29,32,3
29,31,2
28,31,3
29,31,2
28,31,3
28,30,2
28,30,2
28,31,3
29,32,3
29,32,3
30,32,2
30,33,3
30,32,2
30,32,2
30,33,3
30,33,3
30,33,3
30,33,3
30,32,2
30,33,3
31,34,3
31,34,3
31,34,3
31,34,3
31,35,4
31,35,4
31,35,4
31,35,4
31,35,4
31,35,4
31,35,4
32,36,4
32,36,4
32,35,3
32,35,3
32,35,3
32,36,4
33,37,4
33,37,4
33,36,3
33,36,3
33,35,2
33,35,2
33,35,2
33,36,3
34,36,2
34,35,1
34,36,2
34,36,2
34,35,1
34,35,1
35,36,1
