Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,2,2
0,1,1
0,2,2
0,2,2
0,1,1
-1,0,1
-1,1,2
-1,1,2
-1,1,2
-1,1,2
-1,2,3
-1,2,3
0,3,3
0,3,3
1,4,3
2,5,3
2,5,3
2,4,2
3,5,2
3,4,1
2,3,1
1,3,2
1,3,2
1,3,2
1,3,2
1,2,1
1,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
0,1,1
0,1,1
1,2,1
1,2,1
2,3,1
3,4,1
3,4,1
3,4,1
3,3,0
2,3,1
3,4,1
4,5,1
5,6,1
6,7,1
6,6,0
5,6,1
5,6,1
5,6,1
6,7,1
7,7,0
6,7,1
6,7,1
6,6,0
5,6,1
5,6,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
7,8,1
7,8,1
7,7,0
7,7,0
6,7,1
6,7,1
6,7,1
6,6,0
6,7,1
6,7,1
6,7,1
6,6,0
6,7,1
6,7,1
7,8,1
7,8,1
7,8,1
8,9,1
9,10,1
9,10,1
9,10,1
9,10,1
10,10,0
9,10,1
9,10,1
9,10,1
9,9,0
8,9,1
9,10,1
9,10,1
9,9,0
9,9,0
8,8,0
7,8,1
7,8,1
8,9,1
8,9,1
8,9,1
8,8,0
7,8,1
8,8,0
7,8,1
8,8,0
8,8,0
7,8,1
8,8,0
8,9,1
8,9,1
8,9,1
9,9,0
8,8,0
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
6,8,2
7,8,1
6,8,2
7,9,2
8,10,2
8,10,2
8,11,3
8,10,2
8,11,3
7,11,4
8,12,4
9,12,3
9,13,4
10,13,3
9,13,4
9,13,4
9,13,4
9,12,3
9,13,4
10,14,4
10,14,4
11,14,3
10,13,3
9,12,3
9,12,3
10,13,3
10,13,3
10,13,3
10,13,3
11,13,2
10,13,3
10,13,3
10,13,3
11,14,3
11,13,2
11,13,2
11,13,2
10,13,3
10,12,2
10,13,3
11,14,3
11,14,3
11,13,2
11,13,2
12,14,2
12,14,2
12,14,2
12,14,2
13,15,2
14,16,2
14,15,1
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
14,16,2
15,17,2
16,18,2
16,17,1
15,17,2
15,17,2
15,17,2
15,17,2
15,17,2
16,17,1
16,18,2
16,18,2
17,19,2
18,20,2
18,20,2
18,20,2
18,20,2
18,20,2
18,19,1
17,19,2
16,19,3
16,19,3
16,19,3
17,20,3
18,21,3
18,21,3
19,22,3
20,23,3
20,24,4
20,24,4
21,25,4
21,25,4
22,25,3
22,25,3
23,26,3
24,27,3
25,28,3
25,28,3
25,28,3
26,29,3
26,29,3
26,28,2
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
26,26,0
25,26,1
26,27,1
27,28,1
26,28,2
26,28,2
26,28,2
27,29,2
28,30,2
28,30,2
28,29,1
28,29,1
28,28,0
28,29,1
28,28,0
27,28,1
27,28,1
27,28,1
28,29,1
28,29,1
28,28,0
27,28,1
27,28,1
28,29,1
28,28,0
27,28,1
27,28,1
27,28,1
27,27,0
26,27,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
28,29,1
28,29,1
28,30,2
28,30,2
28,30,2
28,30,2
29,31,2
29,31,2
29,30,1
28,30,2
28,30,2
28,30,2
28,30,2
28,29,1
27,28,1
26,28,2
27,29,2
27,29,2
28,30,2
28,31,3
28,31,3
29,32,3
29,32,3
29,32,3
29,32,3
29,32,3
29,31,2
29,30,1
29,31,2
29,31,2
30,32,2
30,32,2
30,33,3
31,34,3
32,35,3
32,34,2
32,34,2
32,33,1
32,32,0
32,33,1
32,33,1
32,32,0
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,31,0
30,31,1
31,32,1
31,31,0
30,31,1
30,30,0
29,30,1
30,30,0
30,30,0
30,31,1
30,30,0
29,29,0
29,29,0
28,29,1
29,30,1
30,30,0
29,30,1
30,31,1
30,31,1
30,31,1
30,31,1
31,32,1
31,32,1
32,33,1
33,34,1
33,34,1
33,35,2
33,34,1
32,34,2
32,34,2
32,34,2
32,34,2
32,34,2
33,35,2
33,35,2
33,35,2
33,35,2
33,35,2
33,34,1
33,34,1
34,35,1
34,35,1
35,36,1
35,36,1
36,37,1
36,36,0
35,36,1
35,35,0
34,35,1
34,34,0
33,34,1
34,35,1
34,35,1
34,35,1
34,35,1
35,36,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
37,38,1
37,38,1
37,38,1
38,39,1
38,39,1
38,38,0
38,39,1
38,38,0
37,37,0
36,37,1
37,38,1
37,38,1
37,38,1
38,39,1
38,39,1
38,39,1
39,40,1
39,40,1
40,41,1
41,42,1
41,42,1
41,41,0
41,42,1
41,42,1
41,42,1
41,43,2
42,44,2
42,43,1
42,42,0
41,42,1
42,43,1
42,42,0
42,43,1
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
43,43,0
43,44,1
43,45,2
43,44,1
44,45,1
45,46,1
46,47,1
46,47,1
45,47,2
45,46,1
46,47,1
46,47,1
47,48,1
48,49,1
48,48,0
47,47,0
47,48,1
47,49,2
47,48,1
47,47,0
46,47,1
46,46,0
45,46,1
46,46,0
45,46,1
45,46,1
44,45,1
44,45,1
44,45,1
45,46,1
45,45,0
44,45,1
44,45,1
44,45,1
44,45,1
45,46,1
46,47,1
46,47,1
46,46,0
46,46,0
46,47,1
47,48,1
47,48,1
48,48,0
47,48,1
47,48,1
47,48,1
48,48,0
47,48,1
47,47,0
47,48,1
47,47,0
46,47,1
46,48,2
47,49,2
47,49,2
47,49,2
47,49,2
48,49,1
47,49,2
47,49,2
47,50,3
47,50,3
47,50,3
47,50,3
48,51,3
49,51,2
49,51,2
49,51,2
49,50,1
48,50,2
48,51,3
49,52,3
50,53,3
51,53,2
51,54,3
51,54,3
51,54,3
51,54,3
52,54,2
52,55,3
52,55,3
53,56,3
53,56,3
53,56,3
53,56,3
53,57,4
53,57,4
53,57,4
53,57,4
53,57,4
53,57,4
54,58,4
54,57,3
53,57,4
53,57,4
53,56,3
