t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.3,0.4830458915396479,10
5,0.3,0.4830458915396479,10
6,0.3,0.4830458915396479,10
7,0.5,0.5270462766947299,10
8,0.6,0.5163977794943223,10
9,0.7,0.674948557710553,10
10,0.7,0.674948557710553,10
11,0.7,0.8232726023485646,10
12,0.9,0.8755950357709131,10
13,1.1,0.8755950357709131,10
14,1.2,0.9189365834726815,10
15,1.2,0.9189365834726815,10
16,1.4,1.0749676997731399,10
17,1.4,1.07496769977314,10
18,1.5,1.1785113019775793,10
19,1.5,1.1785113019775793,10
20,1.3,1.0593499054713804,10
21,1.3,1.0593499054713804,10
22,1.3,1.2516655570345725,10
23,1.4,1.1737877907772674,10
24,1.6,1.1737877907772674,10
25,1.6,1.2649110640673518,10
26,1.5,1.1785113019775793,10
27,1.3,1.2516655570345725,10
28,1.3,1.1595018087284057,10
29,1.7,1.4181364924121764,10
30,1.6,1.4298407059684812,10
31,1.7,1.567021236472421,10
32,1.9,1.5951314818673865,10
33,1.9,1.449137674618944,10
34,2.1,1.5238839267549948,10
35,1.9,1.5951314818673865,10
36,2.0,1.5634719199411433,10
37,2.0,1.5634719199411433,10
38,1.6,1.577621275493231,10
39,1.6,1.837873166945363,10
40,1.9,1.9119507199599979,10
41,1.8,1.9888578520235065,10
42,1.9,1.66332999331662,10
43,2.0,1.8856180831641267,10
44,2.0,2.0,10
45,2.0,2.0,10
46,2.0,2.0,10
47,2.0,1.9436506316151,10
48,2.0,1.9436506316151,10
49,2.1,1.7919573407620817,10
50,2.0,1.8856180831641267,10
51,2.2,1.7511900715418263,10
52,2.3,1.3374935098492586,10
53,2.4,1.6465452046971292,10
54,2.6,1.8973665961010273,10
55,2.6,2.011080417199781,10
56,2.4,2.1705094128132942,10
57,2.3,2.0027758514399734,10
58,2.4,2.2211108331943574,10
59,2.6,2.319003617456812,10
60,2.7,2.4517567397911058,10
61,2.4,2.1705094128132942,10
62,2.3,2.1628170930011112,10
63,2.3,2.1628170930011112,10
64,2.3,2.0027758514399734,10
65,2.4,2.1186998109427604,10
66,2.4,2.1186998109427604,10
67,2.4,2.1186998109427604,10
68,2.5,2.273030282830976,10
69,2.5,2.3213980461973533,10
70,2.4,2.1705094128132942,10
71,2.4,2.1705094128132942,10
72,2.4,2.1705094128132942,10
73,2.5,2.173067468400883,10
74,2.6,2.170509412813294,10
75,2.8,2.485513584307633,10
76,2.8,2.3944379994757297,10
77,3.0,2.70801280154532,10
78,3.3,3.1287200080686173,10
79,3.5,3.064129385141706,10
80,3.8,3.190262963734773,10
81,3.8,3.5213633723318014,10
82,4.0,3.6514837167011076,10
83,3.9,3.7252889522529355,10
84,3.9,3.7252889522529355,10
85,3.9,3.7252889522529355,10
86,4.0,3.6209268304000717,10
87,4.2,3.73571352696584,10
88,4.4,4.005551702879948,10
89,4.4,4.005551702879948,10
90,4.7,4.083843505544475,10
91,4.8,4.315347288715269,10
92,4.9,4.3576242252962665,10
93,4.7,4.029061098237818,10
94,4.7,4.029061098237818,10
95,4.8,4.157990967870046,10
96,4.8,4.049691346263318,10
97,4.7,4.056544780420348,10
98,4.8,4.289522117905443,10
99,4.9,4.72463990397387,10
100,4.8,5.094659513211413,10
101,4.8,5.094659513211413,10
102,4.9,5.065131346328104,10
103,4.9,5.065131346328104,10
104,4.7,4.900113377373131,10
105,4.7,4.8545511292669135,10
106,4.8,4.802776974487434,10
107,5.0,4.944132324730441,10
108,4.8,4.589843860815601,10
109,4.8,4.825856285561029,10
110,4.8,5.116422361159971,10
111,4.8,5.0508525133002165,10
112,4.8,5.072803301265813,10
113,4.8,4.9396356140913875,10
114,5.1,4.90917508345343,10
115,5.2,4.917090377222873,10
116,5.2,4.917090377222873,10
117,5.2,4.984420171338332,10
118,5.5,4.881939505292269,10
119,5.3,4.78539444560216,10
120,5.2,4.779586221049312,10
121,5.2,4.894441291460708,10
122,5.1,4.998888765404656,10
123,5.0,5.120763831912406,10
124,4.9,5.216427044549853,10
125,4.8,5.223876806442595,10
126,4.7,5.012207320355198,10
127,4.6,4.926120853842978,10
128,4.7,4.922736366426029,10
129,4.7,5.186520991955976,10
130,4.9,5.321862664727663,10
131,5.0,5.2493385826745405,10
132,5.1,5.363456596884761,10
133,5.1,5.486346689738081,10
134,5.2,5.633234713140696,10
135,5.4,5.853773711604052,10
136,5.4,5.853773711604052,10
137,5.6,5.985166849990252,10
138,5.4,5.966573556070519,10
139,5.3,5.888784066153027,10
140,5.3,5.888784066153027,10
141,5.5,6.240548408949685,10
142,5.6,6.484168755086842,10
143,5.7,6.733828364641057,10
144,5.6,6.736302975503536,10
145,5.7,6.799509786251751,10
146,5.8,6.596295256514152,10
147,6.2,6.5962952565141535,10
148,6.3,6.5157927802805045,10
149,6.3,6.5157927802805045,10
150,6.3,6.5157927802805045,10
151,6.5,6.75359986311827,10
152,6.6,6.310485101972924,10
153,6.7,6.09280085200741,10
154,6.8,6.0332412515993425,10
155,7.1,5.989806155275626,10
